candidate_id,slot_id,macro_region,city,country,query,role,selected,status,attempts,reason,protocol_frozen_utc,protocol_sha256,started_utc,completed_utc,geocode_lat,geocode_lon,geocode_display_name,geocode_osm_type,geocode_osm_id,geocode_source_utc,osm_base_timestamps_utc,overpass_url,n_raw_nodes,n_raw_directed_edges,n_nodes,n_edges,selfloops_removed,isolates_removed,is_connected,crs,raw_file_bytes,simple_file_bytes,raw_file_sha256,simple_file_sha256,topology_sha256,coordinate_sha256,python_version,osmnx_version,networkx_version,shapely_version,geopandas_version,script_sha256,license,license_url,attribution
ER11P,ER11,Africa,Abidjan,Ivory Coast,"Abidjan, Ivory Coast",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:42:23+00:00,2026-09-05T08:42:59+00:00,5.320357,-4.016107,"Abidjan, Ivory Coast",node,1046100133,2026-09-05T08:42:26.395775+00:00,2026-09-05T08:40:40Z,https://overpass-api.de/api,21637,58547,21637,30812,27,0,True,epsg:4326,9679804,5344845,0131329d31a7208b0ccfa65f288ec7bbb01e472a9cdbc06f3b0033618427c7cf,31124b4fbc2a5702ee65c7d9ace0b9d92aac1495beb80ae870c9ce5cd7296dc6,7ad7cbffb53c7c5c209c7832c61c0e6f51b53e681927f4942dbee61cf000972c,8e04dd0f964eea267ca3a0f85db78ea09adc9c0c2b30195c3519b88d769c1177,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER11F,ER11,Africa,Kumasi,Ghana,"Kumasi, Ghana",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER21P,ER21,Asia,Chengdu,China,"Chengdu, China",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:43:19+00:00,2026-09-05T08:43:44+00:00,30.659867,104.063315,"Chengdu, Sichuan, China",relation,2110264,2026-09-05T08:43:22.399333+00:00,2026-09-05T08:41:45Z,https://overpass-api.de/api,14872,33796,14872,22969,21,0,True,epsg:4326,6218606,4205527,c98dbc3c15ae85554ed7649aafee4e0fa49d53b1c6639c3de24d5dfde0964d43,cc150f61380f621dae8eb76d8c073a886772ed4d73513ea8936d475fd3959550,38797a89dbee8bbdfed60ecbf1b13b16e2f8ecc29e059243d4590f94db7bfbaf,b79eb096316c9ae506de27a64ce6136d277f0e3d377898c9e096b9df4f05a674,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER21F,ER21,Asia,Xi'an,China,"Xi'an, China",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER31P,ER31,Europe,Stockholm,Sweden,"Stockholm, Sweden",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:44:02+00:00,2026-09-05T08:44:48+00:00,59.3251172,18.0710935,"Stockholm, Stockholm Municipality, Stockholm County, 111 29, Sweden",node,25929985,2026-09-05T08:44:04.922894+00:00,2026-09-05T08:42:51Z,https://overpass-api.de/api,20210,46519,20210,26620,284,0,True,epsg:4326,11888259,7035032,c79bc293e5984c0e9ee721ad56324684758cc0d92cca7d3e29474a704950de23,470787ee502ef8104814993a930db0b18e4d228b1beec5b84e86247717efe36f,fe4b32c17649593b386a9f760d995c03313a81254d3500f7e4b4ec9923124c58,d9b13b6bbc29f805badc84e31d524e69b982763f6cfd64a1446b8301c9ff18ce,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER31F,ER31,Europe,Helsinki,Finland,"Helsinki, Finland",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER41P,ER41,Latin America,Medellin,Colombia,"Medellin, Colombia",primary,true,ACQUIRED,2,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:46:26+00:00,2026-09-05T08:47:20+00:00,6.2443382,-75.573553,"Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, Colombia",relation,3541280,2026-09-05T08:45:09.179379+00:00,2026-09-05T08:44:50Z,https://overpass-api.de/api,24333,56013,24333,34222,24,0,True,epsg:4326,12849709,7878572,35d88c3c4736f8f60fa8869420bd148a7230bcf15eb5124cb36970dccd349361,e53efe10e20fae405ad795be61eaa31c5bab79d0ab1c87f5a740aa8944e15cc5,af3a685e1cc14876e77a0528e846f7656bb82cf4aa5b999f8db3a56e868bbf69,48df3122292ea848c70dc28e688988e2b6b79aa9d514ebc2491aa527c6dacd4e,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER41F,ER41,Latin America,Cali,Colombia,"Cali, Colombia",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER51P,ER51,Middle East,Ankara,Turkey,"Ankara, Turkey",primary,true,ACQUIRED,1,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,2026-09-05T08:47:38+00:00,2026-09-05T08:48:18+00:00,39.9207759,32.8540497,"Ankara, Çankaya, Ankara, Central Anatolia Region, 06420, Turkey",node,25869410,2026-09-05T08:47:41.552866+00:00,2026-09-05T08:45:51Z,https://overpass-api.de/api,28917,77176,28917,43767,25,0,True,epsg:4326,13880740,8105132,4a4f9d565b31a3033c6a1914c849ea5edc31cd96c85e895b55f1842568ef815c,f6c8e9fcfa1773ee1c47f357eb2217dbd0101abac0abdf662723949d991ad6f9,feba304526fcefc278126d595f0a07f7f8a0c48c080558cb71fce430c4beff60,f4d9afd8bf9b5c0c5ae4e0e11b9c7ae1efe12882bf3c4ad2a735f592efffefe4,3.12.10,2.1.0,3.6.1,2.1.2,1.1.3,a903ad4644aa45d925570b2f1b42ce6005cc6d43bcb55aeb36fdeaa8df313204,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,OpenStreetMap contributors; https://www.openstreetmap.org/copyright
ER51F,ER51,Middle East,Bursa,Turkey,"Bursa, Turkey",fallback,false,RESERVE_NOT_ACTIVATED,0,,2026-09-05T08:41:19+00:00,d3021cae964f80e380e1e9aa5c3d3d040eb84d6c0e84eaa0dd3d9e970cbbec54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
