city,n_nodes,f_cross,pc,fisher_tau,fisher_r2
cairo,118235,0.0,0.7,2.0682364526876316,0.9997775396383661
cairo,118235,0.025,0.575,2.3926866978438714,0.9987285431758094
cairo,118235,0.05,0.525,2.498385186408667,0.999002128193797
cairo,118235,0.1,0.475,2.5851708203626513,0.9994753400529583
cairo,118235,0.2,0.4,2.620755485759121,0.99933873957494
cairo,118235,0.4,0.325,2.73884174161428,0.9989375128064624
osaka,92460,0.0,0.625,2.0758610283205576,0.9999005232310612
osaka,92460,0.025,0.525,2.474940806595446,0.9975490413619942
osaka,92460,0.05,0.5,2.695243342285594,0.994382386826395
osaka,92460,0.1,0.45,2.838767623636933,0.9953318418417564
osaka,92460,0.2,0.375,2.7747402004337154,0.9974116559010635
osaka,92460,0.4,0.3,2.783226562553402,0.9983076280992009
bengaluru,101357,0.0,0.675,2.1304343344533927,0.9992424818746538
bengaluru,101357,0.025,0.575,2.432217040007263,0.9989851082989406
bengaluru,101357,0.05,0.525,2.5045394734877156,0.999522073592676
bengaluru,101357,0.1,0.475,2.594314189919686,0.9992854856892327
bengaluru,101357,0.2,0.425,2.9275703817739553,0.9925310749717421
bengaluru,101357,0.4,0.325,2.6327757990686456,0.999653014122221
tehran,85612,0.0,0.7,2.2583274676847678,0.9998267551652429
tehran,85612,0.025,0.6,2.469283988164858,0.9989561900212431
tehran,85612,0.05,0.55,2.5315204948923107,0.9994880088027588
tehran,85612,0.1,0.5,2.6037445615440404,0.9991460381336641
tehran,85612,0.2,0.45,2.9315079025722883,0.9960840669728568
tehran,85612,0.4,0.35,2.784319452585001,0.9983856611921331
