target,feature,label,n,spearman_r_with_graph_cv_residual,spearman_p,abs_spearman_r_with_graph_cv_residual
road_gap,wdi_gini_index,WDI Gini,67,-0.18380275382124486,0.13651516567964886,0.18380275382124486
road_gap,ghsl_gdp_sum_2020,GHSL GDP sum,71,-0.12047485707355983,0.31693733164085314,0.12047485707355983
road_gap,ghsl_mean_schooling_2020,GHSL mean schooling,69,-0.11309931585524653,0.35481829837943557,0.11309931585524653
road_gap,ghsl_lulc_nonzero_classes_2019,ghsl_lulc_nonzero_classes_2019,71,0.10755518362898338,0.37197324970195705,0.10755518362898338
road_gap,wdi_gdp_per_capita_constant_2015_usd,WDI GDP per capita,70,-0.10008582753584971,0.4097274518492215,0.10008582753584971
road_gap,wdi_urban_population_pct,WDI urban population %,70,-0.09427258492879895,0.43758939974218747,0.09427258492879895
road_gap,ghsl_life_expectancy_2020,GHSL life expectancy,69,-0.09347996859376076,0.4448718586831516,0.09347996859376076
road_gap,wdi_urban_population_growth_pct,WDI urban growth %,70,0.09175117849682514,0.44999767003491303,0.09175117849682514
road_gap,ghsl_lulc_entropy_2019,GHSL land-use entropy,71,0.08980549966465458,0.4563988450216403,0.08980549966465458
road_gap,ghsl_lulc_dominance_2019,GHSL land-use dominance,71,-0.08537894030851778,0.47898230227294875,0.08537894030851778
road_gap,ghsl_gdp_avg_2020,GHSL GDP average,71,-0.07652582159624413,0.5258826541426931,0.07652582159624413
road_gap,ghsl_hdi_2020,GHSL HDI,69,-0.07598289993980861,0.5349096788483023,0.07598289993980861
road_gap,ghsl_log_area_2025,GHSL log urban-centre area,71,-0.07258733873872183,0.5474605902513289,0.07258733873872183
road_gap,ghsl_infrastructure_index_2020,GHSL critical-infrastructure index,71,-0.07132796780684104,0.5544495925560826,0.07132796780684104
road_gap,ghsl_population_density_2025,GHSL population density,71,0.05321931589537223,0.6593673302912171,0.05321931589537223
road_gap,wdi_population_density_people_per_km2,WDI population density,70,0.05224914439590194,0.6675083274856032,0.05224914439590194
road_gap,ghsl_road_density_2024,GHSL road density,71,0.033232729711602946,0.7832167298095744,0.033232729711602946
road_gap,ghsl_expected_schooling_2020,GHSL expected schooling,69,0.027551541750736635,0.8221956208263743,0.027551541750736635
road_gap,wdi_population_total,WDI population,70,-0.02073156399622919,0.8647365872975957,0.02073156399622919
road_gap,ghsl_log_population_2025,GHSL log population,71,-0.006304493628437289,0.9583851228319663,0.006304493628437289
road_minus_spatial,ghsl_lulc_nonzero_classes_2019,ghsl_lulc_nonzero_classes_2019,71,0.25031365836166225,0.035257760594775735,0.25031365836166225
road_minus_spatial,ghsl_lulc_entropy_2019,GHSL land-use entropy,71,0.1322937625754527,0.2714266937662767,0.1322937625754527
road_minus_spatial,wdi_population_total,WDI population,70,0.1317084665368547,0.2771014821010652,0.1317084665368547
road_minus_spatial,ghsl_life_expectancy_2020,GHSL life expectancy,69,-0.12809879612652927,0.2941973612437596,0.12809879612652927
road_minus_spatial,ghsl_population_density_2025,GHSL population density,71,0.1242454728370221,0.30191524233513933,0.1242454728370221
road_minus_spatial,wdi_population_density_people_per_km2,WDI population density,70,0.11714034048545041,0.3341694261033901,0.11714034048545041
road_minus_spatial,ghsl_hdi_2020,GHSL HDI,69,-0.11197383835803966,0.3596577736300036,0.11197383835803966
road_minus_spatial,wdi_gdp_per_capita_constant_2015_usd,WDI GDP per capita,70,-0.11104694160818035,0.36009118592319106,0.11104694160818035
road_minus_spatial,ghsl_gdp_sum_2020,GHSL GDP sum,71,-0.08804641259474774,0.4653025230379017,0.08804641259474774
road_minus_spatial,ghsl_expected_schooling_2020,GHSL expected schooling,69,-0.08161252977789539,0.5049937555992878,0.08161252977789539
road_minus_spatial,ghsl_mean_schooling_2020,GHSL mean schooling,69,-0.07210515258934874,0.5560119224269496,0.07210515258934874
road_minus_spatial,wdi_urban_population_pct,WDI urban population %,70,-0.0689534620077285,0.5705822267173263,0.0689534620077285
road_minus_spatial,ghsl_log_population_2025,GHSL log population,71,0.06156941649899396,0.6100031954829038,0.06156941649899396
road_minus_spatial,wdi_urban_population_growth_pct,WDI urban growth %,70,-0.05270439833500833,0.6647835557840563,0.05270439833500833
road_minus_spatial,ghsl_infrastructure_index_2020,GHSL critical-infrastructure index,71,-0.05137491616364855,0.6704794597703283,0.05137491616364855
road_minus_spatial,ghsl_gdp_avg_2020,GHSL GDP average,71,-0.04191817572099262,0.7285222093464081,0.04191817572099262
road_minus_spatial,wdi_gini_index,WDI Gini,67,0.04016378767081641,0.7469238222440443,0.04016378767081641
road_minus_spatial,ghsl_log_area_2025,GHSL log urban-centre area,71,-0.038615994713623564,0.7491746285478976,0.038615994713623564
road_minus_spatial,ghsl_lulc_dominance_2019,GHSL land-use dominance,71,-0.03708920187793427,0.7587842844407042,0.03708920187793427
road_minus_spatial,ghsl_road_density_2024,GHSL road density,71,0.02293762575452716,0.8494108683122651,0.02293762575452716
