macro_region,swap_fraction,n_cities_total,n_cities_pass,road_minus_geometry_mean,road_minus_geometry_ci95_low,road_minus_geometry_ci95_high,remaining_fraction_after_geometry_mean,road_minus_spatial_mean
Africa,0.005,12,12,0.006249999999999992,-0.004412256427286489,0.01691225642728647,0.020120557219461304,0.11249999999999995
Asia,0.005,19,19,0.0026315789473684162,-0.007896929596173309,0.013160087490910143,0.011663147667132164,0.10131578947368415
Europe,0.005,11,11,0.0022727272727272544,-0.0056958058834537945,0.010241260428908303,0.008481161209877,0.08863636363636358
Latin America,0.005,10,10,0.0025,-0.008933333333333331,0.013933333333333332,0.011064343220836992,0.0974999999999999
Middle East,0.005,5,5,-0.00499999999999998,-0.01479999999999994,0.00479999999999998,-0.02444457533502174,0.08999999999999996
North America,0.005,10,10,0.0,-0.0073044887264993134,0.0073044887264993134,-0.0011277893509655996,0.08499999999999992
Oceania,0.005,4,4,-0.0125,-0.026645081595145833,0.0016450815951458315,-0.05930505858143385,0.0812499999999999
