city,country,swap_fraction,n_replicates,n_edges,road_minus_geometry_mean,pc_geometry_null_std,accepted_swaps_per_edge_mean,acceptance_rate_mean,null_mobility_index_mean,length_bin_tvd_mean,degree_max_abs_drift_max,mean_abs_delta_connected_components,mean_abs_delta_bridge_edge_share,mean_abs_delta_articulation_point_share,mean_abs_delta_largest_biconnected_node_fraction,mean_abs_delta_cyclomatic_density,mean_abs_delta_dual_endpoint_degree_mean,mean_abs_delta_dual_endpoint_degree_cv,mean_abs_delta_angular_entropy,mean_abs_delta_straight_angle_share_10deg,mean_abs_delta_right_angle_share_10deg
Amsterdam,Netherlands,0.005,3,32887,0.0249999999999999,1.3597399555105182e-16,0.0049867728889834,0.0018841710074671333,0.002606687557478733,0.0,0.0,3.0,0.000334478669383,0.0005172190853842,0.0003017111331408,0.000129304771346,0.0,6.866465437517685e-05,0.005232077345136633,0.0028428172744902995,0.0038077668984437666
Amsterdam,Netherlands,0.01,3,32887,0.0249999999999999,1.3597399555105182e-16,0.010003952929729,0.0019830478395282338,0.0050601284704485,0.0,0.0,7.0,0.0004561072764314,0.0004310159044868,0.0001293047713459,0.0003017111331408,0.0,9.692092025327735e-05,0.010164233955138635,0.005794427888936166,0.007336455229175466
Barcelona,Spain,0.005,3,28820,0.0,0.0,0.0049965301873698,0.0019886467150705667,0.0028355438892697666,0.0,0.0,0.0,6.939625260235505e-05,0.0002677519545892,0.0006961550819321,0.0,0.0,6.640927477482202e-05,0.005638682036346499,0.002771137536732767,0.004385096761423266
Barcelona,Spain,0.01,3,28820,-0.016666666666666666,0.014433756729740658,0.0099930603747397,0.002064544876477567,0.0055324110372718,0.0,0.0,1.0,6.939625260235505e-05,0.0004819535182606,0.0010174574274391,5.3550390917922464e-05,0.0,4.8527895616277496e-05,0.011160437707225232,0.005897549116636434,0.008404768792728
Barcelona,Spain,0.02,3,28820,-0.008333333333333333,0.014433756729740658,0.0199861207494795,0.001945590064318,0.010629548144309333,0.0,0.0,7.0,0.0002428868841082,0.0005890543000963,0.0017136125093712,0.000374852736425,0.0,6.130138940791789e-05,0.02083796553750683,0.011170830985986901,0.0165303936943932
Buenos Aires,Argentina,0.005,3,37472,0.0083333333333333,0.014433756729740593,0.0049903928266438,0.001213549247792,0.0050397761833574995,0.0,0.0,0.0,5.337318531169893e-05,4.620645042047872e-05,0.0,0.0,0.0,4.857794175910923e-05,0.0123900609572676,0.004225452255436667,0.006839273682678
Buenos Aires,Argentina,0.01,3,37472,-0.008333333333333333,0.014433756729740658,0.0100074722459436,0.0011734788790677666,0.009463269640606333,0.0,0.0,1.0,0.0001067463706233,0.0004158580537843,0.0020792902689216,4.620645042052729e-05,0.0,3.816970707904802e-05,0.02263460451438577,0.007858393176978033,0.012635727417700133
Chennai,India,0.005,3,56880,-0.008333333333333333,0.014433756729740658,0.0049929676511954,0.0017364677954846669,0.004115042531666133,0.0,0.0,8.0,0.0002285513361462,0.0004240882103477,0.000824615964565,0.0001884836490434,0.0,0.00010951499703505171,0.009413128237013834,0.0032219242745557997,0.0064292432713484665
Chennai,India,0.01,3,56880,0.0,0.0,0.0100035161744022,0.0017218656251466334,0.007818015584922067,0.0,0.0,11.0,0.0003164556962025,0.0003769672980868,0.0009424182452172,0.0002591650174347,0.0,0.00015185155478976872,0.017965491459800368,0.0061984798826904336,0.012046433099064632
Chicago,United States,0.005,3,21830,0.0,0.0,0.0049931287219422,0.0014439605770234997,0.005775812530478,0.0,0.0,0.0,4.580852038479216e-05,0.0002262443438914,0.0003016591251885,0.0,0.0,8.998509285607819e-05,0.014418981119150265,0.0047708019663685,0.007582491338182767
