city,graph_cache_file,n_nodes_road,n_edges_road,pc_cebh_road,pc_road_fine_grid,road_gap,degree_null_gap_R41,degree_null_rank_mean_R41,spatial_null_rank_mean,spatial_null_rank_ci_low,spatial_null_rank_ci_high,spatial_null_cebh_mean,spatial_null_gap,spatial_minus_degree_gap,road_minus_spatial,spatial_fraction_of_road_gap,remaining_fraction_after_spatial,accepted_swaps_per_edge_mean,acceptance_rate_mean,chord_length_bin_tvd_mean,degree_max_abs_drift_max,n_null,n_perm,length_bins,bin_tolerance,swap_fraction_target,p_grid_min,p_grid_max,p_grid_step,boundary_hit_count,status,notes
Berlin,cache\private_graphs\berlin_germany__road.pkl,28407,42285,0.444985,0.655,0.210015,0.026017,0.471652,0.5124850000000001,0.509985,0.524985,0.4456024616941008,0.06750000000000006,0.04148300000000006,0.14251499999999995,0.3214056138847228,0.6785943861152772,0.24999408773796855,0.027780310865459183,0.07910606598084427,0,4,16,12,1,0.25,0.194985,0.694985,0.01,0,pass,"Degree sequence is exact; spatial constraint preserves chord-length slots within bin tolerance. Use as a spatial-scale constrained null, not as a full planar null."
Buenos Aires,cache\private_graphs\buenos_aires_argentina__road.pkl,17908,31606,0.374939,0.55,0.175061,0.019825,0.394939,0.434939,0.432439,0.44243899999999997,0.3750741698905847,0.06,0.040175,0.11506100000000002,0.34273767429638813,0.6572623257036121,0.25001581978105425,0.027800939279104854,0.07934411187749162,0,4,16,12,1,0.25,0.124939,0.624939,0.01,0,pass,"Degree sequence is exact; spatial constraint preserves chord-length slots within bin tolerance. Use as a spatial-scale constrained null, not as a full planar null."
Chicago,cache\private_graphs\chicago_united_states__road.pkl,29581,48968,0.393386,0.61,0.216614,0.024841,0.418386,0.445886,0.440886,0.45719849999999995,0.39351323550683875,0.05249999999999999,0.027658999999999993,0.16411399999999998,0.24236660603654422,0.7576333939634556,0.25,0.02788193179687023,0.07933752654794968,0,4,16,12,1,0.25,0.143386,0.643386,0.01,0,pass,"Degree sequence is exact; spatial constraint preserves chord-length slots within bin tolerance. Use as a spatial-scale constrained null, not as a full planar null."
Madrid,cache\private_graphs\madrid_spain__road.pkl,31430,48012,0.449106,0.65,0.200894,0.024695,0.474106,0.526606,0.519106,0.531606,0.44939487256287614,0.07750000000000001,0.05280500000000001,0.123394,0.3857755831433493,0.6142244168566509,0.25,0.02764096768604144,0.07927705573606597,0,4,16,12,1,0.25,0.199106,0.699106,0.01,0,pass,"Degree sequence is exact; spatial constraint preserves chord-length slots within bin tolerance. Use as a spatial-scale constrained null, not as a full planar null."
Rotterdam,cache\private_graphs\rotterdam_netherlands__road.pkl,11445,16412,0.462401,0.675,0.212599,0.031668,0.495734,0.5449010000000001,0.532401,0.5562135,0.46396969439968344,0.08250000000000007,0.05083200000000007,0.13009899999999996,0.38805450637114974,0.6119454936288503,0.25,0.02798325331773786,0.07943882524981721,0,4,16,12,1,0.25,0.212401,0.712401,0.01,0,pass,"Degree sequence is exact; spatial constraint preserves chord-length slots within bin tolerance. Use as a spatial-scale constrained null, not as a full planar null."
Stockholm,cache\private_graphs\stockholm_sweden__road.pkl,13781,18175,0.493601,0.72,0.226399,0.031899,0.528601,0.5811010000000001,0.5711010000000001,0.5911010000000001,0.4966389769373702,0.08750000000000008,0.05560100000000008,0.13889899999999988,0.38648580603271254,0.6135141939672873,0.2500137551581843,0.028059714350833022,0.07927097661623109,0,4,16,12,1,0.25,0.243601,0.743601,0.01,0,pass,"Degree sequence is exact; spatial constraint preserves chord-length slots within bin tolerance. Use as a spatial-scale constrained null, not as a full planar null."
Sydney,cache\private_graphs\sydney_australia__road.pkl,118520,158618,0.505461,0.715,0.209539,0.01898,0.525461,0.5679609999999999,0.565461,0.577961,0.5064755092917812,0.06249999999999989,0.04351999999999989,0.14703900000000003,0.2982738296928013,0.7017261703071983,0.24999684777263614,0.027778791629510826,0.07917134247058973,0,4,16,12,1,0.25,0.255461,0.755461,0.01,0,pass,"Degree sequence is exact; spatial constraint preserves chord-length slots within bin tolerance. Use as a spatial-scale constrained null, not as a full planar null."
Toronto,cache\private_graphs\toronto_canada__road.pkl,27438,39869,0.45937,0.685,0.22563,0.026459,0.487703,0.52437,0.51937,0.5368700000000001,0.46122255385113714,0.065,0.038541000000000006,0.16063000000000005,0.28808225856490716,0.7119177414350931,0.2499937294639946,0.028251187725614788,0.07911535278035567,0,4,16,12,1,0.25,0.20937,0.70937,0.01,0,pass,"Degree sequence is exact; spatial constraint preserves chord-length slots within bin tolerance. Use as a spatial-scale constrained null, not as a full planar null."
