city,graph_cache_file,n_nodes_road,n_edges_road,pc_cebh_road,pc_road_fine_grid,road_gap,pc_null_rank_mean,pc_null_rank_ci_low,pc_null_rank_ci_high,pc_null_cebh_mean,null_gap,road_minus_null,organization_fraction_of_gap,n_null,n_perm,p_grid_min,p_grid_max,p_grid_step,boundary_hit_count,status,notes
Berlin,cache\private_graphs\berlin_germany__road.pkl,28407,42285,0.444985,0.655,0.210015,0.471652,0.464985,0.474985,0.445635,0.026017,0.183348,0.873025,6,20,0.194985,0.694985,0.01,0,pass,Observed road threshold exceeds degree-preserving null threshold.
Buenos Aires,cache\private_graphs\buenos_aires_argentina__road.pkl,17908,31606,0.374939,0.55,0.175061,0.394939,0.394939,0.394939,0.375114,0.019825,0.155061,0.885754,6,20,0.124939,0.624939,0.01,0,pass,Observed road threshold exceeds degree-preserving null threshold.
Chicago,cache\private_graphs\chicago_united_states__road.pkl,29581,48968,0.393386,0.61,0.216614,0.418386,0.413386,0.423386,0.393545,0.024841,0.191614,0.884587,6,20,0.143386,0.643386,0.01,0,pass,Observed road threshold exceeds degree-preserving null threshold.
Madrid,cache\private_graphs\madrid_spain__road.pkl,31430,48012,0.449106,0.65,0.200894,0.474106,0.469106,0.479106,0.449411,0.024695,0.175894,0.875556,6,20,0.199106,0.699106,0.01,0,pass,Observed road threshold exceeds degree-preserving null threshold.
Rotterdam,cache\private_graphs\rotterdam_netherlands__road.pkl,11445,16412,0.462401,0.675,0.212599,0.495734,0.492401,0.502401,0.464066,0.031668,0.179266,0.84321,6,20,0.212401,0.712401,0.01,0,pass,Observed road threshold exceeds degree-preserving null threshold.
Stockholm,cache\private_graphs\stockholm_sweden__road.pkl,13781,18175,0.493601,0.72,0.226399,0.528601,0.523601,0.533601,0.496702,0.031899,0.191399,0.845406,6,20,0.243601,0.743601,0.01,0,pass,Observed road threshold exceeds degree-preserving null threshold.
Sydney,cache\private_graphs\sydney_australia__road.pkl,118520,158618,0.505461,0.715,0.209539,0.525461,0.525461,0.525461,0.506481,0.01898,0.189539,0.904552,6,20,0.255461,0.755461,0.01,0,pass,Observed road threshold exceeds degree-preserving null threshold.
Toronto,cache\private_graphs\toronto_canada__road.pkl,27438,39869,0.45937,0.685,0.22563,0.487703,0.48062,0.48937,0.461244,0.026459,0.197297,0.874426,6,20,0.20937,0.70937,0.01,0,pass,Observed road threshold exceeds degree-preserving null threshold.
