feature,feature_label,n,spearman_rho,spearman_p,pearson_r,pearson_p,abs_spearman_rho
dual_degree_mean,dual-degree mean,71,-0.3842470330012929,0.0009388486380882199,-0.424568181089426,0.00022409109628677038,0.3842470330012929
kappa,kappa,71,-0.3842470330012929,0.0009388486380882199,-0.4245681810894259,0.00022409109628677038,0.3842470330012929
cycle_density,cycle density,71,-0.3667149142769635,0.0016579895904970496,-0.43902514685434285,0.00012813235384830386,0.3667149142769635
dead_end_share,dead end share,71,0.33913745818364993,0.0038137579054639105,0.4509206835005326,7.935573801001248e-05,0.33913745818364993
articulation_point_share,articulation point share,71,0.318789210692631,0.0067370072861477346,0.43315584466195595,0.00016126215384151582,0.318789210692631
bridge_edge_share,bridge edge share,71,0.3154922794535798,0.007361843573146576,0.46683415429619113,4.0637456717992795e-05,0.3154922794535798
largest_biconnected_node_fraction,largest biconnected fraction,71,-0.27022816098410635,0.022658290294320864,-0.4077104314787264,0.0004169482559184189,0.27022816098410635
angular_entropy,angular entropy,71,-0.1132804967917741,0.3469057501428496,-0.15162526159151354,0.20685810732422577,0.1132804967917741
straight_angle_share_10deg,straight angle share,71,0.05412462117442352,0.653939649915744,0.09543914327896537,0.4285240373795528,0.05412462117442352
