city,f_cross,pc,mean_degree,d_eff,fisher_tau
bengaluru,0.0,0.675,2.6959756109592825,2.2198342054716047,2.1304343344533927
bengaluru,0.025,0.575,2.7633750012332645,2.6979640329548125,2.432217040007263
bengaluru,0.05,0.525,2.830774391507247,3.0569505617106465,2.504539473487716
bengaluru,0.1,0.475,2.965573172055211,3.44709828229669,2.594314189919686
bengaluru,0.2,0.425,3.235170733151139,3.667039614183513,2.927570381773956
bengaluru,0.4,0.325,3.774365855342995,5.411721179325932,2.6327757990686456
cairo,0.0,0.7,2.7632765255634966,2.070327394261774,2.068236452687632
cairo,0.025,0.575,2.8323584387025837,2.5908213369458424,2.3926866978438714
cairo,0.05,0.525,2.9014403518416714,2.9111097569560083,2.498385186408667
cairo,0.1,0.475,3.0396041781198466,3.2532063907324957,2.5851708203626518
cairo,0.2,0.4,3.315931830676196,4.063981457774663,2.620755485759121
cairo,0.4,0.325,3.868587135788895,4.886652478996264,2.73884174161428
osaka,0.0,0.625,3.0017304780445597,2.1414462516588992,2.0758610283205576
osaka,0.025,0.525,3.0767737399956734,2.625207056362176,2.474940806595446
osaka,0.05,0.5,3.151817001946788,2.7363869404771965,2.695243342285594
osaka,0.1,0.45,3.301903525849016,3.058220527444053,2.838767623636933
osaka,0.2,0.375,3.6020765736534717,3.850800110998058,2.7747402004337154
osaka,0.4,0.3,4.202422669262384,4.835432326148639,2.783226562553402
tehran,0.0,0.7,2.5283137877867587,2.2990055503461004,2.258327467684768
tehran,0.025,0.6,2.5915216324814274,2.802084357300714,2.469283988164858
tehran,0.05,0.55,2.654729477176097,3.17343482900626,2.5315204948923107
tehran,0.1,0.5,2.7811451665654348,3.560343564300176,2.6037445615440404
tehran,0.2,0.45,3.0339765453441103,3.737555143132323,2.9315079025722883
tehran,0.4,0.35,3.539639302901462,5.186311701546082,2.784319452585001
