city,country,macro_region,replicate,target_swap_fraction,n_nodes,n_edges,pc_cebh,pc_road_fine,pc_road_fine_ci_low,pc_road_fine_ci_high,pc_geometry_fine,pc_geometry_fine_ci_low,pc_geometry_fine_ci_high,road_gap_fine,geometry_gap_fine,road_minus_geometry_fine,threshold_boundary_hit,accepted_swaps,target_swaps,accepted_swaps_per_edge,attempted_swaps,acceptance_rate,degree_max_abs_drift,length_bin_tvd,length_mean_ratio,length_median_ratio,topology_rejects,length_rejects,crossing_rejects,exact_edge_overlap,edge_jaccard,edge_turnover_share,lcc_curve_l2,delta_connected_components,delta_bridge_edge_share,delta_articulation_point_share,delta_largest_biconnected_node_fraction,delta_cycle_density,status,runtime_seconds
Singapore,Singapore,Asia,0,0.04,13478,19430,0.4668204315025708,0.675,0.635,0.69,0.68,0.65,0.680375,0.2081795684974292,0.2131795684974292,-0.005,False,771,777,0.0396809058157488,699300,0.0011025311025311,0.0,0.0,1.0264445269684233,1.0017118563531249,18316,657774,22439,18083,0.870337392308803,0.0693257848687596,0.0640532807069319,13.0,0.0012866700977869,0.0006677548597714,-0.0053420388781717,0.0009645347974476,pass,49.43677282333374
Singapore,Singapore,Asia,0,0.08,13478,19430,0.4668204315025708,0.675,0.635,0.69,0.7,0.665,0.7,0.2081795684974292,0.2331795684974291,-0.0249999999999999,False,1421,1554,0.0731343283582089,1398600,0.001016016016016,0.0,0.0,1.031047258522828,1.0026149746240858,36903,1314941,45335,17247,0.7979919492897793,0.1123520329387545,0.1202773816003682,22.0,0.0001544004117344,-0.0002967799376762,-0.0082356432705148,0.0016322896572191,pass,99.11028027534483
Dubai,United Arab Emirates,Middle East,0,0.04,15724,22720,0.4908611675236571,0.69,0.665,0.705,0.73,0.7,0.745,0.1991388324763428,0.2391388324763428,-0.04,False,909,909,0.0400088028169014,756683,0.0012012956548515,0.0,0.0,1.0245744552099534,1.0035875279026425,18395,710947,26432,21145,0.8703436921177197,0.0693221830985915,0.1005584085762632,12.0,0.0,0.0022258967183922,-0.0069320783515643,0.000763164589163,pass,57.51120853424072
Dubai,United Arab Emirates,Middle East,0,0.08,15724,22720,0.4908611675236571,0.69,0.665,0.705,0.72,0.72,0.745,0.1991388324763428,0.2291388324763428,-0.03,False,1818,1818,0.0800176056338028,1624045,0.0011194271094704,0.0,0.0,1.0424029951489937,1.007742479592041,39591,1526390,56246,19953,0.7828696982775533,0.1217869718309859,0.132378623189638,20.0,0.0004841549295774,0.0034342406512337,-0.0141821419486135,0.0012719409819384,pass,138.82567048072815
Taipei,Taiwan,Asia,0,0.04,16388,24900,0.431684610183596,0.595,0.57,0.6152499999999999,0.59,0.5898749999999999,0.59,0.1633153898164039,0.1583153898164039,0.005,False,902,996,0.0362248995983935,896400,0.0010062472110664,0.0,0.0,1.0364623595177929,1.00420910478162,27072,835134,33292,23364,0.8837948252383114,0.0616867469879518,0.0288280481008104,20.0,-0.0010441767068273,-0.0004881620698071,-0.0064071271662191,0.0012204051745179,pass,73.14145684242249
Taipei,Taiwan,Asia,0,0.08,16388,24900,0.431684610183596,0.595,0.57,0.6152499999999999,0.595,0.575,0.6,0.1633153898164039,0.1633153898164039,0.0,False,1721,1992,0.0691164658634538,1792800,0.0009599509147701,0.0,0.0,1.0527018246694038,1.0061662075592612,53823,1671529,65727,22263,0.8084758688310274,0.1059036144578313,0.0390202368477276,17.0,-0.0002811244979919,-0.0003661215523553,-0.0037222357822797,0.0010373443983402,pass,125.34828281402588
Seattle,United States,North America,0,0.04,17570,26501,0.4417716876708675,0.67,0.635,0.71,0.66,0.63975,0.695,0.2282283123291325,0.2182283123291325,0.01,False,1060,1060,0.0399984906229953,849168,0.0012482806700205,0.0,0.0,1.021400712606138,1.001808470563658,24620,793879,29609,24635,0.8684386787464307,0.0704124372665182,0.0257172467275903,8.0,0.0007169540772046,0.0001138303927148,-0.0026180990324415,0.0004553215708594,pass,60.415937423706055
Seattle,United States,North America,0,0.08,17570,26501,0.4417716876708675,0.67,0.635,0.71,0.71,0.64,0.71,0.2282283123291325,0.2682283123291324,-0.0399999999999999,True,2120,2120,0.0799969812459907,1743226,0.0012161360603845,0.0,0.0,1.0321061645725689,1.0027277345020449,50792,1629522,60792,23350,0.7874679616889249,0.1189011735406211,0.0379247536957886,13.0,-7.546885023206051e-05,-0.0008537279453614,0.001593625498008,0.0007398975526465,pass,122.75645875930786
Nairobi,Kenya,Africa,0,0.04,22960,28157,0.5433092136999518,0.785,0.7845000000000001,0.885,0.795,0.765,0.835,0.2416907863000482,0.2516907863000482,-0.01,False,1126,1126,0.0399900557587811,957059,0.0011765209877342,0.0,0.0,1.039315434704725,1.002832460301621,20381,904507,31045,26234,0.8721409574468085,0.0682956280853783,0.0201398040072978,48.0,0.0001420605888411,-0.0020034843205574,-0.0191202090592333,0.0020905923344947,pass,67.76632761955261
Nairobi,Kenya,Africa,0,0.08,22960,28157,0.5433092136999518,0.785,0.7845000000000001,0.885,0.79,0.765,0.835,0.2416907863000482,0.2466907863000482,-0.005,False,2159,2253,0.0766772028270057,2027700,0.0010647531686146,0.0,0.0,1.0601672951867755,1.0050504480568572,43382,1916343,65816,24975,0.7969303423848878,0.1130091984231275,0.0481615700102465,113.0,-0.0015271513300422,-0.0031794425087107,-0.016376306620209,0.0049216027874564,pass,141.09212732315063
