city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,runtime_seconds_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,remaining_fraction_after_spatial,geometry_vs_spatial_residual_change
Accra,Ghana,Africa,0.005,1,1,0,19183,25655,0.5030786728370853,0.725,0.2219213271629146,0.725,0.2219213271629146,0.0,1.0000000000000004,0.0,0.0049892808419411,0.0019348792212111,0.0,0,0,0.0023839412136563,4.984123468399048,0.625,0.1219213271629147,0.0999999999999999,0.4506101386397577,-0.0999999999999999
Addis Ababa,Ethiopia,Africa,0.005,1,1,0,51078,72263,0.482274189457948,0.7,0.2177258105420519,0.7,0.2177258105420519,0.0,1.0000000000000004,0.0,0.0049956409227405,0.0018271819893507,0.0,0,0,0.0020646937775524,15.571398973464966,0.6,0.117725810542052,0.0999999999999999,0.4592932723549826,-0.0999999999999999
Algiers,Algeria,Africa,0.005,1,1,0,21703,28885,0.5065855241235377,0.75,0.2434144758764622,0.75,0.2434144758764622,0.0,1.0000000000000002,0.0,0.0049852864808724,0.0018457042515284,0.0,0,0,0.0014393660352603,6.3259899616241455,0.65,0.1434144758764622,0.0999999999999999,0.4108219104058216,-0.0999999999999999
Amsterdam,Netherlands,Europe,0.005,1,1,0,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.208319142897687,0.0249999999999999,0.8928506264444721,0.1071493735555281,0.0049867728889834,0.0018701180226922,0.0,0,0,0.0018403809174582,7.510496139526367,0.6,0.1333191428976869,0.0999999999999999,0.4285974942221141,-0.075
Athens,Greece,Europe,0.005,1,1,0,54827,88593,0.4135569642707098,0.625,0.2114430357292901,0.625,0.2114430357292901,0.0,1.0000000000000004,0.0,0.0050003950650728,0.0017978750172482,0.0,0,0,0.0032186049802824,19.514379501342773,0.525,0.1114430357292902,0.0999999999999999,0.4729406180491547,-0.0999999999999999
Auckland,New Zealand,Oceania,0.005,1,1,0,12533,16775,0.5044505924099357,0.725,0.2205494075900642,0.725,0.2205494075900642,0.0,1.0000000000000002,0.0,0.0050074515648286,0.0025758969641214,0.0,0,0,0.0018300787319965,2.699667692184448,0.65,0.1455494075900643,0.0749999999999999,0.3400598569704738,-0.0749999999999999
Bangkok,Thailand,Asia,0.005,1,1,0,63366,71694,0.5689051824695883,0.85,0.2810948175304116,0.9,0.3310948175304117,-0.05,1.177875922577586,-0.1778759225775856,0.0049934443607554,0.0016515048068938,0.0,0,1,0.0030979728994446,16.837603330612183,0.725,0.1560948175304116,0.125,0.4446898064439636,-0.175
Barcelona,Spain,Europe,0.005,1,1,0,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.625,0.186185803249235,0.0,1.0000000000000009,0.0,0.0049965301873698,0.0018346519894507,0.0,0,0,0.0017971752071311,5.8855977058410645,0.55,0.111185803249235,0.0749999999999999,0.4028234091489903,-0.0749999999999999
Bengaluru,India,Asia,0.005,1,1,0,101357,136603,0.487624045120297,0.7,0.2123759548797029,0.675,0.187375954879703,0.0249999999999999,0.8822842255651742,0.1177157744348261,0.0049998901927483,0.0016242916019605,0.0,0,0,0.0030069305706902,34.29253673553467,0.575,0.0873759548797029,0.125,0.5885788721741326,-0.1000000000000001
Bogota,Colombia,Latin America,0.005,1,1,0,40772,60476,0.4493951193413192,0.65,0.2006048806586807,0.65,0.2006048806586808,0.0,1.0000000000000004,0.0,0.0049937165156425,0.0018354757346461,0.0,0,0,0.004081758596333,12.67064332962036,0.55,0.1006048806586808,0.0999999999999999,0.4984923580705149,-0.0999999999999999
Boston,United States,North America,0.005,1,1,0,24819,35843,0.4629981269779758,0.675,0.2120018730220242,0.675,0.2120018730220242,0.0,1.0000000000000002,0.0,0.0049940016181681,0.0016896037454456,0.0,0,0,0.0020630715938291,7.925513982772827,0.575,0.1120018730220241,0.1,0.4716939457870328,-0.1
Brisbane,Australia,Oceania,0.005,1,1,0,25339,35174,0.4911197989388439,0.7,0.208880201061156,0.725,0.2338802010611561,-0.025,1.1196858288770055,-0.1196858288770055,0.0050036959117529,0.002204574492071,0.0,0,0,0.0017471550147471,6.215595245361328,0.625,0.1338802010611561,0.0749999999999999,0.359057486631016,-0.0999999999999999
