city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,pc_geometry_null_std,pc_geometry_null_min,pc_geometry_null_max,geometry_null_gap_mean,road_minus_geometry_mean,road_minus_geometry_std,road_minus_geometry_min,road_minus_geometry_max,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,length_mean_ratio_mean,length_median_ratio_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,delta_bridge_edge_share_mean,delta_articulation_point_share_mean,delta_largest_biconnected_node_fraction_mean,delta_dual_endpoint_degree_mean_mean,delta_angular_entropy_mean,runtime_seconds_mean
Amsterdam,Netherlands,Europe,0.005,3,3,0,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.6750000000000002,0.0,0.675,0.675,0.20831914289768702,0.0249999999999999,0.0,0.0249999999999999,0.0249999999999999,0.8928506264444721,0.1071493735555281,0.0049867728889834,0.0018841710074671333,0.0,1.0065815308365018,1.00019115612099,0,0,0.002606687557478733,-0.000334478669383,-0.0005172190853842,0.0003017111331408,0.0,0.005232077345136633,6.596107641855876
Amsterdam,Netherlands,Europe,0.01,3,3,0,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.6750000000000002,0.0,0.675,0.675,0.20831914289768702,0.0249999999999999,0.0,0.0249999999999999,0.0249999999999999,0.8928506264444721,0.1071493735555281,0.010003952929729,0.0019830478395282333,0.0,1.0113162379832854,1.0003962090574243,0,0,0.0050601284704485,-0.0004561072764314,-0.0004310159044868,0.0001293047713459,0.0,0.010164233955138635,10.940799951553345
Barcelona,Spain,Europe,0.005,3,3,0,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.625,0.0,0.625,0.625,0.18618580324923503,0.0,0.0,0.0,0.0,1.0000000000000009,0.0,0.0049965301873698,0.0019886467150705667,0.0,1.0039750343343896,1.000704298342842,0,0,0.0028355438892697666,-6.939625260235505e-05,-0.0002677519545892,0.0006961550819321,0.0,0.0056386820363465,5.290776173273723
Barcelona,Spain,Europe,0.01,3,3,0,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.6416666666666667,0.014433756729740706,0.625,0.65,0.20285246991590167,-0.016666666666666666,0.014433756729740645,-0.025,0.0,1.089516313144221,-0.0895163131442202,0.0099930603747397,0.002064544876477567,0.0,1.0064441705170735,1.0012040230191401,0,0,0.0055324110372718,-6.939625260235505e-05,0.0004819535182606,-0.0010174574274391,0.0,0.011160437707225232,9.277432680130005
Barcelona,Spain,Europe,0.02,3,3,0,18674,28820,0.438814196750765,0.625,0.1861858032492349,0.6333333333333333,0.014433756729740673,0.625,0.65,0.19451913658256834,-0.008333333333333333,0.014433756729740645,-0.025,0.0,1.044758156572111,-0.0447581565721101,0.0199861207494795,0.001945590064318,0.0,1.0150842541673193,1.0013396176114473,0,0,0.010629548144309333,-0.0002428868841082,-0.0005890543000963,-0.0017136125093712,0.0,0.02083796553750683,18.728648980458576
Buenos Aires,Argentina,Latin America,0.005,3,3,0,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.5666666666666667,0.014433756729740593,0.55,0.575,0.1860509288884825,0.0083333333333333,0.014433756729740586,0.0,0.0249999999999999,0.957129588382912,0.04287041161708847,0.0049903928266438,0.001213549247792,0.0,1.0025443716259954,1.00005560198856,0,0,0.0050397761833574995,-5.337318531169893e-05,-4.620645042047872e-05,0.0,0.0,0.0123900609572676,10.156461795171102
Buenos Aires,Argentina,Latin America,0.01,3,3,0,21642,37472,0.3806157377781841,0.575,0.1943842622218158,0.5833333333333334,0.014433756729740618,0.575,0.6,0.20271759555514915,-0.008333333333333333,0.014433756729740645,-0.025,0.0,1.0428704116170893,-0.04287041161708866,0.0100074722459436,0.0011734788790677666,0.0,1.0058921115744062,1.0001715805323455,0,0,0.009463269640606333,0.0001067463706233,0.0004158580537843,-0.0020792902689216,0.0,0.02263460451438577,19.991382042566936
Chennai,India,Asia,0.005,3,3,0,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.7333333333333334,0.014433756729740706,0.725,0.75,0.23488441383178227,-0.008333333333333333,0.014433756729740645,-0.025,0.0,1.0367834632039659,-0.03678346320396556,0.0049929676511954,0.0017364677954846669,0.0,1.0026902380452454,1.000268218880404,0,0,0.004115042531666133,-0.0002285513361462,-0.0004240882103477,0.000824615964565,0.0,0.009413128237013834,11.807186365127563
Chennai,India,Asia,0.01,3,3,0,42444,56880,0.498448919501551,0.725,0.2265510804984489,0.725,0.0,0.725,0.725,0.22655108049844888,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0100035161744022,0.0017218656251466334,0.0,1.005226986700795,1.0006504404237793,0,0,0.007818015584922067,0.0003164556962025,-0.0003769672980868,-0.0009424182452172,0.0,0.017965491459800368,21.718563238779705
Chicago,United States,North America,0.005,3,3,0,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.6,0.0,0.6,0.6,0.2040052968599778,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0049931287219422,0.0014439605770235002,0.0,1.0025204037776285,1.0000528373199078,0,0,0.005775812530478,-4.580852038479216e-05,-0.0002262443438914,0.0003016591251885,0.0,0.014418981119150265,4.941809336344401
Chicago,United States,North America,0.01,3,3,0,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.6,0.0,0.6,0.6,0.2040052968599778,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0099862574438845,0.0013576751367365334,0.0,1.0045229287867,1.0000943751063032,0,0,0.0113976253088824,0.0001374255611543,0.0003770739064856,-0.0009803921568627,0.0,0.0283049411330846,9.806697607040405
Chicago,United States,North America,0.02,3,3,0,13260,21830,0.3959947031400221,0.6,0.2040052968599778,0.6,0.0,0.6,0.6,0.2040052968599778,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0200183234081539,0.0013100600958491334,0.0,1.0085610303291723,1.0001234589397703,0,0,0.020663897544191134,0.0004580852038479,0.000603318250377,-0.0012066365007541,0.0,0.05049743938691243,19.721718708674114
Dakar,Senegal,Africa,0.005,3,3,0,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.6916666666666668,0.014433756729740593,0.675,0.7,0.2316289070694358,0.0083333333333333,0.014433756729740586,0.0,0.0249999999999999,0.965272314013463,0.03472768598653713,0.0050082311205917,0.0016243999656156,0.0,1.002865785712875,1.0001277490728624,0,0,0.0041991623591571,2.3186255187927773e-05,0.0002096143096702,-0.0006288429290106,0.0,0.009611824309075333,9.39712651570638
Dakar,Senegal,Africa,0.01,3,3,0,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.6833333333333332,0.014433756729740593,0.675,0.7,0.2232955737361025,0.0166666666666666,0.014433756729740586,0.0,0.0249999999999999,0.9305446280269258,0.06945537197307426,0.0099932759859955,0.0016640622621201667,0.0,1.0057267244583181,1.0003156065170686,0,0,0.008028476306981766,4.637251037584861e-05,3.493571827836717e-05,0.0003493571827836,0.0,0.0183570729212679,16.73597327868144
Dar es Salaam,Tanzania,Africa,0.005,3,3,0,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.7666666666666666,0.014433756729740706,0.75,0.775,0.2590678307436591,0.008333333333333333,0.014433756729740645,0.0,0.025,0.9688358374874767,0.031164162512523436,0.0049956413867095,0.0020686448880995,0.0,1.0053136026141922,1.0001537593439978,0,0,0.0022909247263001,-0.0001676389727083,-0.0004930082466833,-0.0002240946575834,0.0,0.004903954024476867,5.187998453776042
Dar es Salaam,Tanzania,Africa,0.01,3,3,0,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.7583333333333333,0.028867513459481322,0.725,0.775,0.2507344974103257,0.016666666666666666,0.02886751345948129,0.0,0.05,0.9376716749749533,0.0623283250250469,0.0099912827734191,0.0020049623357145333,0.0,1.01045671571743,1.0003577678296898,0,0,0.0044081450608756,0.00020116676725,0.0,-0.0012997490139835,0.0,0.0093057139053873,9.675748109817505
