city,country,macro_region,null_type,swap_fraction,replicate,n_edges_original,n_edges_null,exact_edge_overlap,edge_jaccard,edge_turnover_share,linegraph_jaccard,path_length_ks,path_length_mean_abs_delta,lcc_curve_l2,delta_connected_components,delta_bridge_edge_share,delta_articulation_point_share,delta_largest_biconnected_node_fraction,delta_cycle_density,road_minus_null_fine,status
Hong Kong,China,Asia,spatial,0.005,0,13245,13245,13119,0.9811532420910927,0.009513023782559471,0.9644002897650833,0.44140625,9.390625,0.08722759201487694,0.0,-0.000981502453756139,-0.000774764803541772,0.01981184283342552,0.0,-0.030000000000000027,pass
Hong Kong,China,Asia,geometry,0.005,0,13245,13245,13116,0.9807088380439659,0.009739524348810868,0.9616934789348582,0.01171875,0.3828125,0.050797395016291054,3.0,-0.0005285013212533024,-0.0004427227448810106,-0.00011068068622033245,0.0003320420586607753,-0.04500000000000004,pass
Hong Kong,China,Asia,spatial,0.01,0,13245,13245,12995,0.9629492404594294,0.01887504718761801,0.931944632921699,0.55078125,11.75,0.1294155229842008,0.0,-0.002265005662514155,-0.0019922523519645824,0.022800221361372386,0.0,0.0,pass
Hong Kong,China,Asia,geometry,0.01,0,13245,13245,12991,0.9623675827839099,0.019177047942619874,0.9272370380397996,0.015625,0.6484375,0.031988967158123584,4.0,0.00022650056625141135,0.00011068068622026306,0.005091311566131629,0.0004427227448809967,-0.040000000000000036,pass
Singapore,Singapore,Asia,spatial,0.005,0,19430,19430,19242,0.9808339280252829,0.009675759135357676,0.9627926717125274,0.45703125,10.59375,0.15210171475061032,0.0,-0.00010293360782295813,-0.00037097492209528515,0.0005935598753524784,0.0,0.04999999999999993,pass
Singapore,Singapore,Asia,geometry,0.005,0,19430,19430,19236,0.9802282918874847,0.009984559958826522,0.9608508232633736,0.015625,0.53125,0.02658859165084333,1.0,5.1466803911479064e-05,0.00029677993767621147,-0.00022258495325711003,7.419498441907368e-05,0.02499999999999991,pass
Singapore,Singapore,Asia,spatial,0.01,0,19430,19430,19068,0.9634195634599838,0.018630983015954672,0.9297586758467209,0.5546875,13.23046875,0.2242355460033887,1.0,-0.0004632012352032977,-0.0007419498441905426,0.0044516990651432,7.419498441907368e-05,0.06499999999999995,pass
Singapore,Singapore,Asia,geometry,0.01,0,19430,19430,19054,0.9620317075633646,0.01935151827071535,0.9254735965581847,0.02734375,53.3359375,0.022359603360512414,2.0,-0.0003088008234688605,0.0003709749220952574,-0.0010387297818666985,0.00014838996883809186,0.009999999999999898,pass
Rio de Janeiro,Brazil,Latin America,spatial,0.005,0,20774,20774,20570,0.9805510534846029,0.009819967266775809,0.961838799483941,0.55859375,16.796875,0.19421131899451077,1.0,-0.0006257822277847269,-0.001006103695754268,0.008115903145750836,6.707357971691419e-05,0.04499999999999993,pass
Rio de Janeiro,Brazil,Latin America,geometry,0.005,0,20774,20774,20566,0.9801734820322181,0.010012515644555742,0.9616168017018966,0.03125,58.9375,0.03830462863308404,5.0,-0.0006257822277847269,-0.00013414715943391164,0.0018109866523575713,0.0003353678985847375,0.015000000000000013,pass
Rio de Janeiro,Brazil,Latin America,spatial,0.01,0,20774,20774,20380,0.9627739984882842,0.018966015211321796,0.9254059577492947,0.671875,78.75390625,0.25519948198593617,2.0,-0.001299701550014437,-0.0014756187537728893,0.006975652290562739,0.0001341471594338839,0.06499999999999995,pass
Rio de Janeiro,Brazil,Latin America,geometry,0.01,0,20774,20774,20374,0.9622178143005573,0.01925483777799175,0.9257909704941344,0.015625,0.81640625,0.026949082688665145,11.0,-0.001155290266679515,-0.0004024414783017072,-0.0011402508551882073,0.0007378093768864447,0.010000000000000009,pass
Chicago,United States,North America,spatial,0.005,0,21830,21830,21620,0.9809437386569873,0.009619789280806201,0.9609077650908833,0.640625,17.8984375,0.24744612957041445,0.0,0.0,0.0,0.0,0.0,0.05999999999999994,pass
Chicago,United States,North America,geometry,0.005,0,21830,21830,21625,0.9813932380304061,0.009390746678882289,0.9630025282199195,0.01953125,0.453125,0.0342880923454867,0.0,4.580852038479216e-05,0.0,-7.541478129713397e-05,0.0,0.020000000000000018,pass
Chicago,United States,North America,spatial,0.01,0,21830,21830,21419,0.9630412301605143,0.018827301878149294,0.9272479373514194,0.7890625,22.23828125,0.2991223172371375,0.0,-9.161704076958432e-05,-0.00015082956259426794,0.0003016591251885359,0.0,0.06499999999999995,pass
Chicago,United States,North America,geometry,0.01,0,21830,21830,21411,0.9623353858600386,0.019193770041227687,0.925531357515849,0.015625,0.45703125,0.06688078591746709,1.0,-4.580852038479216e-05,-0.0003016591251885359,-0.0004524886877828038,7.541478129713397e-05,-0.0050000000000000044,pass
Montevideo,Uruguay,Latin America,spatial,0.005,0,22450,22450,22230,0.9805910895456551,0.009799554565701585,0.9626078448812595,0.734375,34.4140625,0.19520837549472067,1.0,-0.00013363028953228967,-0.0002906765496693553,0.0004360148245039497,7.266913741732495e-05,0.019999999999999907,pass
Montevideo,Uruguay,Latin America,geometry,0.005,0,22450,22450,22230,0.9805910895456551,0.009799554565701585,0.9641801673491187,0.01171875,0.73046875,0.04414816706899956,1.0,-4.454342984409193e-05,-0.0006540222367560494,0.0012353753360947461,7.266913741732495e-05,-0.010000000000000009,pass
