city,country,macro_region,n_nodes,n_edges,mean_degree,kappa,kappa_minus_1,pc_cebh,pc_nb,pc_road_rank,road_gap_cebh,road_minus_nb,nb_minus_cebh,abs_error_cebh,abs_error_nb,nb_improvement_over_cebh,rho_nb,nb_iterations,nb_converged,runtime_seconds,status,ipr_directed,top1_directed_weight_share,top5pct_directed_weight_share,node_nb_entropy,node_nb_ipr,top1_node_weight_share,top5pct_node_weight_share
Sao Paulo,Brazil,Latin America,51289,77333,3.0155783891282733,3.2097164211914704,2.2097164211914704,0.4525467568643056,0.3617716089407452,0.675,0.22245324313569442,0.3132283910592548,-0.0907751479235604,0.22245324313569442,0.3132283910592548,-0.0907751479235604,2.7641748973280835,298,True,6.2155468463897705,pass,0.0011621273761731011,0.002090433745344443,0.9994832545755766,0.5362683426337371,0.00410854624346172,0.007535102577870799,0.9995397745272319
Karachi,Pakistan,Asia,52156,78992,3.0290666462152007,3.2390368644926064,2.2390368644926064,0.4466206054300997,0.3377403982969093,0.675,0.22837939456990036,0.3372596017030907,-0.10888020713319035,0.22837939456990036,0.3372596017030907,-0.10888020713319035,2.9608539725854612,249,True,5.208558559417725,pass,0.010013606337349486,0.017803939158916184,0.9999882586465121,0.3638207736545568,0.030831986971123403,0.056573646944504744,0.9999882933813494
Riyadh,Saudi Arabia,Middle East,52112,79423,3.048165489714461,3.143333794996412,2.143333794996412,0.4665628855078422,0.3154631058129293,0.675,0.20843711449215785,0.35953689418707074,-0.1510997796949129,0.20843711449215785,0.35953689418707074,-0.1510997796949129,3.169942797028707,164,True,4.646471261978149,pass,0.010484879993437397,0.017773648204417514,0.9999974455278177,0.3594286238855599,0.03488498516656756,0.06439028498569818,0.9999959962538466
Delhi,India,Asia,59302,85866,2.8958888401740244,3.1323573940791465,2.1323573940791465,0.4689645379225219,0.37547658492702385,0.7,0.23103546207747805,0.3245234150729761,-0.09348795299549806,0.23103546207747805,0.3245234150729761,-0.09348795299549806,2.6632819199481004,640,False,7.866572141647339,pass,0.0015984047454957228,0.0037241321111529013,0.9999953056484424,0.5120261522311645,0.005293284103468198,0.012961233980717147,0.9999946048431496
Santiago,Chile,Latin America,60718,88302,2.9085938272011593,3.2009920500101923,2.2009920500101923,0.4543405779204741,0.3500619453269389,0.65,0.1956594220795259,0.2999380546730611,-0.1042786325935352,0.1956594220795259,0.2999380546730611,-0.1042786325935352,2.8566372704866683,511,True,7.956539630889893,pass,0.001267439512545051,0.00234084691638692,0.999988478515066,0.5166419167740737,0.0046567047506979944,0.008864236108867102,0.9999913569031917
Athens,Greece,Europe,54827,88593,3.2317288926988526,3.418046572528304,2.418046572528304,0.4135569642707098,0.3499970537207817,0.625,0.21144303572929019,0.2750029462792183,-0.0635599105499281,0.21144303572929019,0.2750029462792183,-0.0635599105499281,2.8571669086042455,640,False,7.146590709686279,pass,0.0005969611939617265,0.001344532108213284,0.9985438649824253,0.5996031807175225,0.0021951009828294877,0.005054246129438825,0.9988086276396301
Mexico City,Mexico,Latin America,59012,90635,3.0717481190266387,3.3441165112815137,2.3441165112815137,0.4265999557561695,0.3323389992842675,0.625,0.1984000442438305,0.2926610007157325,-0.09426095647190197,0.1984000442438305,0.2926610007157325,-0.09426095647190197,3.008975781216233,188,True,5.4951043128967285,pass,0.0019308090858571087,0.0054885432186864425,0.9997163443380082,0.5042472694371526,0.006690296816226524,0.01894442047732704,0.9998062319688262
Tokyo,Japan,Asia,62113,98086,3.158308244650878,3.3384886732051466,2.3384886732051466,0.4276266169078313,0.36068102776739935,0.625,0.19737338309216867,0.26431897223260065,-0.06694558914043197,0.19737338309216867,0.26431897223260065,-0.06694558914043197,2.772532855941879,417,True,8.962499380111694,pass,0.002790463280506375,0.009415067739110588,0.9960729610916454,0.4997963692812121,0.008752419400452068,0.028846583066469613,0.9961866478849261
Tehran,Iran,Middle East,85612,108037,2.5238751576881744,2.9624573062932145,1.9624573062932145,0.5095652255940534,0.3678399746122325,0.7,0.19043477440594658,0.33216002538776745,-0.14172525098182087,0.19043477440594658,0.33216002538776745,-0.14172525098182087,2.718573480367854,351,True,7.633554458618164,pass,0.0016801016521293664,0.0038408829583181925,0.9999959886285279,0.48631833281929093,0.005692665746523029,0.012431771220972755,0.9999961397853928
Hyderabad,India,Asia,98461,132094,2.683174048608078,3.0485260496313233,2.0485260496313233,0.4881558622014944,0.36699418139469736,0.75,0.2618441377985056,0.38300581860530264,-0.12116168080679701,0.2618441377985056,0.38300581860530264,-0.12116168080679701,2.7248388413126183,640,False,11.009849309921265,pass,0.0027224313676522437,0.004651618557718599,0.999999999895801,0.43068238924311936,0.009432123950233191,0.016409252099307287,0.9999999997111241
Bengaluru,India,Asia,101357,136603,2.695482305119528,3.0507602322057346,2.0507602322057346,0.487624045120297,0.36882012544281323,0.7,0.21237595487970296,0.3311798745571867,-0.11880391967748377,0.21237595487970296,0.3311798745571867,-0.11880391967748377,2.7113487877034337,396,True,10.44635272026062,pass,0.002314642028027068,0.004438204727820394,0.9999987895811607,0.45787908321109394,0.007745131167705866,0.015866364211651364,0.9999989397769192
Osaka,Japan,Asia,92460,138690,3.0,3.2384598745403417,2.2384598745403417,0.4467357272621854,0.34166716025828225,0.625,0.1782642727378146,0.28333283974171775,-0.10506856700390316,0.1782642727378146,0.28333283974171775,-0.10506856700390316,2.9268250400303413,556,True,12.742751359939575,pass,0.00859145859330925,0.016242924871382042,0.9999763932347934,0.3644638882115386,0.02778544628286602,0.05321934876630481,0.9999742755443871
Cairo,Egypt,Africa,118235,163341,2.762988962659111,3.038398197635621,2.038398197635621,0.4905812814983452,0.356473857815712,0.7,0.20941871850165478,0.34352614218428795,-0.13410742368263318,0.20941871850165478,0.34352614218428795,-0.13410742368263318,2.805254798002536,640,False,13.320794105529785,pass,0.002264967257245569,0.0038121139255831247,0.999999999995464,0.43509256304948773,0.008037541427535821,0.014048596334833097,0.9999999999959251
