stem,n_nodes_5km,n_edges_5km,mean_degree_5km,pc_5km,pc_cebh_5km,gap_5km,dim_pc_5km,status,city,mean_degree,pc_cebh,pc_rank,road_gap,gap_10km,gap_diff
taipei_taiwan,5786,9073,3.136190805392326,0.575,0.4197159642873664,0.15528403571263355,0.637716301113193,ok,Taipei,3.0388088845496704,0.431684610183596,0.6,0.1683153898164039,0.1683153898164039,-0.013031354103770348
hong_kong_china,3882,5761,2.968057702215353,0.625,0.4571496587843199,0.1678503412156801,0.6738413469883701,ok,Hong Kong,2.9319313779745437,0.4651775366136339,0.675,0.2098224633863661,0.2098224633863661,-0.041972122170685994
montevideo_uruguay,4001,6977,3.487628092976756,0.55,0.3810694194112186,0.16893058058878146,0.5734556399598681,ok,Montevideo,3.2628442700385145,0.4069683126676818,0.6,0.1930316873323181,0.1930316873323181,-0.024101106743536632
kampala_uganda,7702,9225,2.3954816930667358,0.775,0.5544536602957085,0.2205463397042915,0.8349051490514906,ok,Kampala,2.3041723494864588,0.574452139397388,0.825,0.2505478606026119,0.2505478606026119,-0.030001520898320422
auckland_new_zealand,3322,4625,2.7844671884406984,0.7,0.4825247782994262,0.21747522170057376,0.7182702702702702,ok,Auckland,2.67693289715152,0.5044505924099357,0.725,0.2205494075900642,0.2205494075900642,-0.003074185889490433
chicago_united_states,3511,5657,3.2224437482198804,0.6,0.40453375286041193,0.19546624713958805,0.6206469860350009,ok,Chicago,3.2926093514328807,0.3959947031400221,0.6,0.2040052968599778,0.2040052968599778,-0.008539049720389769
kuala_lumpur_malaysia,6053,8348,2.7583016685940858,0.675,0.4957244655581948,0.17927553444180522,0.7250838524197412,ok,Kuala Lumpur,2.74092387069035,0.4969016115517276,0.7,0.2030983884482723,0.2030983884482723,-0.02382285400646708
barcelona_spain,5954,9537,3.2035606315082297,0.575,0.41628109995635093,0.15871890004364902,0.6243053371081053,ok,Barcelona,3.0866445325050877,0.438814196750765,0.625,0.1861858032492349,0.1861858032492349,-0.02746690320558587
algiers_algeria,5833,7747,2.656266072346991,0.775,0.5047563200416992,0.2702436799583008,0.7529366206273397,ok,Algiers,2.661843984702576,0.5065855241235377,0.75,0.2434144758764622,0.2434144758764622,0.026829204081838587
addis_ababa_ethiopia,12742,17944,2.8165123214566004,0.7,0.48201574126306185,0.2179842587369381,0.7100980829246545,ok,Addis Ababa,2.8295156427424724,0.482274189457948,0.7,0.2177258105420519,0.2177258105420519,0.00025844819488621273
boston_united_states,6632,9933,2.9954764776839564,0.65,0.44409174229892245,0.20590825770107757,0.6676734118594584,ok,Boston,2.8883516660622908,0.4629981269779758,0.675,0.2120018730220242,0.2120018730220242,-0.006093615320946627
amsterdam_netherlands,9269,13852,2.988887690149962,0.65,0.44415942540160963,0.2058405745983904,0.6691452497834248,ok,Amsterdam,2.8349640101719755,0.466680857102313,0.7,0.2333191428976869,0.2333191428976869,-0.027478568299296513
