city,country,macro_region,n_nodes,n_edges,pc_cebh_registry,pc_cebh_from_graph,pc_rank_coarse,pc_rank_fine,pc_rank_fine_ci_low,pc_rank_fine_ci_high,road_gap_coarse,road_gap_fine,delta_fine_minus_coarse,abs_delta_fine_minus_coarse,p_grid_min,p_grid_max,p_grid_step,n_perm,n_bootstrap,threshold_boundary_hit,graph_cache_file,status,notes
Amsterdam,Netherlands,Europe,23201,32887,0.466680857102313,0.46668085710231305,0.7,0.685,0.64,0.71,0.23331914289768696,0.218319142897687,-0.014999999999999902,0.014999999999999902,0.625,0.775,0.005,32,500,False,cache\R61_osmnx_city_windows\amsterdam_netherlands__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Dubai,United Arab Emirates,Middle East,15724,22720,0.4908611675236571,0.49086116752365716,0.725,0.68,0.675,0.745,0.23413883247634287,0.1891388324763429,-0.04499999999999993,0.04499999999999993,0.65,0.8,0.005,32,500,False,cache\R61_osmnx_city_windows\dubai_united_arab_emirates__drive_10000m.pkl,diagnostic,local fine grid around registered coarse estimate
Dar es Salaam,Tanzania,Africa,22312,29826,0.5075988359230076,0.5075988359230076,0.775,0.755,0.73,0.8,0.26740116407699244,0.24740116407699242,-0.020000000000000018,0.020000000000000018,0.7,0.85,0.005,32,500,False,cache\R61_osmnx_city_windows\dar_es_salaam_tanzania__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Rio de Janeiro,Brazil,Latin America,14909,20774,0.479348377866999,0.479348377866999,0.7,0.71,0.705,0.715,0.22065162213300094,0.23065162213300094,0.010000000000000009,0.010000000000000009,0.625,0.775,0.005,32,500,False,cache\R61_osmnx_city_windows\rio_de_janeiro_brazil__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Kuala Lumpur,Malaysia,Asia,37213,50999,0.4969016115517276,0.4969016115517276,0.7,0.71,0.685,0.72,0.20309838844827238,0.2130983884482724,0.010000000000000009,0.010000000000000009,0.625,0.775,0.005,32,500,False,cache\R61_osmnx_city_windows\kuala_lumpur_malaysia__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Seattle,United States,North America,17570,26501,0.4417716876708675,0.44177168767086755,0.65,0.645,0.635,0.725,0.20822831232913253,0.20322831232913247,-0.0050000000000000044,0.0050000000000000044,0.575,0.725,0.005,32,500,False,cache\R61_osmnx_city_windows\seattle_united_states__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Sydney,Australia,Oceania,22215,31013,0.487296324811841,0.48729632481184104,0.7,0.715,0.675,0.725,0.21270367518815897,0.22770367518815893,0.015000000000000013,0.015000000000000013,0.625,0.775,0.005,32,500,False,cache\R61_osmnx_city_windows\sydney_australia__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Nairobi,Kenya,Africa,22960,28157,0.5433092136999518,0.5433092136999518,0.825,0.76,0.755,0.805,0.2816907863000482,0.21669078630004823,-0.06499999999999995,0.06499999999999995,0.75,0.9,0.005,32,500,False,cache\R61_osmnx_city_windows\nairobi_kenya__drive_10000m.pkl,diagnostic,local fine grid around registered coarse estimate
Taipei,Taiwan,Asia,16388,24900,0.431684610183596,0.431684610183596,0.6,0.605,0.59,0.62,0.16831538981640398,0.173315389816404,0.0050000000000000044,0.0050000000000000044,0.525,0.675,0.005,32,500,False,cache\R61_osmnx_city_windows\taipei_taiwan__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Chicago,United States,North America,13260,21830,0.3959947031400221,0.3959947031400221,0.6,0.61,0.58,0.615,0.20400529685997787,0.21400529685997788,0.010000000000000009,0.010000000000000009,0.525,0.675,0.005,32,500,False,cache\R61_osmnx_city_windows\chicago_united_states__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Rome,Italy,Europe,25843,37062,0.4705329710788918,0.47053297107889186,0.675,0.685,0.67,0.705,0.20446702892110824,0.2144670289211082,0.010000000000000009,0.010000000000000009,0.6,0.75,0.005,32,500,False,cache\R61_osmnx_city_windows\rome_italy__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Hong Kong,China,Asia,9035,13245,0.4651775366136339,0.4651775366136339,0.675,0.69,0.62,0.75,0.20982246338636612,0.22482246338636602,0.014999999999999902,0.014999999999999902,0.6,0.75,0.005,32,500,False,cache\R61_osmnx_city_windows\hong_kong_china__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Kampala,Uganda,Africa,35927,41391,0.574452139397388,0.574452139397388,0.825,0.82,0.805,0.835,0.2505478606026119,0.2455478606026119,-0.0050000000000000044,0.0050000000000000044,0.75,0.9,0.005,32,500,False,cache\R61_osmnx_city_windows\kampala_uganda__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Buenos Aires,Argentina,Latin America,21642,37472,0.3806157377781841,0.3806157377781841,0.575,0.56,0.545,0.605,0.19438426222181587,0.17938426222181597,-0.014999999999999902,0.014999999999999902,0.5,0.65,0.005,32,500,False,cache\R61_osmnx_city_windows\buenos_aires_argentina__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Montevideo,Uruguay,Latin America,13761,22450,0.4069683126676818,0.4069683126676818,0.6,0.575,0.56,0.625,0.19303168733231818,0.16803168733231816,-0.025000000000000022,0.025000000000000022,0.525,0.675,0.005,32,500,False,cache\R61_osmnx_city_windows\montevideo_uruguay__drive_10000m.pkl,diagnostic,local fine grid around registered coarse estimate
Chennai,India,Asia,42444,56880,0.498448919501551,0.498448919501551,0.725,0.74,0.7,0.74,0.22655108049844896,0.24155108049844898,0.015000000000000013,0.015000000000000013,0.65,0.8,0.005,32,500,False,cache\R61_osmnx_city_windows\chennai_india__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Dakar,Senegal,Africa,28624,43129,0.4600377595972308,0.46003775959723087,0.7,0.695,0.675,0.71,0.23996224040276914,0.23496224040276908,-0.0050000000000000044,0.0050000000000000044,0.625,0.775,0.005,32,500,False,cache\R61_osmnx_city_windows\dakar_senegal__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Singapore,Singapore,Asia,13478,19430,0.4668204315025708,0.4668204315025708,0.675,0.68,0.65,0.69,0.20817956849742925,0.21317956849742925,0.0050000000000000044,0.0050000000000000044,0.6,0.75,0.005,32,500,False,cache\R61_osmnx_city_windows\singapore_singapore__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Miami,United States,North America,17983,28736,0.4188310741874362,0.4188310741874362,0.6,0.605,0.6,0.635,0.18116892581256377,0.18616892581256378,0.0050000000000000044,0.0050000000000000044,0.525,0.675,0.005,32,500,False,cache\R61_osmnx_city_windows\miami_united_states__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Ho Chi Minh City,Vietnam,Asia,40466,51958,0.5059497146863499,0.5059497146863499,0.725,0.71,0.7,0.77,0.21905028531365012,0.2040502853136501,-0.015000000000000013,0.015000000000000013,0.65,0.8,0.005,32,500,False,cache\R61_osmnx_city_windows\ho_chi_minh_city_vietnam__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
Barcelona,Spain,Europe,18674,28820,0.438814196750765,0.43881419675076505,0.625,0.63,0.615,0.665,0.186185803249235,0.19118580324923495,0.0050000000000000044,0.0050000000000000044,0.55,0.7,0.005,32,500,False,cache\R61_osmnx_city_windows\barcelona_spain__drive_10000m.pkl,pass,local fine grid around registered coarse estimate
