city,replicate,n_nodes,n_edges,pc_cebh_null,pc_rank_null,pc_rank_ci_low,pc_rank_ci_high,lcc_fraction_p1,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,degree_max_abs_drift,chord_length_mean_ratio,chord_length_median_ratio,chord_length_bin_tvd,length_rejects,topology_rejects,threshold_boundary_hit
Berlin,1,28407,42285,0.4456024616941008,0.514985,0.514985,0.534985,0.9995423663181611,10571,386966,0.027317645477897282,0.24999408773796855,0,16.76606500085136,1.0,0.07927160931772495,376309,86,False
Berlin,2,28407,42285,0.4456024616941008,0.514985,0.504985,0.524985,0.9993663533636076,10571,371191,0.028478599966055212,0.24999408773796855,0,16.901664273964347,1.0000700667678692,0.07910606598084428,360522,98,False
Berlin,3,28407,42285,0.4456024616941008,0.514985,0.514985,0.514985,0.99897912486359,10571,379755,0.027836368184750694,0.24999408773796855,0,16.874412733562853,1.000077903817767,0.07936620551022822,369093,91,False
Berlin,4,28407,42285,0.4456024616941008,0.504985,0.504985,0.524985,0.9998591896363572,10571,384559,0.02748862983313354,0.24999408773796855,0,16.912566837832166,1.0,0.07868038311457964,373892,96,False
Buenos Aires,1,17908,31606,0.3750741698905847,0.434939,0.434939,0.434939,1.0,7902,278547,0.028368641557798144,0.25001581978105425,0,11.819101153151776,1.0000072353096927,0.07998481301018795,270548,97,False
Buenos Aires,2,17908,31606,0.3750741698905847,0.434939,0.424939,0.444939,1.0,7902,289086,0.027334426433656422,0.25001581978105425,0,11.524053197146001,1.0,0.0791305448332595,281070,114,False
Buenos Aires,3,17908,31606,0.3750741698905847,0.434939,0.434939,0.444939,1.0,7902,279732,0.02824846638925829,0.25001581978105425,0,11.660337419348172,1.0,0.07884578877428336,271727,103,False
Buenos Aires,4,17908,31606,0.3750741698905847,0.434939,0.434939,0.444939,1.0,7902,289958,0.02725222273570655,0.25001581978105425,0,11.691184733192456,1.0,0.07941530089223565,281949,107,False
Chicago,1,29581,48968,0.39351323550683875,0.443386,0.433386,0.453386,0.9998647780670025,12242,439158,0.027876071937662526,0.25,0,17.63439515355251,1.0,0.07986848554157816,426802,114,False
Chicago,2,29581,48968,0.39351323550683875,0.443386,0.443386,0.45863599999999977,0.9999323890335012,12242,439920,0.02782778687034006,0.25,0,17.473230627627018,1.0,0.07927626204868485,427583,95,False
Chicago,3,29581,48968,0.39351323550683875,0.443386,0.443386,0.463386,1.0,12242,440187,0.027810907636981557,0.25,0,17.555617807474462,1.0,0.07907204705113544,427844,101,False
Chicago,4,29581,48968,0.39351323550683875,0.453386,0.443386,0.453386,0.9999323890335012,12242,437012,0.028012960742496772,0.25,0,17.533857091310825,1.0000106858296423,0.07913331155040025,424659,111,False
Madrid,1,31430,48012,0.44939487256287614,0.519106,0.519106,0.529106,0.9999363665287941,12003,436253,0.027513850907615534,0.25,0,15.917907762541192,1.000139171363208,0.07956344247271516,424166,84,False
Madrid,2,31430,48012,0.44939487256287614,0.529106,0.519106,0.529106,0.9998090995863824,12003,433284,0.027702384579167474,0.25,0,15.862463930073453,1.0,0.07898025493626593,421189,92,False
Madrid,3,31430,48012,0.44939487256287614,0.529106,0.519106,0.539106,1.0,12003,431054,0.027845699146742637,0.25,0,15.949955685021989,1.0002801533083587,0.07895942680996416,418965,86,False
Madrid,4,31430,48012,0.44939487256287614,0.529106,0.519106,0.529106,0.9999363665287941,12003,436442,0.02750193611064013,0.25,0,16.045159764988988,1.0,0.07960509872531865,424352,87,False
Rotterdam,1,11445,16412,0.46396969439968344,0.542401,0.532401,0.552401,0.9991262560069899,4103,147052,0.027901694638631232,0.25,0,10.358832753876328,1.0,0.078966609797709,142870,79,False
Rotterdam,2,11445,16412,0.46396969439968344,0.542401,0.542401,0.552401,0.9994757536041939,4103,145346,0.02822919103380898,0.25,0,10.40862153015507,1.0001019110270635,0.0795149890324153,141190,53,False
Rotterdam,3,11445,16412,0.46396969439968344,0.542401,0.522401,0.5676509999999998,0.9993010048055919,4103,146895,0.027931515708499267,0.25,0,10.50735025104626,1.0001019110270635,0.08018523031927857,142706,86,False
Rotterdam,4,11445,16412,0.46396969439968344,0.552401,0.532401,0.552401,0.9988641328090869,4103,147216,0.027870611890011956,0.25,0,10.38259780743664,1.0001019110270635,0.07908847184986595,143027,86,False
Stockholm,1,13781,18175,0.4966389769373702,0.593601,0.563601,0.603601,0.9973151440388941,4544,161531,0.028130823185642386,0.2500137551581843,0,13.258336954565086,1.0,0.0797799174690509,156922,65,False
Stockholm,2,13781,18175,0.4966389769373702,0.573601,0.563601,0.573601,0.9961541252449024,4544,163313,0.027823871951406197,0.2500137551581843,0,13.476723022123997,1.0,0.0797799174690509,158691,78,False
Stockholm,3,13781,18175,0.4966389769373702,0.573601,0.573601,0.593601,0.9969523256657717,4544,161328,0.02816622037092135,0.2500137551581843,0,13.550110654924598,1.0,0.07851444291609352,156716,68,False
Stockholm,4,13781,18175,0.4966389769373702,0.583601,0.583601,0.593601,0.9972425803642696,4544,161605,0.02811794189536215,0.2500137551581843,0,13.574997766086492,1.0,0.07900962861072904,156997,64,False
Sydney,1,118520,158618,0.5064755092917812,0.565461,0.565461,0.575461,0.9973169085386433,39654,1430281,0.027724621944918516,0.24999684777263614,0,37.46884873846643,1.0,0.07919025583477285,1390567,60,False
