key,doi,candidate_title,crossref_title,similarity,journal,year,volume,page,authors,verdict
ouyang2014,10.1016/j.ress.2013.06.040,Review on modeling and simulation of interdependent critical infrastructure systems,Review on modeling and simulation of interdependent critical infrastructure systems,1.0,Reliability Engineering &amp; System Safety,2014,121,43-60,"Ouyang, Min",VERIFIED
zio2016,10.1016/j.ress.2016.02.009,Challenges in the vulnerability and risk analysis of critical infrastructures,Challenges in the vulnerability and risk analysis of critical infrastructures,1.0,Reliability Engineering &amp; System Safety,2016,152,137-150,"Zio, Enrico",VERIFIED
johansson2010,10.1016/j.ress.2010.06.010,An approach for modelling interdependent infrastructures in the context of vulnerability analysis,An approach for modelling interdependent infrastructures in the context of vulnerability analysis,1.0,Reliability Engineering &amp; System Safety,2010,95,1335-1344,"Johansson, Jonas; Hassel, Henrik",VERIFIED
larocca2015,10.1111/risa.12281,Topological performance measures as surrogates for physical flow models for risk and vulnerability analysis for electric power systems,Topological Performance Measures as Surrogates for Physical Flow Models for Risk and Vulnerability Analysis for Electric Power Systems,1.0,Risk Analysis,2014,35,608-623,"LaRocca, Sarah; Johansson, Jonas; Hassel, Henrik; Guikema, Seth",VERIFIED
hines2010,10.1063/1.3489887,Do topological models provide good information about electricity infrastructure vulnerability,Do topological models provide good information about electricity infrastructure vulnerability?,0.995,Chaos: An Interdisciplinary Journal of Nonlinear Science,2010,20,,"Hines, Paul; Cotilla-Sanchez, Eduardo; Blumsack, Seth",VERIFIED
duenasosorio2009,10.1016/j.strusafe.2008.06.007,Cascading failures in complex infrastructure systems,Cascading failures in complex infrastructure systems,1.0,Structural Safety,2009,31,157-167,"Dueñas-Osorio, Leonardo; Vemuru, Srivishnu Mohan",VERIFIED
mattsson2015,10.1016/j.tra.2015.06.002,Vulnerability and resilience of transport systems - a discussion of recent research,Vulnerability and resilience of transport systems – A discussion of recent research,0.988,Transportation Research Part A: Policy and Practice,2015,81,16-34,"Mattsson, Lars-Göran; Jenelius, Erik",VERIFIED
ganin2017,10.1126/sciadv.1701079,Resilience and efficiency in transportation networks,Resilience and efficiency in transportation networks,1.0,Science Advances,2017,3,,"Ganin, Alexander A.; Kitsak, Maksim; Marchese, Dayton; Keisler, Jeffrey M.; Seager, Thomas; Linkov, Igor",VERIFIED
rocchetta2018,10.1016/j.ijepes.2017.11.047,Assessment of power grid vulnerabilities accounting for stochastic loads and model imprecision,Assessment of power grid vulnerabilities accounting for stochastic loads and model imprecision,1.0,International Journal of Electrical Power &amp; Energy Systems,2018,98,219-232,"Rocchetta, Roberto; Patelli, Edoardo",VERIFIED
fang2015,10.1111/risa.12287,Optimization of cascade-resilient electrical infrastructures and its validation by power flow modeling,From the Editors,0.153,Risk Analysis,2014,34,1359-1361,,CHECK_TITLE
cadini2017,10.1016/j.apenergy.2016.10.086,A modeling and simulation framework for the reliability/availability assessment of a power transmission grid subject to cascading failures under extreme weather conditions,A modeling and simulation framework for the reliability/availability assessment of a power transmission grid subject to cascading failures under extreme weather conditions,1.0,Applied Energy,2017,185,267-279,"Cadini, Francesco; Agliardi, Gian Luca; Zio, Enrico",VERIFIED
murray2008,10.1111/j.1468-2257.2008.00447.x,A methodological overview of network vulnerability analysis,A Methodological Overview of Network Vulnerability Analysis,1.0,Growth and Change,2008,39,573-592,"MURRAY, ALAN T.; MATISZIW, TIMOTHY C.; GRUBESIC, TONY H.",VERIFIED
koc2014,10.1016/j.physa.2014.01.056,The impact of the topology on cascading failures in a power grid model,The impact of the topology on cascading failures in a power grid model,1.0,Physica A: Statistical Mechanics and its Applications,2014,402,169-179,"Koç, Yakup; Warnier, Martijn; Mieghem, Piet Van; Kooij, Robert E.; Brazier, Frances M.T.",VERIFIED
