swap_fraction,n_geometry_replicates,road_minus_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,null_mobility_index_mean,attempted_swaps_mean,accepted_swaps_mean,topology_rejects_mean,length_rejects_mean,crossing_rejects_mean,length_bin_tvd_mean,degree_max_abs_drift_mean,attempts_per_accepted_swap,road_minus_spatial_mean,spatial_minus_geometry_mean
0.005,63,0.005555555555555542,0.004998277207361131,0.001891286249075414,0.003219563174434892,89040.55555555556,159.52380952380952,4275.888888888889,81560.31746031746,3044.8253968253966,0.0,0.0,558.1646766169155,0.05952380952380944,0.0539682539682539
0.01,63,0.0031746031746031664,0.009996653593478523,0.0018800307112749933,0.006111707067359088,176390.92063492062,319.0952380952381,8490.380952380952,161546.09523809524,6035.349206349207,1.1984156944519486e-06,0.0,552.7845595184798,0.07738095238095233,0.07420634920634914
0.02,36,0.0,0.0200009983222069,0.001916373386655978,0.011423651392974132,254266.11111111112,479.0,12760.638888888889,231914.33333333334,9112.138888888889,0.0,0.0,530.826954302946,0.08958333333333328,0.08958333333333325
