covariate,n,spearman_rho,spearman_p,pearson_r,pearson_p,abs_spearman_rho
kappa,71,-0.6307176391683432,3.743011309454672e-09,-0.6470301072857352,1.0840396011841688e-09,0.6307176391683432
degree4plus_share,71,-0.6259221998658617,5.315099005476507e-09,-0.5752039098741638,1.5482903580759627e-07,0.6259221998658617
cycle_density,71,-0.6131455399061032,1.3148450934211055e-08,-0.6369635957284666,2.349115067011032e-09,0.6131455399061032
mean_degree,71,-0.6126425217974513,1.3614562111970821e-08,-0.6369700136657752,2.3479781607230494e-09,0.6126425217974513
lanes_coverage_share,71,-0.5287391012743125,2.138705090242818e-06,-0.4728387345103375,3.1294325149934526e-05,0.5287391012743125
dead_end_share,71,0.5099262240107311,5.564886992458437e-06,0.5740235560625208,1.6634917870390038e-07,0.5099262240107311
orientation_dominance,71,-0.4562709590878604,6.359991067468349e-05,-0.33363735811216205,0.004464393083799434,0.4562709590878604
orientation_entropy,71,0.4479879275653923,8.945288330579691e-05,0.3011733337516995,0.010703154027864016,0.4479879275653923
residential_length_share,71,0.41569416498993955,0.0003119851470209694,0.40231092737686786,0.0005052494322194841,0.41569416498993955
oneway_length_share,71,-0.4093561368209255,0.00039298453233352376,-0.3890699636487859,0.0007984200903614706,0.4093561368209255
local_length_share,71,0.3812206572769953,0.0010380269098270135,0.3726468781272862,0.00137257637397711,0.3812206572769953
degree_gini,71,0.3746814218645204,0.0012854085282216563,0.42580320368901864,0.00021384959936987085,0.3746814218645204
orientation_fourfold_order,71,-0.3578806170355466,0.0021824799884299553,-0.3494408050116352,0.0028177370987900697,0.3578806170355466
degree3_share,71,0.31794097920858483,0.0068931398563953335,0.24411842030552452,0.04020670667338834,0.31794097920858483
maxspeed_coverage_share,71,-0.3162307176391683,0.0072176400297906925,-0.2183441984497431,0.06735703392543263,0.3162307176391683
arterial_length_share,71,-0.28484238765928904,0.016056583144086485,-0.2767680858357011,0.01946324897451725,0.28484238765928904
edge_length_median_m,71,-0.28293091884641175,0.016812918025257046,-0.2935909087147025,0.012956733337781653,0.28293091884641175
motorway_trunk_length_share,71,-0.2487592219986586,0.036449017312287106,-0.2237490318726104,0.06069165392669054,0.2487592219986586
collector_length_share,71,-0.2459423205902079,0.038693244581568774,-0.3197971568363703,0.0065555248031824945,0.2459423205902079
orthogonal_alignment_share_10deg,71,-0.2187458081824279,0.06684231326289537,-0.24802985582726983,0.03701942959440259,0.2187458081824279
edge_length_cv,71,0.21566063044936282,0.07087880729065683,0.2002195654520651,0.09410445167954797,0.21566063044936282
edge_length_iqr_m,71,-0.1799798792756539,0.13311956997298965,-0.198270719444213,0.09741751446351984,0.1799798792756539
bridge_tunnel_length_share,71,-0.1702213279678068,0.1558312554286466,-0.15372405486467736,0.2005685320104521,0.1702213279678068
chord_length_density_km_per_km2,71,-0.16498993963782693,0.1691323108789227,-0.15895363033045273,0.18549343637355925,0.16498993963782693
degree2_share,71,-0.1186787391012743,0.3242587565840461,-0.061560536633959585,0.6100548310491716,0.1186787391012743
edge_circuity_median,71,0.11173708920187793,0.3535574538767719,0.24974027394856527,0.035693339598609215,0.11173708920187793
node_density_per_km2,71,0.07176451848440066,0.5520220843613072,0.019764210634949486,0.8700490951798253,0.07176451848440066
