city,country,macro_region,replicate,swap_fraction,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null,pc_geometry_null_ci_low,pc_geometry_null_ci_high,geometry_null_gap,road_minus_geometry,geometry_fraction_of_road_gap,remaining_fraction_after_geometry,threshold_boundary_hit,runtime_seconds,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,target_swaps,target_swap_fraction,topology_rejects,length_rejects,crossing_rejects,degree_max_abs_drift,length_bin_tvd,length_mean_ratio,length_median_ratio,stale_index_guard_calls,max_attempts,status,source_round,full_connectivity_metrics,notes,original_connected_components,null_connected_components,delta_connected_components,original_bridge_edge_share,null_bridge_edge_share,delta_bridge_edge_share,original_articulation_point_share,null_articulation_point_share,delta_articulation_point_share,original_largest_biconnected_node_fraction,null_largest_biconnected_node_fraction,delta_largest_biconnected_node_fraction,original_cyclomatic_density,null_cyclomatic_density,delta_cyclomatic_density,original_dual_endpoint_degree_mean,null_dual_endpoint_degree_mean,delta_dual_endpoint_degree_mean,original_dual_endpoint_degree_cv,null_dual_endpoint_degree_cv,delta_dual_endpoint_degree_cv,original_angular_entropy,null_angular_entropy,delta_angular_entropy,original_straight_angle_share_10deg,null_straight_angle_share_10deg,delta_straight_angle_share_10deg,original_right_angle_share_10deg,null_right_angle_share_10deg,delta_right_angle_share_10deg,null_mobility_index
Panama City,Panama,Latin America,0,0.01,9245,12302,0.4936399020906064,0.725,0.2313600979093936,0.75,0.725,0.75,0.2563600979093936,-0.025,1.1080566624318713,-0.1080566624318712,False,4.607115268707275,123,65461,0.0018789813782252,0.0099983742480897,123,0.01,2986,60137,2215,0,0.0,1.0082746246755965,1.0002017216050616,373,110700,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,7.0,6.0,0.2188262071207933,0.219232645098358,0.0004064379775646,0.2311519740400216,0.2310438074634938,-0.0001081665765278,0.6281233098972417,0.6268253109789075,-0.0012979989183342,0.3307733910221741,0.3314223904813412,0.0006489994591671,4.051536335555194,4.051536335555194,0.0,0.2715558015835432,0.2719931095694294,0.0004373079858862,0.8357532604727221,0.8478599979429141,0.0121067374701919,0.2211387986035873,0.2150395248986798,-0.0060992737049075,0.3469363187673047,0.3373861402030416,-0.0095501785642631,0.0042241133159699
Panama City,Panama,Latin America,1,0.01,9245,12302,0.4936399020906064,0.725,0.2313600979093936,0.725,0.725,0.7506249999999998,0.2313600979093936,0.0,1.0,0.0,False,4.4189536571502686,123,64036,0.0019207945530639,0.0099983742480897,123,0.01,2789,58901,2223,0,0.0,1.0166655310850263,1.0009853376368196,360,110700,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,9.0,8.0,0.2188262071207933,0.2169565924239961,-0.0018696146967972,0.2311519740400216,0.2307193077339102,-0.0004326663061114,0.6281233098972417,0.6275824770146025,-0.0005408328826392,0.3307733910221741,0.3316387236343969,0.0008653326122228,4.051536335555194,4.051536335555194,0.0,0.2715558015835432,0.2721751138569931,0.0006193122734499,0.8357532604727221,0.8465752051884674,0.0108219447157452,0.2211387986035873,0.2160025681152441,-0.0051362304883431,0.3469363187673047,0.3387504514265078,-0.0081858673407969,0.0038553080614904
Panama City,Panama,Latin America,2,0.01,9245,12302,0.4936399020906064,0.725,0.2313600979093936,0.7,0.675,0.75,0.2063600979093935,0.025,0.8919433375681287,0.1080566624318712,False,4.640628814697266,123,65778,0.0018699261151144,0.0099983742480897,123,0.01,2772,60661,2222,0,0.0,1.013431959496285,1.0009853376368196,379,110700,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,3.0,2.0,0.2188262071207933,0.2188262071207933,0.0,0.2311519740400216,0.2306111411573823,-0.0005408328826392,0.6281233098972417,0.6350459707950243,0.0069226608977825,0.3307733910221741,0.3309897241752298,0.0002163331530557,4.051536335555194,4.051536335555194,0.0,0.2715558015835432,0.2715740368088648,1.823522532157229e-05,0.8357532604727221,0.8476530682366088,0.0118998077638866,0.2211387986035873,0.2152000321014405,-0.0059387665021467,0.3469363187673047,0.3380281690140845,-0.0089081497532201,0.0048871739713822
Panama City,Panama,Latin America,0,0.02,9245,12302,0.4936399020906064,0.725,0.2313600979093936,0.725,0.725,0.75,0.2313600979093936,0.0,1.0,0.0,False,8.237569570541382,246,132825,0.0018520609824957,0.0199967484961794,246,0.02,5847,122300,4432,0,0.0,1.0139798508272757,1.000769941030814,753,221400,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,10.0,9.0,0.2188262071207933,0.2171191676150219,-0.0017070395057714,0.2311519740400216,0.2301784748512709,-0.0009734991887506,0.6281233098972417,0.6424012979989183,0.0142779881016765,0.3307733910221741,0.3317468902109248,0.0009734991887507,4.051536335555194,4.051536335555194,0.0,0.2715558015835432,0.2720295201686971,0.0004737185851538,0.8357532604727221,0.8569943613551495,0.0212411008824273,0.2211387986035873,0.2099032944103366,-0.0112355041932506,0.3469363187673047,0.330163316078809,-0.0167730026884956,0.009458304937196
Panama City,Panama,Latin America,1,0.02,9245,12302,0.4936399020906064,0.725,0.2313600979093936,0.725,0.725,0.75,0.2313600979093936,0.0,1.0,0.0,False,8.013099431991577,246,128370,0.0019163355924281,0.0199967484961794,246,0.02,5665,118298,4161,0,0.0,1.0294348925635797,1.0021340432393662,742,221400,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,7.0,6.0,0.2188262071207933,0.2189074947163063,8.128759551292997e-05,0.2311519740400216,0.2319091400757166,0.0007571660356949,0.6281233098972417,0.6226068144943212,-0.0055164954029205,0.3307733910221741,0.3314223904813412,0.0006489994591671,4.051536335555194,4.051536335555194,0.0,0.2715558015835432,0.2718474184048691,0.0002916168213258,0.8357532604727221,0.8566184632156272,0.020865202742905,0.2211387986035873,0.2109867180289715,-0.0101520805746158,0.3469363187673047,0.331046105693993,-0.0158902130733116,0.0076089207749944
Panama City,Panama,Latin America,2,0.02,9245,12302,0.4936399020906064,0.725,0.2313600979093936,0.75,0.675,0.825,0.2563600979093936,-0.025,1.1080566624318713,-0.1080566624318712,False,6.8977110385894775,246,110291,0.0022304630477554,0.0199967484961794,246,0.02,4852,101557,3636,0,0.0,1.02364961718636,1.0005136450410217,710,221400,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,6.0,5.0,0.2188262071207933,0.2171191676150219,-0.0017070395057714,0.2311519740400216,0.2294213088155759,-0.0017306652244456,0.6281233098972417,0.67203893996755,0.0439156300703083,0.3307733910221741,0.3313142239048134,0.0005408328826392,4.051536335555194,4.051536335555194,0.0,0.2715558015835432,0.2715558015835432,0.0,0.8357532604727221,0.8554885607876417,0.0197353003149195,0.2211387986035873,0.2102644356165482,-0.010874362987039,0.3469363187673047,0.3327314313229806,-0.014204887444324,0.0131668407924011
Hong Kong,China,Asia,0,0.01,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.65,0.625,0.7,0.1848224633863661,0.025,0.8808516514556161,0.1191483485443841,False,6.199239492416382,132,95450,0.0013829229963331,0.0099660249150622,132,0.01,4511,87108,3699,0,0.0,1.0143405467120803,1.0003955380788951,474,118800,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,3.0,2.0,0.0914307285768214,0.0915817289543223,0.0001510003775009,0.1147758716104039,0.1153292750415052,0.0005534034311012,0.8293303818483675,0.8359712230215828,0.0066408411732152,0.466076369673492,0.4662977310459325,0.0002213613724404,4.299433748584372,4.299433748584372,0.0,0.2304315171737292,0.230502405844061,7.088867033178126e-05,0.9033905113328412,0.9110294780726222,0.007638966739781,0.2017349769957503,0.1959751343377937,-0.0057598426579566,0.2531872300073754,0.2463386366030976,-0.0068485934042777,0.0039418068262618
Hong Kong,China,Asia,1,0.01,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.625,0.725,0.159822463386366,0.05,0.7617033029112319,0.2382966970887682,False,5.817674875259399,132,91039,0.0014499280528125,0.0099660249150622,132,0.01,4248,83091,3568,0,7.550018875047276e-05,1.0116475800880496,1.0003955380788951,441,118800,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,9.0,8.0,0.0914307285768214,0.089769724424311,-0.0016610041525103,0.1147758716104039,0.1142224681793027,-0.0005534034311012,0.8293303818483675,0.8307692307692308,0.0014388489208633,0.466076369673492,0.466961815163254,0.000885445489762,4.299433748584372,4.299433748584372,0.0,0.2304315171737292,0.230413791598416,-1.772557531320995e-05,0.9033905113328412,0.9104172165183806,0.0070267051855393,0.2017349769957503,0.1965721911986794,-0.0051627857970709,0.2531872300073754,0.2465493625539985,-0.0066378674533768,0.003211516420066
Hong Kong,China,Asia,2,0.01,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.625,0.625,0.675,0.159822463386366,0.05,0.7617033029112319,0.2382966970887682,False,6.4372429847717285,132,101982,0.0012943460610696,0.0099660249150622,132,0.01,4966,92955,3929,0,0.0,1.00959207655621,1.0,508,118800,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,6.0,5.0,0.0914307285768214,0.0911287278218195,-0.0003020007550018,0.1147758716104039,0.1158826784726065,0.0011068068622025,0.8293303818483675,0.8246817930271167,-0.0046485888212507,0.466076369673492,0.4666297731045932,0.0005534034311012,4.299433748584372,4.299433748584372,0.0,0.2304315171737292,0.2305555580431436,0.0001240408694143,0.9033905113328412,0.9109231353645796,0.0075326240317384,0.2017349769957503,0.1962912232641449,-0.0054437537316053,0.2531872300073754,0.2471112984230674,-0.0060759315843079,0.0035871008265867
Hong Kong,China,Asia,0,0.02,9035,13245,0.4651775366136339,0.675,0.2098224633863661,0.675,0.625,0.7,0.2098224633863661,0.0,1.0000000000000002,0.0,False,10.48136591911316,265,170957,0.0015500973929116,0.020007550018875,265,0.02,7959,156156,6577,0,0.0,1.0216379808499727,0.9998043655072334,913,238500,pass,R81_computed,True,R81 full-71 higher-intensity strict non-crossing geometry-null replicate,1.0,11.0,10.0,0.0914307285768214,0.0896187240468101,-0.0018120045300113,0.1147758716104039,0.1141117874930824,-0.0006640841173215,0.8293303818483675,0.8329828444936359,0.0036524626452684,0.466076369673492,0.4671831765356945,0.0011068068622025,4.299433748584372,4.299433748584372,0.0,0.2304315171737292,0.2307326436091547,0.0003011264354255,0.9033905113328412,0.9165195612460288,0.0131290499131875,0.2017349769957503,0.1920767042461279,-0.0096582727496224,0.2531872300073754,0.2416675446914621,-0.0115196853159133,0.005776508467332
