network,n_nodes,n_edges,mean_degree,deg1_share,meshedness,loops_per_node,cebh_pc,observed_pc,derived_pc,anchor_pc,cebh_abs_err,derived_abs_err,anchor_abs_err,cebh_gap,d_eff,fc_obs,fc_cebh,fc_derived,fisher_tau,fisher_r2
Net6,3356,3830,2.2824791418355184,0.14123957091775924,0.0708215297450425,0.14153754469606675,0.6491525423728813,0.93,0.8762402088772846,0.632976379565729,0.2808474576271187,0.05375979112271545,0.297023620434271,0.2808474576271187,1.8907054514570838,0.06999999999999995,0.35084745762711866,0.1237597911227154,1.7685665419188688,0.9663821354146881
ky4,964,1137,2.358921161825726,0.2717842323651452,0.0904836193447738,0.18049792531120332,0.5774504824784155,0.83,0.8478452066842568,0.6392941848298654,0.2525495175215845,0.01784520668425682,0.19070581517013452,0.2525495175215845,2.043945333650993,0.17000000000000004,0.42254951752158454,0.15215479331574322,2.381290603836109,0.9697424891791305
ky10,935,1059,2.26524064171123,0.2748663101604278,0.06702412868632708,0.13368983957219252,0.6030751708428246,0.89,0.8829084041548632,0.6311863129177289,0.28692482915717543,0.0070915958451368555,0.25881368708227115,0.28692482915717543,1.984189806530389,0.10999999999999999,0.3969248291571754,0.11709159584513684,1.9398374220939478,0.9540366995184019
Net3,97,119,2.4536082474226806,0.16494845360824742,0.12169312169312169,0.23711340206185566,0.5666666666666668,0.85,0.8151260504201681,0.6257559426662325,0.2833333333333332,0.03487394957983192,0.2242440573337675,0.2833333333333332,1.9211775878442543,0.15000000000000002,0.43333333333333324,0.18487394957983194,,
Net2,36,40,2.2222222222222223,0.16666666666666666,0.07462686567164178,0.1388888888888889,0.6896551724137931,0.85,0.8999999999999999,0.6527036446661394,0.16034482758620683,0.04999999999999993,0.19729635533386058,0.16034482758620683,2.125,0.15000000000000002,0.31034482758620685,0.10000000000000009,,
skeletonize,35,40,2.2857142857142856,0.2571428571428571,0.09230769230769231,0.17142857142857143,0.6060606060606061,0.93,0.875,0.6347385099995347,0.32393939393939397,0.05500000000000005,0.2952614900004653,0.32393939393939397,1.8883248730964466,0.06999999999999995,0.3939393939393939,0.125,,
Anytown,25,44,3.52,0.12,0.4444444444444444,0.8,0.29333333333333333,0.41,0.5681818181818182,0.5305407289332279,0.11666666666666664,0.15818181818181826,0.12054072893322793,0.11666666666666664,3.256317689530687,0.5900000000000001,0.7066666666666667,0.43181818181818177,,
