system,tau_F,r2
square_lattice,1.9890845657659177,0.9991880936570882
Cairo,2.0737987170090664,0.9997883323563271
Bengaluru,2.108036738359642,0.9994098424676969
Hyderabad,2.082803485180623,0.9988806754709066
Osaka,2.0710804156377853,0.9998589168450814
Tehran,2.245003156102567,0.9997741682093967
mean_field_Cairo,2.480595464254157,0.9998726054344761
