domain,network,family,n_nodes,n_edges,chi_topo,chi_topo_sd,chi_topo_orders,euler_slack,chi_geo,geometry_kind,status,error,mean_degree,cebh_pc,observed_pc,cebh_gap,anchor_pc,anchor_abs_err,cebh_abs_err,derived_pc,derived_abs_err,anchor_rel_dev
power,case_illinois200,Illinois,200.0,245.0,0.04625850340136054,0.0019241000848613768,3.0,0.41245791245791247,,none,ok,,2.45,0.3804347826086957,0.67,0.2895652173913043,0.5648467532143879,0.1051532467856121,0.2895652173913043,,,0.1792499999999999
power,case300,IEEE300,300.0,409.0,0.040749796251018745,0.006417284330897992,3.0,0.4574944071588367,,none,ok,,2.7266666666666666,0.3851224105461393,0.71,0.3248775894538606,0.5827555235610046,0.1272444764389954,0.3248775894538606,,,0.03203333333333347
power,case1354pegase,PEGASE,1354.0,1710.0,0.045808966861598445,0.0023553695854960396,3.0,0.42159763313609466,,none,ok,,2.5258493353028064,0.3339191564147627,0.61,0.2760808435852372,0.5664999742900929,0.043500025709907,0.2760808435852372,,,0.229615952732644
power,case1888rte,RTE,1888.0,2308.0,0.0363951473136915,0.004170863396358655,3.0,0.40791799222340047,,none,ok,,2.444915254237288,0.3413696198787161,0.65,0.3086303801212838,0.5714731116408608,0.0785268883591392,0.3086303801212838,,,0.20540254237288136
power,GBnetwork,GB,2224.0,2804.0,0.0284117926771279,0.0007328119356834313,3.0,0.42064206420642064,,none,ok,,2.521582733812949,0.3573340129985982,0.65,0.2926659870014018,0.5862154548832749,0.0637845451167251,0.2926659870014018,,,0.18048561151079157
power,case2848rte,RTE,2848.0,3442.0,0.03999612628316873,0.0011210378561679578,3.0,0.4031389084094636,,none,ok,,2.417134831460674,0.3494061516597299,0.63,0.2805938483402701,0.5750438682031671,0.0549561317968329,0.2805938483402701,,,0.2386025280898877
power,case3120sp,Polish,3120.0,3684.0,0.06360839667028595,0.0021526198431723355,3.0,0.39384220654265556,,none,ok,,2.3615384615384616,0.5042430878729811,0.67,0.1657569121270189,0.5892127902740345,0.0807872097259655,0.1657569121270189,,,0.20888461538461534
power,case2869pegase,PEGASE,2869.0,3968.0,0.0651041666666667,0.00031431933692656545,3.0,0.46134170445297057,,none,ok,,2.7661205995120253,0.3161249203314212,0.67,0.3538750796685788,0.5643775905000588,0.1056224094999412,0.3538750796685788,,,0.0733495991634715
power,case6470rte,RTE,6470.0,8066.0,0.04797917183238284,0.0009110425524857075,3.0,0.4156874871160585,,none,ok,,2.493353941267388,0.3523655585164476,0.61,0.2576344414835524,0.5782640325525026,0.0317359674474974,0.2576344414835524,,,0.2395270479134467
power,case9241pegase,PEGASE,9241.0,14207.0,0.13637643415217854,0.00024635742943618366,2.0,0.5125735108417216,,none,ok,,3.0747754572016017,0.2113602213725694,0.69,0.4786397786274304,0.560277754473476,0.1297222455265239,0.4786397786274304,,,0.06079753273455246
water,ky4,epanet_wntr,964.0,1137.0,0.0,0.0,3.0,0.39397089397089397,0.019349164467897976,inp_chord_possibly_schematic,ok,,2.358921161825726,0.5774504824784155,0.83,0.2525495175215845,0.6392941848298654,0.1907058151701345,0.2525495175215845,,,0.02104771784232362
water,Net3,epanet_wntr,97.0,119.0,0.0,0.0,3.0,0.41754385964912283,0.008403361344537815,inp_chord_possibly_schematic,ok,,2.453608247422681,0.5666666666666668,0.85,0.2833333333333332,0.6257559426662325,0.2242440573337675,0.2833333333333332,,,0.04278350515463947
water,Net2,epanet_wntr,36.0,40.0,0.0,0.0,3.0,0.39215686274509803,0.0,inp_chord_possibly_schematic,ok,,2.2222222222222223,0.6896551724137931,0.85,0.1603448275862068,0.6527036446661394,0.1972963553338605,0.1603448275862068,,,0.05555555555555558
water,skeletonize,epanet_wntr,35.0,40.0,0.0,0.0,3.0,0.40404040404040403,0.0,inp_chord_possibly_schematic,ok,,2.2857142857142856,0.6060606060606061,0.93,0.3239393939393939,0.6347385099995347,0.2952614900004653,0.3239393939393939,,,0.06285714285714294
water,Anytown,epanet_wntr,25.0,44.0,0.0,0.0,3.0,0.6376811594202898,0.0,inp_chord_possibly_schematic,ok,,3.52,0.2933333333333333,0.41,0.1166666666666666,0.5305407289332279,0.1205407289332279,0.1166666666666666,,,0.2784000000000001
water,ky10,epanet_wntr,935.0,1059.0,0.0,0.0,3.0,0.3783494105037513,0.014164305949008499,inp_chord_possibly_schematic,ok,,2.26524064171123,0.6030751708428246,0.89,0.2869248291571754,0.6311863129177289,0.2588136870822711,0.2869248291571754,,,0.00803208556149726
water,Net6,epanet_wntr,3356.0,3830.0,0.01140121845082683,0.0008875577917480828,3.0,0.3806400318028225,0.12689295039164492,inp_chord_possibly_schematic,ok,,2.2824791418355184,0.6491525423728813,0.93,0.2808474576271187,0.632976379565729,0.297023620434271,0.2808474576271187,,,0.06135280095351603
rail,"Chicago, Illinois, USA",,,,,,,,,,fail,Nominatim did not geocode query to a polygon geometry; traceback redacted for public archive.,,,,,,,,,,
rail,Madrid,osm_rail,2292.0,2746.0,0.008011653313911146,0.0007866886014090963,3.0,0.3997088791848617,0.2658412235979607,osm_polyline,ok,,2.396160558464224,0.5534058847239016,0.77,0.2165941152760984,,,0.2165941152760984,0.8346686088856519,0.0646686088856518,0.07747818499127379
rail,Osaka,osm_rail,1553.0,1881.0,0.0030125819599503556,0.00025061378032485113,3.0,0.40425531914893614,0.23710792131844763,osm_polyline,ok,,2.4224082421120414,0.5514511873350925,0.83,0.2785488126649075,,,0.2785488126649075,0.8256246677299308,0.0043753322700691,0.005299420476497119
rail,Milan,osm_rail,2762.0,3488.0,0.01079892966360855,0.003583397029673696,3.0,0.421256038647343,0.1338876146788991,osm_polyline,ok,,2.529112081513828,0.508635831381733,0.71,0.201364168618267,,,0.201364168618267,0.7907913669064749,0.0807913669064749,0.10216521106259102
rail,Berlin,osm_rail,4142.0,5121.0,0.016403046280023426,0.0016873633270605458,3.0,0.41231884057971013,0.20855301698886936,osm_polyline,ok,,2.474502185526955,0.5466151700461325,0.73,0.1833848299538675,,,0.1833848299538675,0.808243375858685,0.078243375858685,0.09680670228266153
rail,Vienna,osm_rail,3985.0,5165.0,0.008712487899322366,0.0015244932960332457,3.0,0.4322537450832706,0.1004840271055179,osm_polyline,ok,,2.5895316804407718,0.5275510204081633,0.83,0.3024489795918367,,,0.3024489795918367,0.772340425531915,0.057659574468085,0.0746556473829203
rail,Hamburg,osm_rail,4156.0,5365.0,0.008387698042870503,0.0010543996737171224,3.0,0.4305087465896325,0.08331780055917987,osm_polyline,ok,,2.5825710158883006,0.5310365310365311,0.79,0.2589634689634689,,,0.2589634689634689,0.7744220730797912,0.0155779269202088,0.02011555127587883
road,panama_city_panama,osmnx_road,9245.0,12302.0,0.019427735327589013,0.0008941635506422019,2.0,0.44365105124598797,,see_S1,ok,,,,,,,,,,,
road,hong_kong_china,osmnx_road,9035.0,13245.0,0.057380143450358634,0.0021895054737636754,2.0,0.4887634230045389,,see_S1,ok,,,,,,,,,,,
road,lagos_nigeria,osmnx_road,13226.0,17952.0,0.01409313725490191,0.0,1.0,0.45251058681185724,,see_S1,ok,,,,,,,,,,,
