city,place,n_nodes,n_edges,mean_degree,deg1_share,meshedness,loops_per_node,cebh_pc,observed_pc,derived_pc,cebh_abs_err,derived_abs_err,cebh_gap,d_eff,fc_obs,fc_cebh,fc_derived,fisher_tau,fisher_r2
Berlin,"Berlin, Germany",4118,5095,2.474502185526955,0.2676056338028169,0.11881909852994776,0.23749392909179212,0.5466151700461325,0.73,0.808243375858685,0.1833848299538675,0.07824337585868502,0.1833848299538675,2.2400999789201075,0.27,0.45338482995386753,0.191756624141315,2.156844163384052,0.997271552774941
Hamburg,"Hamburg, Germany",4154,5364,2.5825710158883006,0.20847376023110256,0.1458508972660484,0.29152623976889747,0.5310365310365311,0.79,0.7744220730797912,0.2589634689634689,0.015577926920208873,0.2589634689634689,1.9613248417077052,0.20999999999999996,0.46896346896346885,0.22557792692020884,2.145811606584669,0.986890493659186
Vienna,"Vienna, Austria",3993,5170,2.5895316804407713,0.21462559479088406,0.14760055130935973,0.29501627848735285,0.5275510204081633,0.83,0.772340425531915,0.3024489795918367,0.057659574468085006,0.3024489795918367,1.8700862895493768,0.17000000000000004,0.47244897959183674,0.22765957446808505,1.9116397372325287,0.9900963709148257
Madrid,"Madrid, Spain",2292,2746,2.3961605584642234,0.3080279232111693,0.09936667394627648,0.19851657940663175,0.5534058847239016,0.77,0.8346686088856519,0.2165941152760984,0.06466860888565185,0.2165941152760984,2.183370851490056,0.22999999999999998,0.4465941152760984,0.16533139111434814,2.0708320072429536,0.982842535302721
Milan,"Milan, Italy",2748,3475,2.529112081513828,0.2863901018922853,0.13258058641413223,0.264919941775837,0.508635831381733,0.71,0.7907913669064749,0.201364168618267,0.08079136690647493,0.201364168618267,2.25680310999314,0.29000000000000004,0.49136416861826704,0.2092086330935251,2.2954169475137847,0.9893740618996791
Osaka,"Osaka, Japan",1553,1881,2.4224082421120414,0.28783000643915,0.10609480812641084,0.21184803605924019,0.5514511873350925,0.83,0.8256246677299308,0.2785488126649075,0.004375332270069143,0.2785488126649075,1.9895123163381034,0.17000000000000004,0.44854881266490754,0.17437533227006918,1.7071330343875042,0.9810835576332767
