target,feature,label,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
road_gap,wdi_urban_population_pct,WDI urban population %,70,-0.44380255156116977,0.00011898880573222326,-0.5062970413262008,7.762607061962076e-06,0.44380255156116977
road_gap,ghsl_gdp_sum_2020,GHSL GDP sum,71,-0.43942722050477134,0.00012611020851880573,-0.36192287745063434,0.0019263988658744372,0.43942722050477134
road_gap,wdi_gdp_per_capita_constant_2015_usd,WDI GDP per capita,70,-0.43732393781234813,0.0001533703774623994,-0.38580719106356537,0.0009721228019951677,0.43732393781234813
road_gap,ghsl_infrastructure_index_2020,GHSL critical-infrastructure index,71,-0.4360496311200535,0.0001440516347822845,-0.3752486451700274,0.0012620139893789921,0.4360496311200535
road_gap,ghsl_mean_schooling_2020,GHSL mean schooling,69,-0.41609806448634307,0.00037664363861897586,-0.4179548014932552,0.00035234739694245306,0.41609806448634307
road_gap,wdi_urban_population_growth_pct,WDI urban growth %,70,0.36420315128510744,0.0019386430956771078,0.3665936424666836,0.0018002057989768769,0.36420315128510744
road_gap,ghsl_hdi_2020,GHSL HDI,69,-0.343667788114388,0.003837906153408434,-0.4442913359973181,0.00013114442250991584,0.343667788114388
road_gap,ghsl_road_density_2024,GHSL road density,71,-0.3367203219315896,0.004088524029408653,-0.2871314698791115,0.015189488170344833,0.3367203219315896
road_gap,ghsl_life_expectancy_2020,GHSL life expectancy,69,-0.3248689234908828,0.0064581802941595075,-0.3963185089297883,0.0007486714278554579,0.3248689234908828
road_gap,ghsl_lulc_dominance_2019,GHSL land-use dominance,71,-0.3197518443997317,0.00656359013143282,-0.2706811602740709,0.022423449463425924,0.3197518443997317
road_gap,wdi_population_density_people_per_km2,WDI population density,70,0.30526527593771935,0.010178676273095849,0.0004082474069679364,0.9973237878181991,0.30526527593771935
road_gap,ghsl_gdp_avg_2020,GHSL GDP average,71,-0.29198524480214616,0.013483404754250057,-0.18582363857263054,0.1207741489741378,0.29198524480214616
road_gap,ghsl_lulc_entropy_2019,GHSL land-use entropy,71,0.2811535881958417,0.01754341697954175,0.24245130102720353,0.04163271365697423,0.2811535881958417
road_gap,ghsl_expected_schooling_2020,GHSL expected schooling,69,-0.27123734134965416,0.024174331354573236,-0.3637640702111393,0.002123112501239019,0.27123734134965416
road_gap,ghsl_log_area_2025,GHSL log urban-centre area,71,-0.2626155923598663,0.026928529218031714,-0.22255160620044698,0.062120244316122765,0.2626155923598663
road_gap,wdi_gini_index,WDI Gini,67,-0.2529060384264288,0.03893567406740132,-0.2145784249424247,0.08120785943967446,0.2529060384264288
road_gap,ghsl_population_density_2025,GHSL population density,71,0.1959758551307847,0.10143494398013451,0.17535538531340802,0.14354837230186707,0.1959758551307847
