city,estimator,p,lcc_mean,lcc_sd
Berlin,fine_grid,0.575,0.037763,0.014823
Berlin,fine_grid,0.585,0.045516,0.016773
Berlin,fine_grid,0.595,0.066426,0.02391
Berlin,fine_grid,0.605,0.083425,0.033074
Berlin,fine_grid,0.615,0.114019,0.042515
Berlin,fine_grid,0.625,0.146913,0.048032
Berlin,fine_grid,0.635,0.189748,0.064899
Berlin,fine_grid,0.645,0.252231,0.065767
Berlin,fine_grid,0.655,0.315728,0.075503
Berlin,fine_grid,0.665,0.386874,0.064574
Berlin,fine_grid,0.675,0.427623,0.070152
Berlin,fine_grid,0.685,0.48962,0.06731
Berlin,fine_grid,0.695,0.549684,0.057128
Berlin,fine_grid,0.705,0.601361,0.056362
Berlin,fine_grid,0.715,0.650526,0.051852
Berlin,fine_grid,0.725,0.693106,0.046843
Berlin,fine_grid,0.735,0.732931,0.034477
Berlin,fine_grid,0.745,0.763885,0.03282
Berlin,fine_grid,0.755,0.793267,0.022687
Berlin,fine_grid,0.765,0.808389,0.02278
Berlin,fine_grid,0.775,0.830647,0.021511
Berlin,rank_order,0.575,0.035201,0.013799
Berlin,rank_order,0.585,0.048045,0.018703
Berlin,rank_order,0.595,0.062998,0.024469
Berlin,rank_order,0.605,0.080778,0.030325
Berlin,rank_order,0.615,0.109552,0.0378
Berlin,rank_order,0.625,0.155366,0.064429
Berlin,rank_order,0.635,0.20825,0.068947
Berlin,rank_order,0.645,0.266221,0.066504
Berlin,rank_order,0.655,0.331429,0.065181
Berlin,rank_order,0.665,0.391926,0.071988
Berlin,rank_order,0.675,0.460328,0.053966
Berlin,rank_order,0.685,0.513708,0.046945
Berlin,rank_order,0.695,0.56523,0.044463
Berlin,rank_order,0.705,0.609242,0.047615
Berlin,rank_order,0.715,0.661634,0.041179
Berlin,rank_order,0.725,0.704421,0.030049
Berlin,rank_order,0.735,0.74138,0.029756
Berlin,rank_order,0.745,0.765112,0.03028
Berlin,rank_order,0.755,0.791235,0.026175
Berlin,rank_order,0.765,0.81312,0.024062
Berlin,rank_order,0.775,0.833498,0.019922
Buenos Aires,fine_grid,0.45,0.018111,0.005324
Buenos Aires,fine_grid,0.46,0.021769,0.007615
Buenos Aires,fine_grid,0.47,0.02709,0.010374
Buenos Aires,fine_grid,0.48,0.035934,0.01204
Buenos Aires,fine_grid,0.49,0.046933,0.016388
Buenos Aires,fine_grid,0.5,0.062064,0.02085
Buenos Aires,fine_grid,0.51,0.08556,0.03469
Buenos Aires,fine_grid,0.52,0.115488,0.051723
Buenos Aires,fine_grid,0.53,0.192929,0.083781
Buenos Aires,fine_grid,0.54,0.259792,0.094697
Buenos Aires,fine_grid,0.55,0.368261,0.110627
Buenos Aires,fine_grid,0.56,0.501598,0.111927
Buenos Aires,fine_grid,0.57,0.588241,0.097419
Buenos Aires,fine_grid,0.58,0.666936,0.057149
Buenos Aires,fine_grid,0.59,0.70854,0.055591
Buenos Aires,fine_grid,0.6,0.753729,0.045136
Buenos Aires,fine_grid,0.61,0.785744,0.027221
Buenos Aires,fine_grid,0.62,0.817221,0.018917
Buenos Aires,fine_grid,0.63,0.840362,0.0181
Buenos Aires,fine_grid,0.64,0.858727,0.01584
Buenos Aires,fine_grid,0.65,0.873493,0.013907
Buenos Aires,rank_order,0.45,0.016896,0.004791
Buenos Aires,rank_order,0.46,0.021873,0.00597
Buenos Aires,rank_order,0.47,0.027683,0.007685
Buenos Aires,rank_order,0.48,0.037358,0.012397
Buenos Aires,rank_order,0.49,0.046959,0.015582
Buenos Aires,rank_order,0.5,0.065337,0.023784
Buenos Aires,rank_order,0.51,0.09106,0.043623
Buenos Aires,rank_order,0.52,0.132462,0.053537
Buenos Aires,rank_order,0.53,0.209506,0.075146
Buenos Aires,rank_order,0.54,0.300084,0.086629
Buenos Aires,rank_order,0.55,0.399784,0.097728
Buenos Aires,rank_order,0.56,0.49848,0.09229
Buenos Aires,rank_order,0.57,0.584452,0.086984
Buenos Aires,rank_order,0.58,0.669419,0.061744
Buenos Aires,rank_order,0.59,0.711214,0.059224
Buenos Aires,rank_order,0.6,0.754453,0.040677
Buenos Aires,rank_order,0.61,0.788238,0.026917
Buenos Aires,rank_order,0.62,0.816451,0.022377
Buenos Aires,rank_order,0.63,0.839179,0.020575
Buenos Aires,rank_order,0.64,0.858334,0.016769
Buenos Aires,rank_order,0.65,0.873899,0.014393
Chicago,fine_grid,0.5,0.018642,0.005518
