city,macro_region,pc_road_rank,pc_cebh,degree3_share,degree4plus_share,dead_end_share,edge_circuity_mean,mean_degree,kappa,pc_geometry_null,w3,w4,pc_anchor,err_anchor,err_cebh,in_lattice_bracket
Accra,Africa,0.725,0.5030786728370853,0.6781004013970703,0.1000364906427566,0.2051816712714382,1.0335790983109885,2.6747641140593235,2.9877606704346134,0.7249999999999999,0.8714410129295908,0.12855898707040933,0.6330722187859009,-0.09192778121409906,-0.22192132716291468,False
Addis Ababa,Africa,0.7,0.482274189457948,0.7175104741767493,0.1283135596538627,0.1451309761541172,1.0282562146894942,2.8295156427424724,3.073509264768969,0.6999999999999998,0.8482975719278754,0.1517024280721246,0.6295381309948231,-0.07046186900517681,-0.21772581054205198,False
Algiers,Africa,0.75,0.5065855241235377,0.6782933235036631,0.0925217711837073,0.2046260885591853,1.087883695811401,2.661843984702576,2.97400034620045,0.75,0.879968916253213,0.12003108374678699,0.6343744607047784,-0.11562553929522157,-0.24341447587646226,False
Cairo,Africa,0.7,0.4905812814983452,0.7059415570685499,0.1149067534993868,0.1735272973315854,1.016757084366811,2.762988962659111,3.038398197635621,0.6999999999999998,0.8600146311809012,0.13998536881909882,0.6313273686475293,-0.0686726313524707,-0.20941871850165478,False
Casablanca,Africa,0.675,0.4598827284198025,0.7424070164040929,0.1714038222077852,0.0684045260137512,1.0344421283522696,3.019002761084944,3.174467398321498,0.675,0.8124296463060608,0.18757035369393923,0.6240609680257581,-0.05093903197424199,-0.21511727158019756,False
Dakar,Africa,0.7,0.4600377595972308,0.7447596422582449,0.1714295695919508,0.0750069871436556,1.016109461289387,3.01348518725545,3.173734610123119,0.7,0.8128884652049572,0.1871115347950429,0.6241310313438613,-0.07586896865613868,-0.23996224040276914,False
Dar es Salaam,Africa,0.775,0.5075988359230076,0.69935460738616,0.0863212621011115,0.1989960559340265,1.044086616627536,2.6735389028325565,2.970059679474284,0.75,0.8901312036508843,0.1098687963491158,0.6359262790285477,-0.13907372097145232,-0.26740116407699244,False
Johannesburg,Africa,0.65,0.454250595097234,0.6079688060236644,0.2273664395840803,0.1390731444962352,1.0421150544472249,2.9250627465041235,3.2014280460897275,0.675,0.7278141431484065,0.27218585685159347,0.611139872298325,-0.03886012770167502,-0.19574940490276604,True
Kampala,Africa,0.825,0.574452139397388,0.5959584713446712,0.0348484426754251,0.361761349402956,1.0475992097492202,2.3041723494864588,2.740789060423764,0.825,0.9447557693156247,0.055244230684375305,0.6442676492938583,-0.1807323507061417,-0.2505478606026119,False
Lagos,Africa,0.75,0.4953369019369792,0.6792681082715862,0.1145471041887191,0.1945410554967488,1.0341197449159931,2.7146529562982007,3.01882798573975,0.7249999999999999,0.8557005429088486,0.14429945709115147,0.6306685916449755,-0.11933140835502454,-0.2546630980630208,False
