swap_fraction,n_replicates,accepted_swaps_per_edge_mean,acceptance_rate_mean,attempts_per_accepted_swap,topology_reject_share,length_reject_share,crossing_reject_share,null_mobility_index_mean,abs_delta_angular_entropy_mean,abs_delta_straight_angle_share_mean,abs_delta_right_angle_share_mean,abs_delta_dual_endpoint_degree_cv_mean,length_bin_tvd_mean,degree_max_abs_drift_max
0.005,63,0.004998277207361131,0.001891286249075414,558.1646766169155,0.048108002403783906,0.9176346837800842,0.03425731381613196,0.003219563174434892,0.00690043124753835,0.0029448128115292403,0.004518795882952006,9.066403577548098e-05,0.0,0.0
0.01,63,0.009996653593478523,0.0018800307112749933,552.7845595184798,0.04822112188162749,0.917501109981722,0.03427776813665058,0.006111707067359088,0.013261287470693214,0.005788414171298616,0.00870286329716257,0.0001456897893248941,1.1984156944519486e-06,0.0
0.02,36,0.0200009983222069,0.001916373386655978,530.826954302946,0.05028087846156271,0.9138144656676375,0.03590465587079985,0.011423651392974132,0.024670085136440853,0.011150423461550615,0.01663283481316351,0.0001912716435980619,0.0,0.0
