city,country,articulation_point_count,articulation_point_share,bridge_edge_count,bridge_edge_share,biconnected_component_count,largest_biconnected_node_fraction,median_biconnected_component_size,dual_degree_mean,dual_degree_median,dual_degree_gini,angular_pair_count,angular_entropy,orthogonal_angle_share_10deg,straight_angle_share_10deg,acute_angle_share_lt45deg,median_intersection_angle_deg,mean_min_node_angle_deg
Lisbon,Portugal,4435,0.16619201079217566,5060,0.1377058103143285,5166,0.7744135501761223,2.0,4.036195400734794,4.0,0.11932249128726302,74155,0.902032206041917,0.2507720315555256,0.1909783561459106,0.06791180635156092,109.58849312765832,70.05312506539316
Vienna,Austria,2283,0.12950252424981565,2559,0.0978884553591921,2605,0.8423052924159056,2.0,4.487338382679214,4.0,0.13099810105942367,58654,0.8130689868573066,0.3549118559689024,0.2414157602209568,0.044106113820029325,98.98917046509764,73.53837598122648
Athens,Greece,3466,0.06321702810658981,3732,0.042125224340523515,3759,0.929943276123078,2.0,4.836093145056608,5.0,0.10721778020973627,214222,0.7253706256482639,0.43372296029352725,0.27606875110866297,0.0231628870984306,94.71690238910551,76.43780538635865
Istanbul,Turkey,3938,0.08089232159730496,4257,0.0583878533514381,4303,0.9074195801322871,2.0,4.335541565513174,4.0,0.09825492916073908,158050,0.8524399298520767,0.3054286618158811,0.21868396077190763,0.04756722556153116,102.35935375171663,70.81992668488871
Dubai,United Arab Emirates,1410,0.08967183922665989,1491,0.065625,1583,0.8635207326380056,2.0,4.074471830985916,4.0,0.08571851932686725,46286,0.9141414597494419,0.20997709890679686,0.20738452231776347,0.08961673076092123,118.57706984422192,63.14646843112726
Cairo,Egypt,20287,0.17158201886074342,22432,0.13733232929882883,22486,0.806038820992092,2.0,4.076796395271242,4.0,0.11383444548520028,332954,0.6930254321055942,0.4582464844993603,0.28630381374003616,0.019314980447749538,94.50865048844382,78.88748725446152
Nairobi,Kenya,7005,0.305095818815331,8839,0.31391838619171075,9004,0.5764372822299652,2.0,3.6811450083460597,4.0,0.13993374240683853,51825,0.8161600756293539,0.36270139893873615,0.23150988904968645,0.04140858658948384,99.21031690248664,75.07301572201388
Accra,Ghana,3956,0.2062242610644842,4507,0.17567725589553693,4550,0.7552520460824689,2.0,3.9755213408692263,4.0,0.12342599116879982,50996,0.7914523661544159,0.381010275315711,0.24362695113342223,0.034316416973880305,98.00957049457742,75.42501376197767
Johannesburg,South Africa,3264,0.14628899247041952,3803,0.11654204461877911,3886,0.8096091789171747,2.0,4.402856092179456,4.0,0.12911485188491412,71837,0.8166503042305362,0.3581023706446539,0.24238205938443977,0.05012737168868411,98.65022185217549,71.12703012467333
Casablanca,Morocco,2606,0.07054301337231336,2772,0.04970948999354422,2811,0.9200909533863895,2.0,4.348934796642996,4.0,0.09510321888913498,121257,0.7676061482826985,0.4026241783979482,0.25818715620541494,0.030505455355154754,96.30364686613314,76.96668603785723
Mexico City,Mexico,7048,0.1194333355927608,7849,0.08660009929938765,7927,0.8618586050294855,2.0,4.688233022563027,5.0,0.12906926841890676,212459,0.7061370952694226,0.45141886199219616,0.29124678173200474,0.03132369068855638,93.5159276046878,76.38170428312216
Bogota,Colombia,5125,0.12569900912390858,5789,0.09572392353991666,5820,0.8484744432453645,2.0,4.450426615516899,4.0,0.12240987092566313,134572,0.7038503419575839,0.461344113188479,0.2828597330796897,0.02915911185090509,92.99650267056138,77.2599682328575
Lima,Peru,4105,0.08308034810767051,4543,0.059937199852234946,4610,0.9014571948998179,2.0,4.5163597023589634,4.0,0.10813804386760739,171161,0.7069716318932742,0.46180496725305414,0.27353778021862457,0.02482458036585437,93.09251524551118,77.99110065963924
Santiago,Chile,8996,0.14816034783754406,9781,0.11076759303300039,9824,0.8356829935109852,2.0,4.4019841000203845,4.0,0.1282234788933747,194352,0.6665700575637641,0.482634601136083,0.2968068247303861,0.021780069152877255,92.43701145556857,79.2311571390859
Sao Paulo,Brazil,4595,0.08959036050615142,4944,0.0639313100487502,4988,0.8995301136695978,2.0,4.419432842382942,4.0,0.10797668643056335,170884,0.8374796191935641,0.32373422906767163,0.23874675218276725,0.04994616230893471,101.47757795825486,70.16019462008803
Tokyo,Japan,3917,0.06306248289408015,4150,0.04230980975878311,4168,0.9322203081480528,2.0,4.676977346410293,5.0,0.10918528307424147,229373,0.7581635253478635,0.40072284009015885,0.2607935546032009,0.02577461165873926,96.9015810736397,76.24601984841584
Seoul,South Korea,5404,0.10613976509408021,6074,0.07985800683670786,6138,0.8730015319951291,2.0,4.428056797265317,4.0,0.11357414850709602,168399,0.8152792246430942,0.3528227602301676,0.24284586012981074,0.04425204425204425,98.97527614997664,72.31355635342656
Taipei,Taiwan,2007,0.12246765926287527,2391,0.09602409638554217,2424,0.8470222113741762,2.0,4.6330120481927715,5.0,0.12965394561376886,57681,0.8147972013537117,0.35510826788717254,0.24339037117941784,0.04940968429812243,98.31896234367915,70.11382521347765
Bangkok,Thailand,24962,0.39393365527254365,35521,0.49545289703461937,36154,0.3866584603730707,2.0,3.515524311657879,4.0,0.17258051893140536,126021,0.7453176410393608,0.42653208592218755,0.2706771093706604,0.03969179739884622,95.43433075906242,76.02603378022148
