city,country,macro_region,swap_fraction,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_spatial_null,pc_spatial_null_ci_low,pc_spatial_null_ci_high,spatial_null_gap,road_minus_spatial,spatial_fraction_of_road_gap,remaining_fraction_after_spatial,threshold_boundary_hit,runtime_seconds,n_perm,n_bootstrap,length_bins,bin_tolerance,status,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,degree_max_abs_drift,chord_length_mean_ratio,chord_length_median_ratio,chord_length_bin_tvd,length_rejects,topology_rejects,notes,road_minus_geometry_mean,remaining_fraction_after_geometry_mean,geometry_fraction_of_road_gap_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,null_mobility_index_mean,n_replicates_pass,spatial_minus_geometry_residual,pc_rank_fine,delta_fine_minus_coarse,pc_geometry_null_mean,fine_road_minus_spatial,fine_road_minus_geometry_mean,fine_spatial_minus_geometry_residual
Dakar,Senegal,Africa,0.005,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.625,0.625,0.625,0.1649622404027692,0.0749999999999999,0.6874508261211649,0.3125491738788353,False,0.7442615032196045,6,80,12,1,pass,216.0,8019.0,0.0269360269360269,0.0050082311205917,0.0,2.099264208075369,1.0,0.0047068098031486,7801.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0083333333333333,0.0347276859865371,0.965272314013463,0.0050082311205917,0.0016243999656156,0.0,0,0.0041991623591571,3,0.0666666666666666,0.695,-0.0050000000000000044,0.6916666666666667,0.06999999999999995,0.0033333333333332993,0.06666666666666665
Dakar,Senegal,Africa,0.01,28624,43129,0.4600377595972308,0.7,0.2399622404027691,0.6,0.6,0.6,0.1399622404027691,0.0999999999999999,0.583267768161553,0.4167322318384472,False,1.2450745105743408,6,80,12,1,pass,431.0,16510.0,0.0261053906723198,0.0099932759859955,0.0,3.176147192379348,1.0,0.0093208745855456,16073.0,6.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0166666666666666,0.0694553719730742,0.9305446280269258,0.0099932759859955,0.0016640622621201,0.0,0,0.0080284763069817,3,0.0833333333333332,0.695,-0.0050000000000000044,0.6833333333333333,0.09499999999999997,0.011666666666666603,0.08333333333333337
Dar es Salaam,Tanzania,Africa,0.005,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.675,0.675,0.7,0.1674011640769924,0.0999999999999999,0.6260300498497191,0.3739699501502811,False,0.4970004558563232,6,80,12,1,pass,149.0,4788.0,0.0311194653299916,0.0049956413867095,0.0,1.8631377415927943,1.0,0.0050962247703346,4638.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0083333333333333,0.0311641625125234,0.9688358374874768,0.0049956413867095,0.0020686448880995,0.0,0,0.0022909247263001,3,0.0916666666666665,0.755,-0.020000000000000018,0.7666666666666667,0.07999999999999996,-0.011666666666666714,0.09166666666666667
Dar es Salaam,Tanzania,Africa,0.01,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.65,0.65,0.7,0.1424011640769924,0.125,0.5325375623121488,0.4674624376878514,False,0.8520424365997314,6,80,12,1,pass,298.0,11473.0,0.0259740259740259,0.0099912827734191,0.0,2.824013636586361,1.0,0.008247837457252,11172.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0166666666666666,0.0623283250250469,0.9376716749749532,0.0099912827734191,0.0020049623357145,0.0,0,0.0044081450608756,3,0.1083333333333333,0.755,-0.020000000000000018,0.7583333333333334,0.10499999999999998,-0.0033333333333334103,0.10833333333333339
Dar es Salaam,Tanzania,Africa,0.02,22312,29826,0.5075988359230076,0.775,0.2674011640769924,0.625,0.625,0.675,0.1174011640769924,0.15,0.4390450747745783,0.5609549252254219,False,0.8596742153167725,6,80,12,1,pass,597.0,21781.0,0.0274092098618061,0.02001609334138,0.0,4.512337816872256,1.0,0.0177362033125461,21179.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.025,0.0934924875375702,0.9065075124624298,0.02001609334138,0.001923251680718,0.0,0,0.0085725217057263,3,0.125,0.755,-0.020000000000000018,0.75,0.13,0.0050000000000000044,0.125
Kampala,Uganda,Africa,0.005,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.775,0.75,0.775,0.2005478606026119,0.0499999999999999,0.8004373300983649,0.1995626699016351,False,0.7090559005737305,6,80,12,1,pass,207.0,7950.0,0.0260377358490566,0.005001087192868,0.0,2.0110562898033586,1.0,0.005170206083448,7739.0,4.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0,0.0,1.0,0.005001087192868,0.0016977880262203,0.0,0,0.00194750686011,3,0.0499999999999999,0.82,-0.0050000000000000044,0.825,0.04499999999999993,-0.0050000000000000044,0.04999999999999993
Kampala,Uganda,Africa,0.01,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.725,0.725,0.75,0.1505478606026119,0.0999999999999999,0.6008746601967293,0.3991253398032707,False,0.8406240940093994,6,80,12,1,pass,414.0,14165.0,0.0292269678785739,0.010002174385736,0.0,2.946590949903652,1.0,0.0091324200913242,13750.0,1.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0083333333333333,0.0332604449836057,0.9667395550163942,0.010002174385736,0.0016867375003739,0.0,0,0.0035665604916467,3,0.0916666666666665,0.82,-0.0050000000000000044,0.8166666666666667,0.09499999999999997,0.0033333333333332993,0.09166666666666667
Nairobi,Kenya,Africa,0.005,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.725,0.7,0.75,0.1816907863000482,0.0999999999999999,0.6450008134327719,0.354999186567228,False,0.4726717472076416,6,80,12,1,pass,141.0,5085.0,0.0277286135693215,0.0050076357566502,0.0,1.935758066884292,1.0,0.0046879994317576,4941.0,3.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0583333333333332,0.2070828588308828,0.792917141169117,0.0050076357566502,0.0020863429719329,0.0,0,0.0028606467207177,3,0.0416666666666666,0.76,-0.06499999999999995,0.7666666666666667,0.03500000000000003,-0.00666666666666671,0.04166666666666674
Nairobi,Kenya,Africa,0.01,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.725,0.675,0.725,0.1816907863000482,0.0999999999999999,0.6450008134327719,0.354999186567228,False,0.591071605682373,6,80,12,1,pass,282.0,10467.0,0.0269418171395815,0.0100152715133004,0.0,2.640825309076308,1.0,0.0094115140107255,10183.0,2.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0416666666666665,0.1479163277363447,0.8520836722636552,0.0100152715133004,0.0020718354137073,0.0,0,0.0058790061319451,3,0.0583333333333334,0.76,-0.06499999999999995,0.7833333333333334,0.03500000000000003,-0.023333333333333428,0.05833333333333346
Nairobi,Kenya,Africa,0.02,22960,28157,0.5433092136999518,0.825,0.2816907863000482,0.675,0.675,0.7,0.1316907863000482,0.1499999999999999,0.467501220149158,0.5324987798508419,False,0.8134586811065674,6,80,12,1,pass,563.0,20316.0,0.0277121480606418,0.0199950278793905,0.0,4.032934009233236,1.0,0.0174734524274603,19748.0,5.0,R72 matched-intensity spatial-scale null on the R67 geometry subset,0.0249999999999999,0.0887497966418068,0.9112502033581932,0.0199950278793905,0.0019656276829653,0.0,0,0.0100278433170584,3,0.125,0.76,-0.06499999999999995,0.8,0.08499999999999996,-0.040000000000000036,0.125
