city,domain,mean_degree,pc_obs,pc_cebh,fc_obs,fc_cebh,fc_derived,margin_cebh,margin_true,margin_derived,flip
Accra,road,2.6747641140593235,0.725,0.5030786728370853,0.275,0.4969213271629147,0.252270512570649,0.09692132716291468,-0.125,-0.14772948742935105,True
Addis Ababa,road,2.8295156427424724,0.7,0.482274189457948,0.3,0.517725810542052,0.2931652436239846,0.117725810542052,-0.10000000000000003,-0.10683475637601542,True
Algiers,road,2.661843984702576,0.75,0.5065855241235377,0.25,0.4934144758764622,0.2486411632335123,0.09341447587646218,-0.15000000000000002,-0.15135883676648773,True
Cairo,road,2.762988962659111,0.7,0.4905812814983452,0.3,0.5094187185016548,0.2761462217079606,0.10941871850165474,-0.10000000000000003,-0.12385377829203942,True
Casablanca,road,3.019002761084944,0.675,0.4598827284198025,0.3249999999999999,0.5401172715801975,0.337529588982139,0.1401172715801975,-0.07500000000000012,-0.06247041101786105,True
Dakar,road,3.01348518725545,0.7,0.4600377595972308,0.3,0.5399622404027692,0.3363166315008463,0.13996224040276917,-0.10000000000000003,-0.06368336849915374,True
Dar es Salaam,road,2.6735389028325565,0.775,0.5075988359230076,0.2249999999999999,0.4924011640769924,0.2519278481861463,0.09240116407699239,-0.17500000000000013,-0.14807215181385375,True
Johannesburg,road,2.9250627465041235,0.65,0.454250595097234,0.35,0.545749404902766,0.3162539838195636,0.145749404902766,-0.050000000000000044,-0.08374601618043642,True
Kampala,road,2.3041723494864588,0.825,0.574452139397388,0.175,0.4255478606026119,0.1320093740185064,0.025547860602611883,-0.22500000000000003,-0.2679906259814936,True
Lagos,road,2.7146529562982007,0.75,0.4953369019369792,0.25,0.5046630980630208,0.2632575757575758,0.10466309806302077,-0.15000000000000002,-0.13674242424242422,True
Nairobi,road,2.452700348432056,0.825,0.5433092136999518,0.175,0.4566907863000482,0.1845722200518522,0.0566907863000482,-0.22500000000000003,-0.21542777994814782,True
Tunis,road,2.8892789109822137,0.7,0.4801932298410621,0.3,0.519806770158938,0.3077857619082895,0.11980677015893793,-0.10000000000000003,-0.09221423809171053,True
Bangkok,road,2.2628538964113245,0.85,0.5689051824695883,0.15,0.4310948175304117,0.1161603481462882,0.031094817530411656,-0.25,-0.28383965185371185,True
Bengaluru,road,2.695482305119528,0.7,0.487624045120297,0.3,0.512375954879703,0.2580177594928369,0.11237595487970298,-0.10000000000000003,-0.14198224050716313,True
Chennai,road,2.6802374893977947,0.725,0.498448919501551,0.275,0.501551080498449,0.2537974683544304,0.10155108049844896,-0.125,-0.14620253164556962,True
Delhi,road,2.8958888401740244,0.7,0.4689645379225219,0.3,0.5310354620774781,0.3093657559453101,0.13103546207747807,-0.10000000000000003,-0.09063424405468995,True
Dhaka,road,2.674616884926164,0.725,0.501127631139325,0.275,0.498872368860675,0.2522293524460373,0.09887236886067496,-0.125,-0.14777064755396274,True
Hanoi,road,2.720736698499318,0.75,0.4889668023341342,0.25,0.5110331976658657,0.2649049791906935,0.11103319766586572,-0.15000000000000002,-0.13509502080930652,True
Ho Chi Minh City,road,2.567982998072456,0.725,0.5059497146863499,0.275,0.4940502853136501,0.2211786442896185,0.09405028531365006,-0.125,-0.17882135571038152,True
Hong Kong,road,2.931931377974544,0.675,0.4651775366136339,0.3249999999999999,0.5348224633863661,0.3178557946394867,0.13482246338636605,-0.07500000000000012,-0.08214420536051331,True
Hyderabad,road,2.683174048608078,0.75,0.4881558622014944,0.25,0.5118441377985057,0.2546141384165821,0.11184413779850566,-0.15000000000000002,-0.14538586158341793,True
Jakarta,road,2.609137662958976,0.7,0.512325721577254,0.3,0.487674278422746,0.2334632133852853,0.087674278422746,-0.10000000000000003,-0.16653678661471472,True
Karachi,road,3.0290666462152007,0.675,0.4466206054300997,0.3249999999999999,0.5533793945699004,0.33973060563095,0.15337939456990035,-0.07500000000000012,-0.060269394369050044,True
