target,covariate,n,spearman_rho,spearman_p,pearson_r,pearson_p,abs_spearman_rho
road_gap,dual_degree_mean,71,-0.6307176391683432,3.743011309454672e-09,-0.6470301072857352,1.0840396011841688e-09,0.6307176391683432
road_gap,largest_biconnected_node_fraction,71,-0.5333333333333332,1.6783875280525696e-06,-0.6079216517597725,1.882390022048788e-08,0.5333333333333332
road_gap,bridge_edge_share,71,0.5237089201877934,2.7774055407464466e-06,0.6002796715412206,3.1453486459294e-08,0.5237089201877934
road_gap,articulation_point_share,71,0.5139168343393695,4.5647919725292906e-06,0.5887643121007582,6.649941248897148e-08,0.5139168343393695
road_gap,straight_angle_share_10deg,71,-0.4134138162307176,0.0003391777726566602,-0.3748204643856212,0.0012796379288232405,0.4134138162307176
road_gap,median_intersection_angle_deg,71,0.38195841716968476,0.0010130127792052019,0.28220618503104555,0.017107574682687064,0.38195841716968476
road_gap,wikidata_population_density_per_km2,30,-0.37263626251390436,0.0425613909158364,0.02448626811893141,0.8978031591307422,0.37263626251390436
road_gap,angular_entropy,71,0.3189470154258886,0.006708305904002888,0.2910466549495707,0.013799758434465823,0.3189470154258886
road_gap,orthogonal_angle_share_10deg,71,-0.3083836351441985,0.008884512529211061,-0.269910993387918,0.022823955480738057,0.3083836351441985
road_gap,dual_degree_gini,71,0.23457411133467468,0.04894848471093101,0.29056136205258887,0.013965826825362536,0.23457411133467468
road_gap,wikidata_area_km2,30,0.22625139043381537,0.22927083963576794,0.23149901607277068,0.21836067186259217,0.22625139043381537
road_gap,acute_angle_share_lt45deg,71,0.15435949027498322,0.1986914950145742,0.1001392822067278,0.4060285505625241,0.15435949027498322
road_gap,mean_min_node_angle_deg,71,-0.1242454728370221,0.30191524233513933,-0.06212101986247006,0.6067994049320194,0.1242454728370221
road_gap,wikidata_population,30,-0.025583982202447165,0.8932470798379045,-0.013754675163522016,0.9424908883529229,0.025583982202447165
