city,country,macro_region,latitude,longitude,window_radius_m,bbox_area_km2,n_nodes,n_edges,pc_cebh,pc_rank,road_gap,node_density_per_km2,edge_density_per_km2,chord_length_density_km_per_km2,edge_length_mean_m,edge_length_median_m,edge_length_iqr_m,edge_length_cv,short_edge_share_lt40m,long_edge_share_gt150m,orientation_entropy,orientation_dominance,orientation_fourfold_order,orthogonal_alignment_share_10deg,dead_end_share,degree2_share,degree3_share,degree4plus_share,mean_degree,kappa,degree_gini,connected_components,cyclomatic_number,cycle_density,arterial_length_share,collector_length_share,local_length_share,motorway_trunk_length_share,residential_length_share,oneway_length_share,bridge_tunnel_length_share,maxspeed_coverage_share,lanes_coverage_share,edge_circuity_mean,edge_circuity_median,graph_cache_file,articulation_point_count,articulation_point_share,bridge_edge_count,bridge_edge_share,biconnected_component_count,largest_biconnected_node_fraction,median_biconnected_component_size,dual_degree_mean,dual_degree_median,dual_degree_gini,angular_pair_count,angular_entropy,orthogonal_angle_share_10deg,straight_angle_share_10deg,acute_angle_share_lt45deg,median_intersection_angle_deg,mean_min_node_angle_deg,wikidata_status,wikidata_query,wikidata_id,wikidata_label,wikidata_description,wikidata_match_rank,wikidata_population,wikidata_area_km2,wikidata_population_density_per_km2,wikidata_inception_time,wikidata_retrieved_utc,wikidata_boundary,road_minus_geometry_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,spatial_fraction_of_road_gap,remaining_fraction_after_spatial,threshold_boundary_hit,ID_UC_G0,ghsl_name,ghsl_country,ghsl_latitude_x,ghsl_longitude_x,ghsl_match_similarity,ghsl_match_distance_km,ghsl_match_score,ghsl_match_status,ghsl_name_main_2025,ghsl_name_list_2025,ghsl_country_gadm_2025,ghsl_country_un_2025,ghsl_area_km2_2025,ghsl_population_total_2025,ghsl_world_income_group_2025,ghsl_un_subregion_2025,ghsl_place_score_2025,ghsl_birth_year_2025,ghsl_death_year_2025,ghsl_capital_flag,GC_UCC_LON_2025,GC_UCC_LAT_2025,ghsl_longitude_y,ghsl_latitude_y,IN_CIS_ENE_2020,IN_CIS_TRA_2020,IN_CIS_WAT_2020,IN_CIS_WAS_2020,IN_CIS_TEL_2020,IN_CIS_HEA_2020,IN_CIS_EDU_2020,ghsl_infrastructure_index_2020,ghsl_road_length_m_2024,ghsl_road_density_2024,ghsl_gdp_avg_2020,ghsl_gdp_sum_2020,ghsl_hdi_2020,ghsl_life_expectancy_2020,ghsl_expected_schooling_2020,ghsl_mean_schooling_2020,ghsl_lulc_total_hectares_2019,ghsl_lulc_entropy_2019,ghsl_lulc_dominance_2019,ghsl_lulc_nonzero_classes_2019,ghsl_population_density_2025,ghsl_log_population_2025,ghsl_log_area_2025,countryiso3code,wdi_gdp_per_capita_constant_2015_usd,wdi_gini_index,wdi_population_density_people_per_km2,wdi_population_total,wdi_urban_population_growth_pct,wdi_urban_population_pct,wdi_gdp_per_capita_constant_2015_usd_year,wdi_gini_index_year,wdi_population_density_people_per_km2_year,wdi_population_total_year,wdi_urban_population_growth_pct_year,wdi_urban_population_pct_year
Lisbon,Portugal,Europe,38.7077507,-9.1365919,10000,400.0,26686,36745,0.4955161486076462,0.75,0.2544838513923538,66.715,91.8625,7.283798400816158,79.29022616210268,50.09774214527755,68.18401361913405,1.7087578152104208,0.4095795346305619,0.1151993468499115,0.9973324314912948,0.067192815349027,0.0841523643597808,0.2477071710436794,0.1549126883009818,0.0462414749306752,0.6940717979464888,0.1047740388218541,2.7538784381323542,3.018097700367397,0.1418200866149155,1,10060,0.3769766918983737,0.2092820119274249,0.1612789703675397,0.6294390177050173,0.0850502330960836,0.6249169554864256,0.3421441490502626,0.073065716779634,0.1664473416017207,0.3354076863804046,1.0844955187858132,1.000232592296042,cache\R61_osmnx_city_windows\lisbon_portugal__drive_10000m.pkl,4435,0.1661920107921756,5060,0.1377058103143285,5166,0.7744135501761223,2.0,4.036195400734794,4.0,0.119322491287263,74155,0.902032206041917,0.2507720315555256,0.1909783561459106,0.0679118063515609,109.58849312765832,70.05312506539316,no_search_result,"Lisbon, Portugal",,,,,,,,,,,,0.625,0.1294838513923538,0.125,0.5088096972908523,0.4911903027091476,False,231,Lisbon,Portugal,38.76045813224219,-9.21701413491286,1.0,9.110962209860354,0.9908890377901396,high_confidence,Lisbon,Lisbon; Amadora; Agualva-Cacém; Queluz; Odivelas; Loures; Alverca do Ribatejo; Póvoa de Santa Iria; Sacavém,Portugal,Portugal,426,1974573.68,High income,Europe,High,1975,2030,1,-791521.8295,4650383.367,-9.21701413491286,38.76045813224219,0.049406805,0.064332468,0.002878477,0.000155434,0.017056361,0.025245297,0.03709417,0.219878762,9325293.262,0.02189036,135063398.6,82928926720.0,0.898,81.356,18.0,10.281,36536.476048000004,0.3547135215824594,0.6957893283578337,6,4635.149483568075,6.2954733438058685,2.629409599102719,PRT,22647.3791895579,33.9,115.475189289738,10694681.0,1.29665949378498,61.3281907341332,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Vienna,Austria,Europe,48.2083537,16.3725042,10000,400.0,17629,26142,0.4456985030858935,0.675,0.2293014969141065,44.0725,65.355,7.829686062217999,119.80240321655572,88.10546789211148,92.13191030334264,1.2014675759529367,0.2023946140310611,0.2280621222553745,0.9848721534002748,0.090008415576467,0.1981657897395019,0.2419860760462091,0.1263826649271087,0.0365307164331499,0.5940212150433944,0.2430654035963469,2.9657949968801405,3.243669191339607,0.1492638986368444,1,8514,0.4829542231550287,0.2294219936663823,0.1246240841783529,0.6299290659488502,0.0516751631901422,0.60821235257246,0.3153976440857146,0.0727283989518505,0.9325357282478028,0.4002027432882283,1.030479442968914,1.000063613034949,cache\R61_osmnx_city_windows\vienna_austria__drive_10000m.pkl,2283,0.1295025242498156,2559,0.0978884553591921,2605,0.8423052924159056,2.0,4.487338382679214,4.0,0.1309981010594236,58654,0.8130689868573066,0.3549118559689024,0.2414157602209568,0.0441061138200293,98.98917046509764,73.53837598122648,matched,"Vienna, Austria",Q1741,Vienna,capital of and state in Austria,1.0,2028289.0,414.83,4889.446279198708,-0100-00-00T00:00:00Z,2026-06-03T14:57:44Z,candidate_public_metadata_requires_spot_check,,0.6,0.1543014969141065,0.075,0.672919710471432,0.3270802895285683,False,1081,Vienna,Austria,48.20005298531893,16.36372154578706,1.0,1.1294085396628486,0.9988705914603372,high_confidence,Vienna,Vienna,Austria,Austria,325,2056564.784,High income,Europe,High,1975,2030,1,1273471.942,5683697.53,16.36372154578706,48.20005298531893,0.083755158,0.093109556,0.001617947,0.001781001,0.044969878,0.053853929,0.018481771,0.333534616,9656809.891,0.029713261,206432584.5,121000000000.0,0.931894178,80.5924861,17.43525009,12.58838536,32499.999999,0.36580363367758917,0.6507211880200222,5,6327.891643076923,6.313142394803407,2.5118833609788744,AUT,45958.8250071261,31.2,110.661185167232,9177982.0,0.849927327322192,69.4658181096788,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Athens,Greece,Europe,37.9755648,23.7348324,10000,400.0,54827,88593,0.4135569642707098,0.625,0.2114430357292901,137.0675,221.4825,15.029776875748103,67.85988453150071,56.29754758936505,47.665457071092405,0.9108197923545924,0.2838598986375898,0.0445746277922634,0.9829915317457362,0.0859887350016367,0.2190578252002746,0.2057498899461582,0.0637277253907746,0.0104510551370675,0.5657613949331534,0.3600598245390045,3.231728892698853,3.418046572528304,0.1139507161540052,1,33767,0.6158826855381473,0.1102636659974126,0.1577792846516618,0.7318705618778558,0.0229661801265865,0.7184973066928241,0.5094316231305609,0.0201729085450029,0.1386799259897036,0.3812931635726967,1.0138160644714995,1.0000000313941162,cache\R61_osmnx_city_windows\athens_greece__drive_10000m.pkl,3466,0.0632170281065898,3732,0.0421252243405235,3759,0.929943276123078,2.0,4.836093145056608,5.0,0.1072177802097362,214222,0.7253706256482639,0.4337229602935272,0.2760687511086629,0.0231628870984306,94.71690238910551,76.43780538635865,matched,"Athens, Greece",Q120096553,Athenians,"people from or residents of Athens, Greece",1.0,,,,,2026-06-03T14:57:47Z,candidate_public_metadata_requires_spot_check,,0.525,0.1114430357292902,0.0999999999999999,0.5270593819508456,0.4729406180491547,False,854,Athens,Greece,37.99009374158162,23.729465943650553,1.0,1.6826188577125523,0.9983173811422874,high_confidence,Athens,Athens; Piraeus; Peristeri,Greece,Greece,412,3166757.394,High income,Europe,High,1975,2030,1,2051400.612,4563526.549,23.729465943650553,37.99009374158162,0.051214736,0.063366127,0.000523163,0.000502963,0.017165251,0.024017847,0.01936299,0.197443623,10326502.03,0.025064325,153179034.3,92520136704.0,0.908,80.423,18.0,12.069,35443.24538965,0.11857261229176286,0.9131380223282538,4,7686.304354368932,6.500614793247853,2.6148972160331345,GRC,21494.6856060599,33.4,80.7397284716835,10405134.0,0.260310842407267,78.9967856500534,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Istanbul,Turkey,Middle East,41.006381,28.9758715,10000,400.0,48682,72909,0.4613033850047454,0.675,0.2136966149952546,121.705,182.2725,12.741881169265938,69.90566963895232,48.875560166248064,53.41706147141314,1.36275689928241,0.3890054725754022,0.078028775596977,0.999129827160926,0.0666721529577967,0.0312784966151169,0.2453332236075107,0.0792284622653136,0.0174807937225257,0.7372334743847829,0.1660572696273776,2.995316544102543,3.167770782756586,0.1014792830845132,1,24228,0.497678813524506,0.1919179799258234,0.0964959950176326,0.7067180364367637,0.0494340695718815,0.6822834567041379,0.2661609102701207,0.0421991936700258,0.1209261212615519,0.174836305535087,1.036156321523384,1.00000003169653,cache\R61_osmnx_city_windows\istanbul_turkey__drive_10000m.pkl,3938,0.0808923215973049,4257,0.0583878533514381,4303,0.9074195801322872,2.0,4.335541565513174,4.0,0.098254929160739,158050,0.8524399298520767,0.3054286618158811,0.2186839607719076,0.0475672255615311,102.35935375171664,70.81992668488871,no_search_result,"Istanbul, Turkey",,,,,,,,,,,,0.575,0.1136966149952545,0.1,0.5320468693328593,0.4679531306671409,False,2637,Istanbul,Turkey,41.01920409932211,28.98118209886853,1.0,1.4938651709834032,0.9985061348290166,high_confidence,Istanbul,Istanbul,Turkey,Turkey,1269,14210222.07,Upper Middle,Northern Africa and Western Asia,High,1975,2030,0,2438000.0,4903000.0,28.98118209886853,41.01920409932211,0.033971925,0.069690624,0.002901137,0.000185059,0.004746939,0.030984049,0.028571444,0.191725088,24776672.17,0.019524564,328755612.6,618000000000.0,0.858718867,76.09015999,17.64224763,8.949438984,111296.82121719001,0.34391649646699796,0.732544701352239,10,11197.96853427896,7.152600864910018,3.103461622094705,TUR,15395.0278894893,43.7,110.866214934449,85518661.0,0.587160894947427,89.3443122873887,2024.0,2023.0,2023.0,2024.0,2024.0,2024.0
Dubai,United Arab Emirates,Middle East,25.0742823,55.1885387,10000,400.0,15724,22720,0.4908611675236571,0.725,0.2341388324763428,39.31,56.8,6.60494420132268,116.28422889652606,48.658611014484585,107.18142312416556,1.6527200499130923,0.4496478873239437,0.2167693661971831,0.970867041371218,0.1158890845070422,0.2110674438568342,0.1860035211267605,0.0742177562961078,0.04152887306029,0.8138514372933096,0.0704019333502925,2.889849910964131,3.037235915492958,0.085068823651653,1,6997,0.4449885525311625,0.2698389245021503,0.2857534107103507,0.4444076647874958,0.1194477232192973,0.4448105133610683,0.4933349967536674,0.0582911831322236,0.3295443229516884,0.5680950842645872,1.0613251769606409,1.0007676612355976,cache\R61_osmnx_city_windows\dubai_united_arab_emirates__drive_10000m.pkl,1410,0.0896718392266598,1491,0.065625,1583,0.8635207326380056,2.0,4.074471830985916,4.0,0.0857185193268672,46286,0.914141459749442,0.2099770989067968,0.2073845223177634,0.0896167307609212,118.57706984422192,63.14646843112726,matched,"Dubai, United Arab Emirates",Q612,Dubai,most populous city in the United Arab Emirates and the capital of the Emirate of Dubai,1.0,3944751.0,35.0,112707.17142857144,+1833-06-09T00:00:00Z,2026-06-03T14:57:51Z,candidate_public_metadata_requires_spot_check,0.025,0.65,0.1591388324763429,0.0749999999999999,0.6796772273664694,0.320322772633531,False,1007,Dubai,United Arab Emirates,25.236720221987,55.345304853083476,1.0,23.983392380857648,0.9760166076191423,high_confidence,Dubai,Dubai; Sharjah; Ajman,United Arab Emirates,United Arab Emirates,854,4565477.615,High income,Northern Africa and Western Asia,High,1975,2030,0,5213132.782,3081504.234,55.345304853083476,25.236720221987,0.046622299,0.078771068,3.57e-05,0.000723728,0.007190276,0.015901973,0.048140359,0.221242208,18638569.05,0.021825022,188547346.3,203000000000.0,0.912,78.946,15.718,12.694,70395.326516438,0.1927387553053206,0.7267430896574334,3,5345.992523419204,6.659486217732035,2.931457870689005,ARE,41605.4168670844,26.4,147.616882568291,10986400.0,4.85698550165299,85.8171088279791,2024.0,2018.0,2023.0,2024.0,2024.0,2024.0
Cairo,Egypt,Africa,30.0443879,31.2357257,10000,400.0,118235,163341,0.4905812814983452,0.7,0.2094187185016547,295.5875,408.3525,22.598623013713294,55.34096892687885,32.45775541666822,39.81010547065655,1.563559625399734,0.5974188966640341,0.0622868722488536,0.9653518722228152,0.0956342865538964,0.3073467013967031,0.3304314287288555,0.1735272973315854,0.0056243921004778,0.7059415570685499,0.1149067534993868,2.762988962659111,3.038398197635621,0.1422140599338113,1,45107,0.3815029390620374,0.0942313419524899,0.0708024815512451,0.8349592461226547,0.031327849793975,0.8352581135686858,0.1425403235509974,0.0316301321590347,0.0196924747076689,0.0229669873902007,1.016757084366811,1.000000031393023,cache\R61_osmnx_city_windows\cairo_egypt__drive_10000m.pkl,20287,0.1715820188607434,22432,0.1373323292988288,22486,0.806038820992092,2.0,4.076796395271242,4.0,0.1138344454852002,332954,0.6930254321055942,0.4582464844993603,0.2863038137400361,0.0193149804477495,94.50865048844382,78.88748725446152,matched,"Cairo, Egypt",Q85,Cairo,capital city of Egypt,1.0,9801536.0,528.0,18563.515151515152,+0969-07-06T00:00:00Z,2026-06-03T14:57:53Z,candidate_public_metadata_requires_spot_check,,0.6,0.1094187185016548,0.0999999999999999,0.5224877665402686,0.4775122334597317,False,4605,Cairo,Egypt,30.069037393083885,31.255175725725902,1.0,3.3191324555856108,0.9966808675444144,high_confidence,Cairo,Cairo; Giza; Shubra al Khayma; Helwan; New Cairo; Fifteenth Of May; Al-Obour,Egypt,Egypt,1680,25230324.96,Lower Middle,Northern Africa and Western Asia,High,1975,2030,1,2864260.879,3651933.753,31.255175725725902,30.069037393083885,0.061833395,0.069882841,0.000802596,4.67e-05,0.00123847,0.002928446,0.012826945,0.167635717,32301679.77,0.01922719,108143420.6,244000000000.0,0.752671991,71.69375077,14.15902174,10.54237384,168000.00000000003,0.3265340230022468,0.4856823623809523,3,15018.050571428572,7.401922844153167,3.225309281725863,EGY,4137.60929232898,28.5,115.059291777588,116538258.0,1.94520545988301,42.8004363938404,2024.0,2021.0,2023.0,2024.0,2024.0,2024.0
Nairobi,Kenya,Africa,-1.2890006,36.8172812,10000,400.0,22960,28157,0.5433092136999518,0.825,0.2816907863000482,57.4,70.3925,7.399841527132525,105.12258446755726,68.10121936271663,86.55723395455101,1.4505987046573472,0.2661505131938771,0.1865965834428383,0.9965259265559292,0.0665198707248641,0.062688379693708,0.2459068792840146,0.293074912891986,0.0195121951219512,0.6293554006968641,0.0580574912891986,2.452700348432056,2.84057250417303,0.1944999287840865,1,5198,0.2263937282229965,0.1384374592089486,0.132094349805425,0.7294681909856318,0.041204334902098,0.7280289659576105,0.1014249557148391,0.0346768297081664,0.1574818598570975,0.1070243987014721,1.0577283393177983,1.000080958463105,cache\R61_osmnx_city_windows\nairobi_kenya__drive_10000m.pkl,7005,0.305095818815331,8839,0.3139183861917107,9004,0.5764372822299652,2.0,3.68114500834606,4.0,0.1399337424068385,51825,0.8161600756293539,0.3627013989387361,0.2315098890496864,0.0414085865894838,99.21031690248664,75.07301572201388,matched,"Nairobi, Kenya",Q3870,Nairobi,capital city of Kenya,1.0,5545000.0,696.0,7966.954022988506,+1899-01-01T00:00:00Z,2026-06-03T14:57:54Z,candidate_public_metadata_requires_spot_check,0.0249999999999999,0.675,0.1316907863000482,0.1499999999999999,0.467501220149158,0.5324987798508419,False,1717,Nairobi,Kenya,-1.2646015161437951,36.8524982853951,1.0,4.763178008896054,0.995236821991104,high_confidence,Nairobi,Nairobi,Kenya,Kenya,598,6646256.557,Lower Middle,Sub-Saharan Africa,High,1975,2030,1,3692903.919,-156356.6215,36.8524982853951,-1.2646015161437951,0.033223832,0.05337108,0.00037835,0.000168205,0.00201092,0.018513951,0.038099088,0.163383203,8236634.837,0.013773637,97662414.16,66215116800.0,0.632187806,61.81837476,10.67067278,8.735316891,59799.9999999,0.2670127248707094,0.705450719566397,4,11114.141399665552,6.822577101784527,2.776701183988411,KEN,1860.02287047776,38.5,95.2681371231706,56432944.0,2.77842851424254,31.8937831721599,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
Accra,Ghana,Africa,5.5571096,-0.2012376,10000,400.0,19183,25655,0.5030786728370853,0.725,0.2219213271629146,47.9575,64.1375,7.146626151527572,111.42664044478772,81.61373801407125,86.96379299238275,1.0589216464588824,0.1780549600467745,0.2206197622295848,0.9896426722767344,0.0857142857142857,0.149491719988912,0.2930033131943091,0.2051816712714382,0.0166814366887348,0.6781004013970703,0.1000364906427566,2.6747641140593235,2.9877606704346134,0.1598349627701873,1,6473,0.3374341865193139,0.083677051023131,0.1310707922310356,0.7850793032192288,0.0230845216942427,0.7859305929356541,0.0757751522311259,0.0157690479788559,0.71816133234803,0.0880655544623633,1.0335790983109885,1.0000197378015252,cache\R61_osmnx_city_windows\accra_ghana__drive_10000m.pkl,3956,0.2062242610644842,4507,0.1756772558955369,4550,0.7552520460824689,2.0,3.975521340869226,4.0,0.1234259911687998,50996,0.7914523661544159,0.381010275315711,0.2436269511334222,0.0343164169738803,98.00957049457742,75.42501376197767,no_search_result,"Accra, Ghana",,,,,,,,,,,,0.625,0.1219213271629147,0.0999999999999999,0.5493898613602427,0.4506101386397577,False,3175,Accra,Ghana,5.606647187183119,-0.2130518617981973,1.0,5.661379078092899,0.9943386209219071,high_confidence,Accra,Accra; Tema,Ghana,Ghana,1121,5890466.043,Lower Middle,Sub-Saharan Africa,High,1975,2030,1,-21289.56696,692809.1311,-0.2130518617981973,5.606647187183119,0.015971843,0.025066407,5.21e-05,8.14e-05,0.004071646,0.007993589,0.016850534,0.078558591,15805469.52,0.014099438,22587630.54,29476857856.0,0.6995722,67.39875651,12.35574078,10.99599424,105037.89041600001,0.13182625907962173,0.8975250219385555,3,5254.653026761819,6.770149656738929,3.049605612594973,GHA,2167.72691406678,43.5,148.49676310689,34427414.0,2.83566522568304,58.3654868038581,2024.0,2016.0,2023.0,2024.0,2024.0,2024.0
Johannesburg,South Africa,Africa,-26.205,28.049722,10000,400.0,22312,32632,0.454250595097234,0.65,0.195749404902766,55.78,81.58,9.743187600349367,119.43108115162256,80.64576635640923,113.92008760008684,1.3004983905486407,0.2701642559450846,0.2494177494483942,0.9805910999329076,0.1029357685707281,0.221366490217423,0.3311473400343221,0.1390731444962352,0.02559160989602,0.6079688060236644,0.2273664395840803,2.9250627465041235,3.2014280460897275,0.1485047496859928,1,10321,0.4625761921835783,0.1776036975907952,0.1276333891723072,0.6900209345961976,0.0529090567094342,0.6873199340959498,0.1774767892029057,0.0431647579266548,0.2012375985004153,0.7178125667098201,1.0421150544472249,1.000000712411612,cache\R61_osmnx_city_windows\johannesburg_south_africa__drive_10000m.pkl,3264,0.1462889924704195,3803,0.1165420446187791,3886,0.8096091789171747,2.0,4.402856092179456,4.0,0.1291148518849141,71837,0.8166503042305362,0.3581023706446539,0.2423820593844397,0.0501273716886841,98.65022185217548,71.12703012467333,matched,"Johannesburg, South Africa",Q34647,Johannesburg,largest city in South Africa,1.0,4803262.0,1644.0,2921.692214111922,+1886-01-01T00:00:00Z,2026-06-03T14:57:58Z,candidate_public_metadata_requires_spot_check,,0.575,0.1207494049027659,0.075,0.6168570727596616,0.3831429272403387,False,3512,Johannesburg,South Africa,-26.18169764890424,28.039232939165906,1.0,2.794481008074887,0.9972055189919251,high_confidence,Johannesburg,Johannesburg; Soweto; Randburg; Roodepoort; Krugersdorp; Sandton,South Africa,South Africa,1756,8592842.571,Upper Middle,Sub-Saharan Africa,High,1975,2030,0,2628115.911,-3193791.492,28.039232939165906,-26.18169764890424,0.112628987,0.086106783,0.000326123,0.002408408,0.006772613,0.005931248,0.043984343,0.289360547,24506124.15,0.013955652,65324710.71,146000000000.0,0.75,66.094,13.53,12.645,175600.0000308,0.20737117300329683,0.7050806963455781,3,4893.418320615035,6.934136855179851,3.244524511570084,ZAF,5715.47531469148,54.1,52.1085690262058,64007187.0,1.42147218614851,63.6917984858172,2024.0,2022.0,2023.0,2024.0,2024.0,2024.0
Casablanca,Morocco,Africa,33.5945144,-7.6200284,10000,400.0,36942,55764,0.4598827284198025,0.675,0.2151172715801975,92.355,139.41,9.46338382984203,67.88167154323241,46.76421534053768,55.15061123615567,1.3870344504896426,0.4235169643497597,0.0742414460942543,0.944477402514563,0.1459902446022523,0.3364955042520848,0.1570726633670468,0.0684045260137512,0.0177846353743706,0.7424070164040929,0.1714038222077852,3.019002761084944,3.174467398321498,0.0949647911777256,1,18823,0.509528450002707,0.1136892423161975,0.1088004659985056,0.7736207783444052,0.0281956493865732,0.7581811779857383,0.2062648680130036,0.01461853296925,0.0885594946591337,0.7056891922422459,1.0344421283522696,1.0000000313931845,cache\R61_osmnx_city_windows\casablanca_morocco__drive_10000m.pkl,2606,0.0705430133723133,2772,0.0497094899935442,2811,0.9200909533863896,2.0,4.348934796642996,4.0,0.0951032188891349,121257,0.7676061482826985,0.4026241783979482,0.2581871562054149,0.0305054553551547,96.30364686613314,76.96668603785723,no_search_result,"Casablanca, Morocco",,,,,,,,,,,,0.575,0.1151172715801974,0.1,0.5351372799337537,0.4648627200662465,False,2102,Casablanca,Morocco,33.58068285943897,-7.543301952402813,1.0,7.271683611472777,0.9927283163885272,high_confidence,Casablanca,Casablanca; Mohammedia,Morocco,Morocco,415,4577677.349,Lower Middle,Northern Africa and Western Asia,High,1975,2030,0,-675097.132,4060011.754,-7.543301952402813,33.58068285943897,0.057013934,0.03604416,3.16e-05,0.000148903,0.000217561,0.011311665,0.009119903,0.127652677,6473539.663,0.015598891,90298903.63,52824858624.0,0.714,75.149,15.631,6.828,29658.230133999998,0.1957944582591635,0.7166380115728588,2,11030.547828915664,6.660645178795702,2.6180480967120925,MAR,3516.15405273438,39.5,84.5003473000224,38081173.0,1.17376582878803,62.7998124018197,2024.0,2013.0,2023.0,2024.0,2024.0,2024.0
