city,domain,pc,mean_degree,fisher_tau,d_R,d_tau,d_resid,tau_in_range,pc_pred_class,pc_band,pc_within_band
Cairo,road,0.7,2.762988962659111,2.0737987170090664,2.0705580465473408,2.1222098729892385,0.0516518264418977,True,0.6844395473014433,0.16258821699348439,True
Bengaluru,road,0.7,2.695482305119528,2.108036738359642,2.1276021502505365,2.187662767592451,0.06006061734191448,True,0.683361879341727,0.14879680979674242,True
Hyderabad,road,0.75,2.683174048608078,2.082803485180623,1.987770866773676,2.151418251272939,0.16364738449926297,True,0.6963745559350328,0.15903815382983916,True
Osaka,road,0.625,3.0,2.0710804156377853,2.142857142857143,2.0968546929905365,-0.04600244986660629,True,0.6372325968032388,0.15674617028721952,True
Tehran,road,0.7,2.5238751576881744,2.245003156102567,2.304269665660164,2.2907572289480997,-0.013512436712064257,True,0.7031801956868485,0.13454246738280914,True
case1354pegase,power,0.61,2.5258493353028064,2.627638039502544,2.849221524173723,4.06974879708516,1.2205272729114371,True,0.5248767358314697,0.02376858191286363,False
case2869pegase,power,0.67,2.7661205995120253,2.163446660219693,2.1719196771400093,2.240270253618338,0.06835057647832876,True,0.6529996878086789,0.13295743324732293,True
case9241pegase,power,0.69,3.0747754572016017,2.4616102129570145,1.891587374790876,2.7103992124154397,0.8188118376245637,True,0.5153738380819015,0.06289382490614794,False
case1888rte,power,0.65,2.444915254237288,2.611438349264257,2.6972312117943185,3.788131484066153,1.0909002722718344,True,0.5557097082300884,0.029766383830642573,False
case2848rte,power,0.63,2.417134831460674,2.4765444184055005,2.912795852026973,2.7271523845667356,-0.1856434674602374,True,0.6532476745421167,0.07846106507050538,True
case6470rte,power,0.61,2.493353941267388,2.6859545829468874,2.919585108529248,4.074054059901564,1.154468951372316,True,0.5315343725634999,0.024010956166245226,False
case3120sp,power,0.67,2.3615384615384616,2.660294399829036,2.717532038578412,4.074054059901564,1.3565220213231521,True,0.5612033614252045,0.025351190829940664,False
GBnetwork,power,0.65,2.521582733812949,2.0013919924653547,2.564874753729244,2.070327394261774,-0.49454735946746986,False,0.7670950240722633,0.19584382596258262,True
case_illinois200,power,0.67,2.45,2.225237203819752,2.5588464536243176,2.2785212551673615,-0.28032519845695614,True,0.7274096318850596,0.14126494333265743,True
case300,power,0.71,2.7266666666666666,2.2595897899718094,2.0684521689579034,2.301747197277979,0.23329502832007565,True,0.6484834886213433,0.12244217551137435,True
