city,country,macro_region,swap_fraction,replicate,fine_road_minus_spatial,fine_road_minus_geometry,fine_spatial_minus_geometry,geometry_edge_jaccard
Amsterdam,Netherlands,Europe,0.005,0,-0.01,-0.02,0.01,0.9803095080387788
Amsterdam,Netherlands,Europe,0.01,0,-0.01,-0.025,0.015000000000000001,0.9622900444524002
Barcelona,Spain,Europe,0.005,0,0.04,0.0,0.04,0.980483782297966
Barcelona,Spain,Europe,0.01,0,0.055,0.005,0.05,0.9625468164794008
Buenos Aires,Argentina,Latin America,0.005,0,0.0699999999999999,-0.005,0.0749999999999999,0.9811779634133446
Buenos Aires,Argentina,Latin America,0.01,0,0.0699999999999999,0.015,0.054999999999999896,0.9626554929946314
Chennai,India,Asia,0.005,0,0.0549999999999999,0.005,0.049999999999999906,0.9809497274801052
Chennai,India,Asia,0.01,0,0.0549999999999999,0.0,0.0549999999999999,0.9625636159751574
Chicago,United States,North America,0.005,0,0.0599999999999999,0.02,0.0399999999999999,0.981393238030406
Chicago,United States,North America,0.01,0,0.0649999999999999,-0.005,0.06999999999999991,0.9623353858600386
Dakar,Senegal,Africa,0.005,0,0.025,-0.0349999999999999,0.0599999999999999,0.9812118149662364
Dakar,Senegal,Africa,0.01,0,0.015,-0.0199999999999999,0.0349999999999999,0.9621482677828076
Dar es Salaam,Tanzania,Africa,0.005,0,0.025,-0.055,0.08,0.9802151108750498
Dar es Salaam,Tanzania,Africa,0.01,0,0.02,-0.01,0.03,0.9621722969639156
Dubai,United Arab Emirates,Middle East,0.005,0,0.0249999999999999,0.0,0.0249999999999999,0.980560519548446
Dubai,United Arab Emirates,Middle East,0.01,0,0.0149999999999999,0.0199999999999999,-0.004999999999999999,0.9616646520462788
Ho Chi Minh City,Vietnam,Asia,0.005,0,0.0249999999999999,-0.03,0.054999999999999896,0.9804085988717792
Ho Chi Minh City,Vietnam,Asia,0.01,0,0.0299999999999999,-0.03,0.0599999999999999,0.9621230716942656
Hong Kong,China,Asia,0.005,0,-0.03,-0.045,0.015,0.980708838043966
Hong Kong,China,Asia,0.01,0,0.0,-0.04,0.04,0.96236758278391
Kampala,Uganda,Africa,0.005,0,0.0649999999999999,0.0249999999999999,0.04000000000000001,0.98038324441999
Kampala,Uganda,Africa,0.01,0,0.0649999999999999,0.01,0.0549999999999999,0.9624958513109856
Kuala Lumpur,Malaysia,Asia,0.005,0,0.0249999999999999,-0.015,0.0399999999999999,0.9803514221920202
Kuala Lumpur,Malaysia,Asia,0.01,0,0.0549999999999999,-0.015,0.0699999999999999,0.9622924642644144
Miami,United States,North America,0.005,0,0.0699999999999999,-0.03,0.0999999999999999,0.9804272915230876
Miami,United States,North America,0.01,0,0.06,0.01,0.049999999999999996,0.96257341893184
Montevideo,Uruguay,Latin America,0.005,0,0.0199999999999999,-0.01,0.029999999999999902,0.9805910895456552
Montevideo,Uruguay,Latin America,0.01,0,0.0399999999999999,0.005,0.0349999999999999,0.9620695682572976
Nairobi,Kenya,Africa,0.005,0,0.0,0.0,0.0,0.980237710106196
Nairobi,Kenya,Africa,0.01,0,-0.01,-0.015,0.004999999999999999,0.9615451600543384
Rio de Janeiro,Brazil,Latin America,0.005,0,0.0449999999999999,0.015,0.029999999999999902,0.980173482032218
Rio de Janeiro,Brazil,Latin America,0.01,0,0.0649999999999999,0.01,0.0549999999999999,0.9622178143005572
Rome,Italy,Europe,0.005,0,0.035,-0.015,0.05,0.9810776138550352
Rome,Italy,Europe,0.01,0,0.045,-0.01,0.055,0.9630816494080882
Seattle,United States,North America,0.005,0,0.12,0.0599999999999999,0.060000000000000095,0.9803467344193691
Seattle,United States,North America,0.01,0,0.1099999999999999,0.0549999999999999,0.055,0.9608583055863856
Singapore,Singapore,Asia,0.005,0,0.0499999999999999,0.0249999999999999,0.024999999999999998,0.9802282918874848
Singapore,Singapore,Asia,0.01,0,0.0649999999999999,0.0099999999999998,0.055000000000000104,0.9620317075633646
Sydney,Australia,Oceania,0.005,0,0.035,-0.0199999999999999,0.0549999999999999,0.9810284254231876
Sydney,Australia,Oceania,0.01,0,0.03,-0.0299999999999999,0.0599999999999999,0.9620409325277576
Taipei,Taiwan,Asia,0.005,0,0.04,0.03,0.010000000000000002,0.9803555096035312
Taipei,Taiwan,Asia,0.01,0,0.0749999999999999,0.025,0.0499999999999999,0.96178845775064
