city,graph_cache_file,n_nodes,n_edges,pc_cebh,pc_w7_coarse,pc_fine_grid,pc_fine_grid_ci_low,pc_fine_grid_ci_high,pc_rank_order,pc_rank_order_ci_low,pc_rank_order_ci_high,delta_w7_coarse,delta_fine_grid,delta_rank_order,fine_shift_from_w7,estimator_spread,p_grid_min,p_grid_max,p_grid_step,n_trial_fine_grid,n_perm_rank_order,fine_boundary_hit,rank_boundary_hit,pass_shift_gate,pass_spread_gate,pass_window_gate,status,simulation_seconds,notes
Berlin,cache\private_graphs\berlin_germany__road.pkl,28407,42452,0.444985,0.675,0.655,0.645,0.685,0.665,0.635,0.675,0.230015,0.210015,0.220015,-0.02,0.01,0.575,0.775,0.01,80,40,False,False,True,True,True,pass,7.80767,all R39 local sensitivity gates passed
Buenos Aires,cache\private_graphs\buenos_aires_argentina__road.pkl,17908,31619,0.374939,0.55,0.55,0.55,0.56,0.55,0.54,0.57,0.175061,0.175061,0.175061,0.0,0.0,0.45,0.65,0.01,80,40,False,False,True,True,True,pass,3.808371,all R39 local sensitivity gates passed
Chicago,cache\private_graphs\chicago_united_states__road.pkl,29581,49030,0.393386,0.6,0.61,0.59475,0.61,0.61,0.6,0.62,0.206614,0.216614,0.216614,0.01,0.0,0.5,0.7,0.01,80,40,False,False,True,True,True,pass,6.453541,all R39 local sensitivity gates passed
Madrid,cache\private_graphs\madrid_spain__road.pkl,31430,48088,0.449106,0.65,0.65,0.63,0.67,0.65,0.65,0.65,0.200894,0.200894,0.200894,0.0,0.0,0.55,0.75,0.01,80,40,False,False,True,True,True,pass,6.740294,all R39 local sensitivity gates passed
Rotterdam,cache\private_graphs\rotterdam_netherlands__road.pkl,11445,16529,0.462401,0.675,0.675,0.655,0.715,0.685,0.675,0.705,0.212599,0.212599,0.222599,0.0,0.01,0.575,0.775,0.01,80,40,False,False,True,True,True,pass,2.456516,all R39 local sensitivity gates passed
Stockholm,cache\private_graphs\stockholm_sweden__road.pkl,13781,18398,0.493601,0.75,0.72,0.71,0.83,0.72,0.72,0.79625,0.256399,0.226399,0.226399,-0.03,0.0,0.65,0.85,0.01,80,40,False,False,False,True,True,risk_exposed,2.882704,fine-grid threshold moved beyond the one-coarse-bin tolerance
Sydney,cache\private_graphs\sydney_australia__road.pkl,118520,159194,0.505461,0.725,0.715,0.715,0.735,0.725,0.715,0.735,0.219539,0.209539,0.219539,-0.01,0.01,0.625,0.825,0.01,80,40,False,False,True,True,True,pass,28.446065,all R39 local sensitivity gates passed
Toronto,cache\private_graphs\toronto_canada__road.pkl,27438,40273,0.45937,0.675,0.685,0.675,0.695,0.665,0.665,0.715,0.21563,0.22563,0.20563,0.01,0.02,0.575,0.775,0.01,80,40,False,False,True,True,True,pass,5.58545,all R39 local sensitivity gates passed
