domain,predictor,n_instances,n_inference_units,absolute_error,absolute_error_low,absolute_error_high,unsafe_integrated,safe_integrated
power,CEBH,10,6,0.299391749430395,0.2408055166457651,0.3484656077193901,0.5433709356084803,0.0
power,2D,10,6,0.1156454913003823,0.0746236220179225,0.1627445488987809,0.0051452775627038,0.2839684506882521
power,junction,10,6,0.099442894585652,0.0660949396803962,0.1349626619397537,0.2486072364641301,0.0
power,nonbacktracking,10,6,0.33198951094761,0.2772334622402492,0.4076912234050949,0.5659722222222224,0.0
rail,CEBH,6,6,0.2466463930775098,0.2075534169767378,0.2893385946977972,0.6103659826937746,0.0
rail,2D,6,6,0.0586877976155444,0.0351259473336824,0.0847269164060553,0.0445529244493202,0.0959165695895409
rail,junction,6,6,0.1472704174854135,0.1055095410748149,0.1856221277150781,0.3619260437135339,0.0
rail,nonbacktracking,6,6,0.3656891375489473,0.3245189948810567,0.4164837979982295,0.8163604185826193,0.0
road,CEBH,71,71,0.2122516324212402,0.2066973440627806,0.2183481944045378,0.5098005223450266,0.0
road,2D,71,71,0.0227228029304838,0.0188131584333321,0.0267997214275198,0.0044610346051368,0.0504392482799536
road,junction,71,71,0.0633326794642625,0.0537276298159993,0.0736400368596563,0.1549220795326719,0.0009448303955902
road,nonbacktracking,71,71,0.3146506395817082,0.3036461528644679,0.3259461453835104,0.572975352112676,0.0
