city,observed,degree_null,connected_null
Accra,0.22192132716291468,0.0256713271629147,0.0306713271629146
Addis Ababa,0.22022581054205204,0.018350810542052,0.017725810542052
Algiers,0.2359144758764623,0.0252894758764622,0.0321644758764623
Amsterdam,0.20831914289768705,0.0233191428976869,0.0258191428976869
Athens,0.20894303572929024,0.0151930357292901,0.0164430357292901
Auckland,0.24554940759006427,0.0305494075900643,0.0342994075900643
Bangkok,0.3510948175304117,0.0254698175304116,0.0685948175304116
Barcelona,0.18868580324923506,0.026810803249235,0.026185803249235
Bengaluru,0.19737595487970305,0.016750954879703,0.022375954879703
Bogota,0.20310488065868076,0.0187298806586808,0.0206048806586807
Boston,0.21200187302202422,0.0238768730220241,0.0232518730220241
Brisbane,0.21888020106115608,0.0238802010611561,0.0288802010611561
Buenos Aires,0.17438426222181597,0.0225092622218159,0.0206342622218159
Cairo,0.20691871850165483,0.0150437185016548,0.0181687185016548
Casablanca,0.20511727158019755,0.0219922715801975,0.0201172715801974
Chennai,0.22405108049844902,0.021551080498449,0.026551080498449
Chicago,0.20400529685997787,0.0277552968599778,0.0290052968599778
Dakar,0.22246224040276918,0.0218372404027691,0.0237122404027692
Dar es Salaam,0.2549011640769925,0.0292761640769924,0.0299011640769925
Delhi,0.2285354620774781,0.019160462077478,0.0197854620774781
Dhaka,0.216372368860675,0.0226223688606749,0.0251223688606749
Dubai,0.20913883247634296,0.0278888324763429,0.0278888324763429
Hanoi,0.21603319766586576,0.0247831976658657,0.0260331976658658
Ho Chi Minh City,0.21155028531365017,0.0234252853136501,0.0315502853136501
Hong Kong,0.1898224633863661,0.0335724633863661,0.032322463386366
Hyderabad,0.24434413779850567,0.0168441377985056,0.0193441377985056
Istanbul,0.21369661499525466,0.0186966149952546,0.0199466149952545
Jakarta,0.19267427842274598,0.0201742784227459,0.027674278422746
Johannesburg,0.21574940490276606,0.0238744049027659,0.024499404902766
Kampala,0.24804786060261197,0.0255478606026119,0.0592978606026119
Karachi,0.22837939456990036,0.0183793945699003,0.0183793945699003
Kuala Lumpur,0.20059838844827244,0.0218483884482724,0.0230983884482724
Lagos,0.22716309806302082,0.0284130980630207,0.0359130980630207
Lima,0.20216547578011362,0.0184154757801136,0.0159154757801135
Lisbon,0.21948385139235377,0.0232338513923538,0.0269838513923537
London,0.25501528340753543,0.0212652834075354,0.0275152834075355
Los Angeles,0.17756967379160482,0.0263196737916048,0.0238196737916047
Manila,0.20820204707916756,0.0225770470791675,0.0269520470791675
Melbourne,0.23639127435138618,0.0201412743513862,0.0226412743513861
Mexico City,0.1884000442438305,0.0165250442438305,0.0159000442438305
Miami,0.19866892581256385,0.0236689258125638,0.0236689258125638
Milan,0.19262275915822286,0.0219977591582228,0.0251227591582228
Montevideo,0.17303168733231816,0.0249066873323182,0.0280316873323182
Montreal,0.20183374244463792,0.0230837424446379,0.0243337424446379
Mumbai,0.23499628457277422,0.0262462845727742,0.0312462845727741
Nairobi,0.23669078630004825,0.0298157863000482,0.0454407863000482
New York City,0.19735731728093586,0.0229823172809358,0.0223573172809358
Osaka,0.17326427273781458,0.0151392727378146,0.0157642727378146
Panama City,0.2213600979093936,0.0351100979093936,0.0401100979093935
Paris,0.19352594795600198,0.0216509479560019,0.0210259479560019
Prague,0.2256987994904815,0.0288237994904814,0.0319487994904815
Quito,0.22882234112251576,0.0244473411225157,0.0313223411225157
Rio de Janeiro,0.228151622133001,0.026901622133001,0.0319016221330009
Riyadh,0.19593711449215778,0.0178121144921578,0.0171871144921578
Rome,0.2169670289211082,0.0244670289211081,0.0257170289211081
San Francisco,0.2030232784966512,0.0280232784966512,0.0317732784966511
Santiago,0.18815942207952585,0.0181594220795258,0.0169094220795258
Sao Paulo,0.1974532431356944,0.0193282431356943,0.0199532431356943
Seattle,0.21072831232913247,0.0251033123291325,0.0269783123291325
Seoul,0.2208346100630051,0.017709610063005,0.0170846100630051
Singapore,0.20817956849742925,0.0275545684974292,0.0306795684974292
Sydney,0.20770367518815908,0.027078675188159,0.028953675188159
Taipei,0.15831538981640397,0.026440389816404,0.024565389816404
Tehran,0.19793477440594665,0.0179347744059465,0.0316847744059466
Tel Aviv,0.2020443592892564,0.0251693592892564,0.0270443592892564
Tokyo,0.20737338309216868,0.0161233830921686,0.0161233830921686
Toronto,0.2096750232126277,0.0265500232126276,0.0309250232126276
Tunis,0.21980677015893796,0.0179317701589378,0.0198067701589378
Vancouver,0.18229334686894888,0.0279183468689488,0.0272933468689489
Vienna,0.20180149691410648,0.0261764969141065,0.0280514969141065
Warsaw,0.20242031872509958,0.0280453187250996,0.0261703187250996
