group,mean,low_95,high_95,n_cities
Observed,0.21225163242124023,0.20669734406278065,0.21834819440453784,71
Degree null,0.023237547914197916,0.022201945933626156,0.024309921189437544,71
Connected null,0.026547407069127494,0.024653036058824143,0.028655215897259438,71
