ladder,instance,macro_region,replicate,swap_multiplier,n_nodes,n_edges,n_swaps,swaps_per_edge,orders,seed,graph_sha256,source_sha256,pc_control,pc_observed,pc_cebh,null_gap,organization_residual,degree_sequence_exact
mixing,Accra,Africa,1,0.02,19183,25655,1026,0.039992204248684465,1024,20268824,bd9c1886d94395bdbb50b298d4dc9d50df2d7fd6e93230435be47af8cbd93282,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.5875,0.725,0.5030786728370853,0.08442132716291473,0.13749999999999996,True
mixing,Accra,Africa,1,0.1,19183,25655,5131,0.2,1024,20268824,33b13eeea8786d43c8d8cbe4b089c3020886d68407fd89ea2db4a0df6c0294d4,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.535,0.725,0.5030786728370853,0.03192132716291474,0.18999999999999995,True
mixing,Accra,Africa,1,1.0,19183,25655,51310,2.0,1024,20268824,b5406a598f762dad200fc7a6ab9d5b547759ed7fec1be05be59466c3ad5e495a,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.53,0.725,0.5030786728370853,0.026921327162914732,0.19499999999999995,True
mixing,Accra,Africa,1,5.0,19183,25655,256550,10.0,1024,20268824,20b325ac3f86dec29f6b1f7eae269d95aed11f53983c110bf69df8df4f8d9734,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.53,0.725,0.5030786728370853,0.026921327162914732,0.19499999999999995,True
mixing,Amsterdam,Europe,1,0.02,23201,32887,1315,0.039985404567154194,1024,20268824,67819574a6bedb2306ee93e5551012cc2a2d1397c6808a5a061ccf0ef7bf6605,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.5525,0.675,0.466680857102313,0.085819142897687,0.12250000000000005,True
mixing,Amsterdam,Europe,1,0.1,23201,32887,6577,0.19998783713929516,1024,20268824,52e74174b99d46f833dd28349f26123932e77c835c6fc31f2341b26d183e541d,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.495,0.675,0.466680857102313,0.028319142897687,0.18000000000000005,True
mixing,Amsterdam,Europe,1,1.0,23201,32887,65774,2.0,1024,20268824,fde8e012565efcb8b8eab1a5c3b0b6b72f8e94da3b9d6ba77f3d179e27a17861,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.49,0.675,0.466680857102313,0.023319142897686995,0.18500000000000005,True
mixing,Amsterdam,Europe,1,5.0,23201,32887,328870,10.0,1024,20268824,490f237e7cac2173021ee2d99796c0487c58d1dd8ddf9712cd5c66aceb665944,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.4925,0.675,0.466680857102313,0.025819142897686997,0.18250000000000005,True
mixing,Auckland,Oceania,1,0.02,12533,16775,1000,0.05961251862891207,1024,20268824,5a6bcac1bc1f3e70c48f1a6ad2009626c02afd4700102bc303dd84fc3264c858,04a8fa5a988a0061d23e6f3a2ed3b53261459c235a42cda748fa1e3c4aab14de,0.5925,0.75,0.5044505924099357,0.0880494075900643,0.15749999999999997,True
mixing,Auckland,Oceania,1,0.1,12533,16775,3355,0.2,1024,20268824,503c565c5ae15854c83f7605e4905bd1e4e1875d5806bac2839ebed250b0c8e6,04a8fa5a988a0061d23e6f3a2ed3b53261459c235a42cda748fa1e3c4aab14de,0.5475,0.75,0.5044505924099357,0.04304940759006426,0.2025,True
mixing,Auckland,Oceania,1,1.0,12533,16775,33550,2.0,1024,20268824,95bf3136746fa935988578986fdda52c426ff06081f115e23d7d907f9d79e870,04a8fa5a988a0061d23e6f3a2ed3b53261459c235a42cda748fa1e3c4aab14de,0.5325,0.75,0.5044505924099357,0.028049407590064246,0.21750000000000003,True
mixing,Auckland,Oceania,1,5.0,12533,16775,167750,10.0,1024,20268824,b41c9a1a9fc487b8aa18d1c819773a2668f7529137ac90c1823f522057199d24,04a8fa5a988a0061d23e6f3a2ed3b53261459c235a42cda748fa1e3c4aab14de,0.5325,0.75,0.5044505924099357,0.028049407590064246,0.21750000000000003,True
