domain,instance,n_nodes,n_edges,input_hash,pc_nonbacktracking_checked,rho_lr,relative_eigen_residual,pc_nonbacktracking,absolute_check_difference
road,Boston,24819,35843,ab1c8ef8bea3a1b1d6c8460021acdda0c4c6c3f850f7873e37bc77953dbbad0e,0.3752036629371377,2.66521918302152,3.441642843736557e-10,0.3752036629386207,1.4829804051430528e-12
road,Brisbane,25339,35174,6370c1a0ef0082186e72fcb0cd4d0fdfbc158a565f99d0ed55bc1e88b32f1b67,0.3778586238378338,2.646492462824327,3.80209421543611e-10,0.3778586238374735,3.6032288264209456e-13
road,Buenos Aires,21642,37472,9d9d15a5d2f4fbba12698a26633ec7b121490021a8df53eda0a4066573a44ab9,0.3326767844389632,3.005920601542521,1.947822103430097e-09,0.332676784442898,3.9347969327252486e-12
road,Cairo,118235,163341,1dd01752b9f1dbd0c8474162d1793e9ce47b810d0108b2f780896d0a7c7278ca,0.3564738633417184,2.805254754515881,1.1726168272175261e-09,0.3564738633416712,4.718447854656915e-14
road,Casablanca,36942,55764,f8c7a1f9e2b886aa40e9fa56bf4a3568975e4cdbaf1739150fb45b89f9b8490c,0.367196700256043,2.723336019367028,6.6889292257831e-10,0.3671967002592981,3.2551183970497277e-12
road,Chennai,42444,56880,7cfca29680ba8cef2af8b744e09858e92d0014be372a6b8771952f4c230b3e17,0.3984179127610716,2.5099273099191524,1.141346091424442e-09,0.3984179127616969,6.253331186201194e-13
road,Chicago,13260,21830,6e54a03ece4f9e8613bb187ade95bb2ed96d1aa8c0ad94f557dd8312a3ff7df6,0.3513664304489152,2.8460317017831582,2.303467867534263e-09,0.3513664304485737,3.4150460237469815e-13
road,Dakar,28624,43129,d135e6c58b836e7913965c30226322d34eaf4bd8c574de7659ea7d8998805576,0.3565314582699833,2.8048015870811334,2.465607583467931e-09,0.3565314582686812,1.3020695632803836e-12
road,Dar es Salaam,22312,29826,3dbe8788844f68a6baa9d7d70471afabf3c868af462c46dc55b3dd77ad295122,0.3761808633525343,2.658295775834985,1.6488640848751292e-09,0.3761808633566279,4.093614336397877e-12
road,Delhi,59302,85866,ef9646d6b32ee8d368c13f641fcff98d043f745b57904bc921c5f3509bfa4b32,0.3754731958711366,2.663305958977702,6.61570134786863e-10,0.3754731958732658,2.1291857166261252e-12
road,Dhaka,35890,47996,a65144ddcc34f23972b2d202b2d2cd55ea3e782cf425f82e62474c28beb59939,0.3759001214832055,2.6602811301423803,1.652487008260427e-09,0.3759001214863942,3.188671549025912e-12
road,Dubai,15724,22720,2db898e088c7cb2fb4ac59525af70ddc3a6629bdfcf307f718dffa812066751a,0.353176202898497,2.831447848957706,2.045954218139235e-09,0.3531762029031313,4.6342929493903284e-12
road,Hanoi,29320,39886,4a321e4140484f274f5b6fa29d763d163fc4b6049743cfa5b35266e3aa4f820a,0.3432466722643189,2.913356722159115,4.6080398001805663e-10,0.3432466722655197,1.2008172234345693e-12
road,Ho Chi Minh City,40466,51958,8687b876aad2ebf2f3544c09e61dbe0084498b8528b11b33176c5376014c9c5d,0.3422357547141606,2.9219623789314824,2.343060343637311e-10,0.3422357547141961,3.547162563677375e-14
road,Hong Kong,9035,13245,8c450ae99e1d49537e3fe46c4f3b09a708194b8e3a26ee2ab24260144f99ea54,0.3874254522092351,2.5811417249374067,8.705108938697318e-10,0.3874254522081708,1.064259791405675e-12
road,Hyderabad,98461,132094,e4231c8b15f318853b5383dfc47cc6714ae0597f46f38eb309dd665fd8221603,0.3669880338398826,2.724884486114611,2.292962486867366e-09,0.3669880338425164,2.633782081318259e-12
road,Istanbul,48682,72909,eec3a6dbbdcd00ad23b67c1f9091e15b935660f56c8cfe1f00ddc54c0b80a322,0.3826701360392194,2.6132167258996954,2.508246982795749e-09,0.3826701360384961,7.233103005432895e-13
road,Jakarta,50166,65445,d59d38ad96562a8ea8ea6eb9efcfc96393a754eea73f17cea49fbc37d4a9e8c2,0.385844851542146,2.5917152866059934,5.988970785901934e-10,0.3858448515413127,8.332778911324112e-13
road,Johannesburg,22312,32632,4f091fc0d64c7e37ebb8bf87212b572e814d05a9e39d7fd528eafc7620690a88,0.3595873204332664,2.780965688097959,2.080276713842473e-09,0.3595873204317505,1.5158985178231887e-12
road,Kampala,35927,41391,a3fdf2484e3d4125bab8164f7b70b3bba13444fbc8d8db4d5b040bd21d48250c,0.4049696977836243,2.469320557742819,4.5844522621153606e-10,0.4049696977833597,2.6462165791940606e-13
road,Karachi,52156,78992,345bd7c3f4e02b299a268bf152f0f49a4cfd3c52f69f9f4d5eff1283f4b71a48,0.3377403408969578,2.9608544757911903,1.900760734196895e-09,0.3377403408966729,2.8493873927004643e-13
road,Kuala Lumpur,37213,50999,49b7553a44a7eb0148643d5a81a8b7ab648c1a4225da6cb8aaab15e1173468b7,0.3918899306807195,2.551736908021553,8.090115045732511e-10,0.3918899306737779,6.941558439166329e-12
road,Lagos,13226,17952,c2a9d25f86f9b3ca4fd33a84ae643503972c6868a893966ba48b9e5af72f2436,0.3719276551104473,2.688694928326965,1.401677732954091e-09,0.3719276551057825,4.664768571416289e-12
road,Lima,49410,75796,b12039ffd98f2fe4818b976b056335d9772a079095451454f90b51260e99343a,0.3549180441962542,2.817551872474096,1.3232012741857527e-09,0.3549180441969052,6.509792704889605e-13
road,Lisbon,26686,36745,488bc6782067aa70f97242af41f9389b8b68e3725d7fcf1e2633d3e5eae2343f,0.3711948140368862,2.694003154636283,1.1356748575141976e-09,0.3711948140380789,1.1927125953548057e-12
road,London,48353,62602,8f49355676baa87af47d44e42bfbf0f77547d73bc9a1e8dfbc595d3458d54992,0.3867522317328761,2.5856347241214754,3.2347001201507883e-10,0.3867522317329722,9.60898027813073e-14
road,Los Angeles,22280,34611,219b208ac41716e10e50a12f340935f4a88b22a4a28fb7b189651f09e882a4de,0.3524400726607337,2.837361802959964,2.639928257056372e-09,0.352440072661276,5.42343947529389e-13
road,Manila,25142,36895,7645e8072f89f7935b5e2be2cde714a704cf2c1665b04dda8aaa69a16c1ce922,0.3596983782561488,2.7801070576078013,1.6877249234078435e-09,0.3596983782588286,2.6798008256889716e-12
road,Melbourne,35052,51621,b1949e34636d16072868fc476e33eed55b5af66885f7558fdf14b8a00254fe6f,0.3760994649031071,2.65887110543384,7.305102541511783e-10,0.3760994648995985,3.508582313571651e-12
