graph,city,seed,stage_index,estimator_seed,grid_index,p,count
bengaluru_india,Bengaluru,111,0,118,270,0.675,2
bengaluru_india,Bengaluru,111,0,118,271,0.6775,96
bengaluru_india,Bengaluru,111,0,118,272,0.68,37
bengaluru_india,Bengaluru,111,0,118,273,0.6825,131
bengaluru_india,Bengaluru,111,0,118,274,0.685,201
bengaluru_india,Bengaluru,111,0,118,275,0.6875,14
bengaluru_india,Bengaluru,111,0,118,276,0.6900000000000001,36
bengaluru_india,Bengaluru,111,0,118,277,0.6925,274
bengaluru_india,Bengaluru,111,0,118,278,0.6950000000000001,2
bengaluru_india,Bengaluru,111,0,118,279,0.6975,4
bengaluru_india,Bengaluru,111,0,118,280,0.7000000000000001,24
bengaluru_india,Bengaluru,111,0,118,281,0.7025,1
bengaluru_india,Bengaluru,111,0,118,283,0.7075,178
bengaluru_india,Bengaluru,111,1,1137,265,0.6625,1
bengaluru_india,Bengaluru,111,1,1137,266,0.665,12
bengaluru_india,Bengaluru,111,1,1137,267,0.6675,1
bengaluru_india,Bengaluru,111,1,1137,268,0.67,5
bengaluru_india,Bengaluru,111,1,1137,269,0.6725,105
bengaluru_india,Bengaluru,111,1,1137,270,0.675,2
bengaluru_india,Bengaluru,111,1,1137,271,0.6775,32
bengaluru_india,Bengaluru,111,1,1137,272,0.68,3
bengaluru_india,Bengaluru,111,1,1137,273,0.6825,20
bengaluru_india,Bengaluru,111,1,1137,274,0.685,137
bengaluru_india,Bengaluru,111,1,1137,276,0.6900000000000001,319
bengaluru_india,Bengaluru,111,1,1137,277,0.6925,351
bengaluru_india,Bengaluru,111,1,1137,278,0.6950000000000001,3
bengaluru_india,Bengaluru,111,1,1137,280,0.7000000000000001,1
bengaluru_india,Bengaluru,111,1,1137,282,0.705,7
bengaluru_india,Bengaluru,111,1,1137,283,0.7075,1
bengaluru_india,Bengaluru,111,2,2146,264,0.66,5
bengaluru_india,Bengaluru,111,2,2146,265,0.6625,5
bengaluru_india,Bengaluru,111,2,2146,266,0.665,1
bengaluru_india,Bengaluru,111,2,2146,268,0.67,1
bengaluru_india,Bengaluru,111,2,2146,271,0.6775,282
bengaluru_india,Bengaluru,111,2,2146,272,0.68,347
bengaluru_india,Bengaluru,111,2,2146,273,0.6825,235
bengaluru_india,Bengaluru,111,2,2146,274,0.685,8
bengaluru_india,Bengaluru,111,2,2146,275,0.6875,1
bengaluru_india,Bengaluru,111,2,2146,276,0.6900000000000001,84
bengaluru_india,Bengaluru,111,2,2146,277,0.6925,4
bengaluru_india,Bengaluru,111,2,2146,278,0.6950000000000001,3
bengaluru_india,Bengaluru,111,2,2146,279,0.6975,23
bengaluru_india,Bengaluru,111,2,2146,282,0.705,1
bengaluru_india,Bengaluru,111,3,3155,264,0.66,9
bengaluru_india,Bengaluru,111,3,3155,266,0.665,11
bengaluru_india,Bengaluru,111,3,3155,267,0.6675,94
bengaluru_india,Bengaluru,111,3,3155,268,0.67,263
bengaluru_india,Bengaluru,111,3,3155,269,0.6725,172
bengaluru_india,Bengaluru,111,3,3155,270,0.675,26
bengaluru_india,Bengaluru,111,3,3155,271,0.6775,35
bengaluru_india,Bengaluru,111,3,3155,272,0.68,222
bengaluru_india,Bengaluru,111,3,3155,273,0.6825,55
bengaluru_india,Bengaluru,111,3,3155,274,0.685,2
bengaluru_india,Bengaluru,111,3,3155,275,0.6875,87
