instance,domain,orders,source_sha256,released_p_star,h_deg,h_2d,p_star_s1,p_peak_s2,p_peak_susceptibility,p_star_order_mean,p_star_order_median,gap_deg_p_star_s1,gap_deg_p_peak_s2,gap_deg_p_peak_susceptibility,gap_deg_p_star_order_mean,gap_deg_p_star_order_median
GBnetwork,power,512,f9183f636fba81d836842e61935d7ffa01b7c9a62b7a6e5836f67a52455c4c94,0.685,0.3573340129985982,0.7931526390870186,0.68,0.6525,0.675,0.69119140625,0.685,0.32266598700140187,0.2951659870014018,0.31766598700140186,0.3338573932514018,0.32766598700140187
case1354pegase,power,512,ef544d1742a6b2ac14eb17a33a94b950e3ffaf4d8d51009ed86a7b98492f5a94,0.6025,0.3339191564147627,0.7918128654970761,0.605,0.5525,0.5650000000000001,0.5970751953125,0.58875,0.27108084358523726,0.21858084358523727,0.23108084358523734,0.26315603889773725,0.2548308435852373
case1888rte,power,512,3ce70a49fd366546800fcf5582de023d10980f638b3cf4e2ee13515802f74c8f,0.6075,0.3413696198787161,0.8180242634315424,0.6125,0.5650000000000001,0.5825,0.5990673828125,0.5975,0.27113038012128393,0.22363038012128394,0.2411303801212839,0.25769776293378394,0.2561303801212839
case2848rte,power,512,4be4a9a4aa42a4696a5ccdb918e1bee2eee0def94c9df0049070c1056bc93644,0.6175,0.3494061516597299,0.8274259151656015,0.6275000000000001,0.5675,0.58,0.597265625,0.595,0.2780938483402702,0.21809384834027012,0.23059384834027008,0.24785947334027014,0.2455938483402701
case2869pegase,power,512,b044b754705a319c1c8a6d5af48d203f8d8966a3044b26237640c344d37a1514,0.6975,0.3161249203314212,0.7230342741935484,0.715,0.6625,0.685,0.7127880859375,0.705,0.39887507966857877,0.3463750796685788,0.36887507966857885,0.3966631656060788,0.38887507966857876
case300,power,512,841f894b820d4ed3f3a660a1e7c52e9fe52272d79b6b2e904461eb447adadc03,0.685,0.3851224105461393,0.7334963325183375,0.6875,0.6525,0.685,0.724345703125,0.715,0.3023775894538607,0.26737758945386064,0.2998775894538607,0.3392232925788607,0.32987758945386064
case3120sp,power,512,2b140c633ded119091073c0f61dc881b9d60fdb48cc7439def91601c0370b59e,0.68,0.5042430878729811,0.8469055374592833,0.66,0.625,0.635,0.6666943359374999,0.6625,0.15575691212701892,0.12075691212701889,0.1307569121270189,0.16245124806451883,0.15825691212701887
case6470rte,power,512,3a73c2dc8b5c6d762d121e1d6278545ac4c23824b328c831eb331d19ae4dc82a,0.6,0.3523655585164476,0.8021324076369948,0.615,0.5525,0.5625,0.5815966796875001,0.5775,0.2626344414835524,0.20013444148355242,0.21013444148355243,0.2292311211710525,0.22513444148355244
case9241pegase,power,512,73a981c222789aad50c52a8310c8f88b315831f12af658a9e5e1b05791750761,0.6875,0.2113602213725694,0.6504540015485324,0.675,0.655,0.6725,0.69095703125,0.6825,0.46363977862743067,0.44363977862743065,0.4611397786274306,0.4795968098774306,0.4711397786274306
case_illinois200,power,512,3a56334ed01a72aff9a792696e35b94f9bbe6af2774c558e262cc2abaabd392b,0.7375,0.3804347826086957,0.8163265306122448,0.735,0.6625,0.7000000000000001,0.7258984374999999,0.725,0.3545652173913043,0.2820652173913043,0.3195652173913044,0.34546365489130426,0.3445652173913043
Berlin,rail,512,fcee78825e576c6af1cf6859312783469458167feada2a53a3a3609718903936,0.75,0.5498729351969504,0.8108992875024071,0.75,0.8825000000000001,0.895,0.8908203125,0.9175,0.20012706480304965,0.3326270648030497,0.34512706480304967,0.3409473773030497,0.36762706480304963
Hamburg,rail,512,5897b88ca03bbb79bd50985775dc79a6102dd6b40cd56f7839e1b3690b9198e3,0.805,0.5317460317460317,0.7761194029850745,0.7875,0.7975,0.8125,0.8638134765625001,0.855,0.25575396825396823,0.26575396825396824,0.28075396825396826,0.3320674448164683,0.32325396825396824
Madrid,rail,512,97ad9aab79fa6c0758809bc3e0e94b4645a018950a8ebcdecb8f1a5fefd26916,0.805,0.553341384863124,0.8344852673699528,0.8175,0.8575,0.885,0.9080908203125,0.9225,0.264158615136876,0.30415861513687603,0.331658615136876,0.354749435449376,0.369158615136876
Milan,rail,512,5faaf889bf47dffd6f3e4d5b82b6d70def632976d7ea4b0fef72b98abb1bad63,0.685,0.508820527773728,0.7916905444126076,0.6875,0.655,0.8575,0.7559667968749999,0.725,0.178679472226272,0.14617947222627203,0.34867947222627205,0.2471462691012719,0.21617947222627198
Osaka,rail,512,ab104ef1afd0e4fb5edf82d2d44507f4ef2b7c9df6ffa37808f6086d38ebd5a5,0.7925,0.5514511873350925,0.8256246677299308,0.7975,1.0,1.0,0.84736328125,0.8275,0.24604881266490752,0.44854881266490754,0.44854881266490754,0.2959120939149076,0.27604881266490755
Vienna,rail,512,bf143814b00b6861617c0285c41e02c9eb8e63e7864b7ddbc9d9685be85b60ab,0.865,0.5273895746200143,0.771953578336557,0.8625,0.8425,0.8525,0.8624658203125,0.8625,0.3351104253799857,0.3151104253799857,0.3251104253799857,0.3350762456924856,0.3351104253799857
Accra,road,512,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,0.725,0.5030786728370853,0.747729487429351,0.7275,0.715,0.72,0.7274169921875,0.725,0.22442132716291474,0.21192132716291467,0.21692132716291468,0.2243383193504147,0.22192132716291468
Addis Ababa,road,512,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,0.7025,0.482274189457948,0.7068347563760153,0.7025,0.6950000000000001,0.6975,0.7036376953125001,0.7025,0.22022581054205204,0.21272581054205209,0.21522581054205203,0.2213635058545521,0.22022581054205204
Algiers,road,512,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,0.7425,0.5065855241235377,0.7513588367664878,0.75,0.74,0.7425,0.7483837890625,0.7475,0.24341447587646226,0.23341447587646225,0.2359144758764623,0.24179826493896228,0.2409144758764623
Amsterdam,road,512,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,0.675,0.466680857102313,0.7054763280323532,0.6725,0.6525,0.665,0.678984375,0.6725,0.205819142897687,0.18581914289768697,0.19831914289768704,0.21230351789768698,0.205819142897687
Athens,road,512,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,0.6225,0.4135569642707098,0.618863792850451,0.62,0.6175,0.62,0.6257568359375001,0.625,0.20644303572929018,0.20394303572929023,0.20644303572929018,0.21219987166679027,0.21144303572929019
Auckland,road,512,04a8fa5a988a0061d23e6f3a2ed3b53261459c235a42cda748fa1e3c4aab14de,0.75,0.5044505924099357,0.747123695976155,0.75,0.72,0.7725,0.7632031250000001,0.7575000000000001,0.24554940759006427,0.21554940759006425,0.26804940759006424,0.25875253259006437,0.25304940759006433
Bangkok,road,512,e1462165a4d58eee692be25a1afef11ac4ae74b354702427f4271d2497f2a49b,0.92,0.5689051824695883,0.8838396518537117,0.9325,0.7675000000000001,0.79,0.830830078125,0.8225,0.3635948175304117,0.19859481753041175,0.2210948175304117,0.26192489565541166,0.2535948175304117
