domain,instance,system_id,n_nodes,n_edges,mean_degree,pc_cebh,pc_dimension,pc_junction_anchor,pc,pc_low,pc_high,point_endpoint,bootstrap_endpoint_count,p_step,n_orders,n_bootstrap,mean_curve_p0,mean_curve_p1,exact_endpoint_slope,largest_component_bridges,method_version,input_hash,pc_nonbacktracking,nb_spectral_radius,nb_residual,candidate_id,macro_region,source_sha256
road_external,Abidjan,Abidjan,21637,30812,2.848084300041596,0.4688374923919658,0.7022264052966376,0.6197339275106903,0.72,0.7125,0.7225,False,0,0.0025,8192,1000,4.621712806766189e-05,1.0,0.2901511300087812,3889,canonical_v2_exact_endpoint,910856138c7ea8fb3b276ebc8ee5339312dcab71a8c55e591dc00eea8b5bc2a4,0.3513959518790963,2.84579260134467,5.631823938578471e-10,ER11P,Africa,31124b4fbc2a5702ee65c7d9ace0b9d92aac1495beb80ae870c9ce5cd7296dc6
road_external,Adelaide,Adelaide,29777,43041,2.8908889411290595,0.4736650966236739,0.6918287214516391,0.6271547953168041,0.6775,0.675,0.6775,False,0,0.0025,8192,1000,3.358296671927998e-05,1.0,0.2717197837256943,4249,canonical_v2_exact_endpoint,f4ed10e277f6c8f884173f42a751e7330692ced66227c169e4c106e8ca0dd9ca,0.3989581777786907,2.506528392443977,9.17388483403414e-10,ER71P,Oceania,35eafb65e1e568deb9aebaad4714710a0ad7023f35210c3185dfa85eb1dd69bc
road_external,Amman,Amman,43301,62072,2.8670007621071107,0.4856887998622869,0.6975931176698028,0.6343661003916982,0.7025,0.7000000000000001,0.7025,False,0,0.0025,8192,1000,2.309415486940255e-05,1.0,0.1618207431699037,5280,canonical_v2_exact_endpoint,a2fb275918cfb470e2613676f313a82ac5409275141b5b91c8ad6ac3fe21c21c,0.3626628966541386,2.7573816048617505,2.569786528495453e-09,ER52P,Middle East,71d459644a3128c3777e4593c03fa3b7d924aa45806b63e9a16b1d484f097a98
road_external,Ankara,Ankara,28917,43767,3.027077497665733,0.4540051036285554,0.6607032695866749,0.6200798796112234,0.6675,0.66,0.6675,False,0,0.0025,8192,1000,3.458173392813917e-05,1.0,0.2306601653006881,2635,canonical_v2_exact_endpoint,1c19f281bc95baef5f4fa7fdd9f3896edbcd99e42c5606a9861858c8d92377ba,0.392325053861459,2.548906806122884,2.186558117659387e-09,ER51P,Middle East,f6c8e9fcfa1773ee1c47f357eb2217dbd0101abac0abdf662723949d991ad6f9
road_external,Calgary,Calgary,18363,26621,2.8994173065403257,0.456143657579548,0.6897937718342662,0.6101724059974906,0.6775,0.675,0.68,False,0,0.0025,8192,1000,5.445733267984532e-05,1.0,0.2535533409573599,2912,canonical_v2_exact_endpoint,574dbe32a406155b47aed859b57ae23500a05d209203b5d69c8fd4171a019aae,0.3572233206286481,2.799369308364812,2.3264489104785607e-09,ER61P,North America,2cd0ee64befa8284a4b4fe9913f84fd655fc1c4e2b55dc5df2db94e486dd449b
road_external,Cape Town,Cape Town,12145,17615,2.9007822149032525,0.4603423494054619,0.6894692023843315,0.615159021465226,0.7025,0.7000000000000001,0.705,False,0,0.0025,8192,1000,8.23384108686702e-05,1.0,0.4741045697818032,2032,canonical_v2_exact_endpoint,3f72a2643be0b66a005080d0dc8afe82940306fe64fe93e5c8063f0286a103da,0.361932324926321,2.762947465948423,1.1136454044913252e-09,ER13P,Africa,5168788bf98088964ea0811846db2e9e419e492f81ce7f0f9800ef8848327121
road_external,Chengdu,Chengdu,14872,22969,3.088891877353416,0.4300988689985768,0.6474813879576821,0.6011904301804338,0.6025,0.6025,0.605,False,0,0.0025,8192,1000,6.724045185583647e-05,1.0,0.1490048413125336,1613,canonical_v2_exact_endpoint,61099a876180d3cf763e20af753f13378e8146cb5b563f6262149bdb979b7ed2,0.352317802565983,2.838346494888567,2.6209213777317803e-10,ER21P,Asia,cc150f61380f621dae8eb76d8c073a886772ed4d73513ea8936d475fd3959550
road_external,Colombo,Colombo,23540,27623,2.3468988954970262,0.5577249232757228,0.8521883937298629,0.6387465864766821,0.8375,0.835,0.84,False,0,0.0025,8192,1000,4.248088360237892e-05,1.0,0.7880628717077315,10042,canonical_v2_exact_endpoint,db69f89d96715d1e5bea45cdcd155e907df3d3772111d8492952427d3fda7558,0.4223622430761531,2.3676358774799318,1.5504282380941411e-09,ER23P,Asia,6d03770b5f0d352b5f2dadaa7e507b24f58af441f9d6418094854f7c26ef27a1
road_external,Cordoba,Cordoba,30788,49140,3.192152786800052,0.4170768969614666,0.6265364265364266,0.5934531500897353,0.61,0.605,0.6175,False,0,0.0025,8192,1000,3.2480187085877607e-05,1.0,0.1248213589710276,2664,canonical_v2_exact_endpoint,a51dbaae5a8b8bd314a985e78dfbc9a053b138522f12f43ddf8bb6e8e14df89e,0.345103974001441,2.8976774402366763,4.83030572178438e-10,ER42P,Latin America,6bbc2a50d8f6d3697229cf1b704f86ec955c02eeef867ee5b35e8626c6d12148
road_external,Kigali,Kigali,16227,21773,2.683552104517162,0.5064548393849875,0.7452808524319111,0.6360956086272983,0.74,0.7375,0.745,False,0,0.0025,8192,1000,6.162568558575216e-05,1.0,0.3118259690639058,3607,canonical_v2_exact_endpoint,ca23f1344a4a40779f79985ab85a507abc270269b9bff6378726c01c0c5d919f,0.4136229765720193,2.417660663553302,5.983686654408931e-10,ER12P,Africa,42104c9c8754fbe1db5a35c91cdca73b7c8354e0fec3c32bde44e3a3e2bab4a4
