domain,predictor,n_instances,n_inference_units,absolute_error,absolute_error_low,absolute_error_high,signed_error,signed_error_low,signed_error_high,unsafe_integrated,unsafe_integrated_low,unsafe_integrated_high,safe_integrated,safe_integrated_low,safe_integrated_high,flip_integrated,flip_integrated_low,flip_integrated_high,unsafe_interval_separated,unsafe_interval_separated_low,unsafe_interval_separated_high,safe_interval_separated,safe_interval_separated_low,safe_interval_separated_high,grid_unsafe,grid_unsafe_low,grid_unsafe_high,grid_safe,grid_safe_low,grid_safe_high,full_band_unsafe,full_band_unsafe_low,full_band_unsafe_high,full_band_safe,full_band_safe_low,full_band_safe_high
power,CEBH,10,6,0.299391749430395,0.2408055166457651,0.3484656077193901,0.299391749430395,0.2408055166457651,0.3484656077193901,0.5433709356084803,0.4596693428346567,0.6312500000000002,0.0,0.0,0.0,0.5433709356084803,0.4596693428346567,0.6312500000000002,0.5201070467195913,0.4357320467195912,0.6107320467195914,0.0,0.0,0.0,0.5359477124183006,0.4509803921568627,0.6241830065359478,0.0,0.0,0.0,0.299391749430395,0.2408055166457651,0.3484656077193901,0.0,0.0,0.0
power,2D,10,6,0.1156454913003823,0.0746236220179225,0.1627445488987809,-0.1115292692502192,-0.1608619017636715,-0.0685491163110867,0.0051452775627038,0.0,0.0154358326881115,0.2839684506882521,0.1805874953996905,0.4038568650044369,0.2891137282509559,0.1865590550448064,0.4068613722469521,0.0034091664515927,0.0,0.0102274993547781,0.2589684506882521,0.1584364216298852,0.3802457538933259,0.0032679738562091,0.0,0.0098039215686274,0.2549019607843137,0.1633986928104575,0.369281045751634,0.0020581110250815,0.0,0.0061743330752446,0.1135873802753008,0.0722349981598762,0.1615427460017748
power,junction,10,6,0.099442894585652,0.0660949396803962,0.1349626619397537,0.099442894585652,0.0660949396803962,0.1349626619397537,0.2486072364641301,0.1652373492009906,0.3374066548493843,0.0,0.0,0.0,0.2486072364641301,0.1652373492009906,0.3374066548493843,0.2253433475752412,0.1445980078688149,0.3165720778196894,0.0,0.0,0.0,0.2352941176470588,0.1470588235294117,0.3235294117647058,0.0,0.0,0.0,0.099442894585652,0.0660949396803962,0.1349626619397537,0.0,0.0,0.0
power,nonbacktracking,10,6,0.33198951094761,0.2772334622402492,0.4076912234050949,0.33198951094761,0.2772334622402492,0.4076912234050949,0.5659722222222224,0.4822916666666668,0.6430555555555557,0.0,0.0,0.0,0.5659722222222224,0.4822916666666668,0.6430555555555557,0.5427083333333335,0.4625000000000001,0.6229166666666669,0.0,0.0,0.0,0.565359477124183,0.4803921568627451,0.6372549019607844,0.0,0.0,0.0,0.3319895109476099,0.2772334622402491,0.4076912234050949,0.0,0.0,0.0
rail,CEBH,6,6,0.2466463930775098,0.2075534169767378,0.2893385946977972,0.2466463930775098,0.2075534169767378,0.2893385946977972,0.6103659826937746,0.5188835424418445,0.7062691739756916,0.0,0.0,0.0,0.6103659826937746,0.5188835424418445,0.7062691739756916,0.587449316027108,0.5004491936969625,0.6767255711078134,0.0,0.0,0.0,0.5686274509803921,0.4803921568627451,0.6666666666666666,0.0,0.0,0.0,0.2466463930775098,0.2075534169767378,0.2893385946977972,0.0,0.0,0.0
rail,2D,6,6,0.0586877976155444,0.0351259473336824,0.0847269164060553,-0.0180454580560882,-0.0662982664883188,0.0362725511888157,0.0445529244493202,0.0,0.109591609168856,0.0959165695895409,0.0260874729582848,0.1725398285292335,0.1404694940388611,0.087814868334206,0.2035427540723439,0.0310112577826535,0.0,0.0856332758355227,0.0680060415187272,0.0033852782208045,0.1506648285292335,0.0490196078431372,0.0,0.1274509803921568,0.088235294117647,0.0294117647058823,0.1568627450980392,0.020321169779728,0.0,0.0513366436675424,0.0383666278358163,0.0104349891833139,0.0690159314116934
rail,junction,6,6,0.1472704174854135,0.1055095410748149,0.1856221277150781,0.1472704174854135,0.1055095410748149,0.1856221277150781,0.3619260437135339,0.2623630524854371,0.4475084383372849,0.0,0.0,0.0,0.3619260437135339,0.2623630524854371,0.4475084383372849,0.3390093770468671,0.2439521771626417,0.4204251050039515,0.0,0.0,0.0,0.3529411764705882,0.2549019607843137,0.4411764705882353,0.0,0.0,0.0,0.1472704174854135,0.1055095410748149,0.1856221277150781,0.0,0.0,0.0
rail,nonbacktracking,6,6,0.3656891375489473,0.3245189948810567,0.4164837979982295,0.3656891375489473,0.3245189948810567,0.4164837979982295,0.8163604185826193,0.7077208371652386,0.9125,0.0,0.0,0.0,0.8163604185826193,0.7077208371652386,0.9125,0.7934437519159526,0.6875000000000001,0.8861597414513871,0.0,0.0,0.0,0.7941176470588237,0.6862745098039217,0.9019607843137256,0.0,0.0,0.0,0.3656891375489473,0.3245189948810567,0.4164837979982295,0.0,0.0,0.0
road,CEBH,71,71,0.2122516324212402,0.2066973440627806,0.2183481944045378,0.2122516324212402,0.2066973440627806,0.2183481944045378,0.5098005223450266,0.4909852533477016,0.527219330559685,0.0,0.0,0.0,0.5098005223450266,0.4909852533477016,0.527219330559685,0.4991469131900971,0.4806966873301347,0.5164286736504098,0.0,0.0,0.0,0.4821872410936204,0.4664457332228666,0.4979287489643744,0.0,0.0,0.0,0.2122516324212402,0.2066973440627806,0.2183481944045378,0.0,0.0,0.0
road,2D,71,71,0.0227228029304838,0.0188131584333321,0.0267997214275198,-0.0181353738901408,-0.0232502779084214,-0.0130867990541328,0.0044610346051368,0.0020316683939166,0.0073916981802837,0.0504392482799536,0.0400060432122529,0.0613966360684171,0.0549002828850904,0.0453258877422069,0.0650828517158909,0.0030382056382318,0.0009968639659303,0.0056557257184176,0.0410221887571745,0.0311907652922841,0.0513694973438861,0.0024855012427506,0.0,0.0057995028997514,0.0439105219552609,0.032311516155758,0.0555095277547638,0.0022937145201714,0.001029020344216,0.0038752017462833,0.0204290884103123,0.0162117110688664,0.0248309993403734
