city,chains,terminal_delta_p_median,terminal_delta_p_min,terminal_delta_p_max,achieved_added_chi_min,achieved_added_chi_max,terminal_KS_min,terminal_KS_max,terminal_mean_length_ratio_min,terminal_mean_length_ratio_max,terminal_targets_reached
Bengaluru,3,-0.0224999999999999,-0.0225,-0.01,0.0926553589599057,0.0931897542513707,0.0165076901678586,0.0172031360951077,1.0550668033238484,1.0566485637495495,0
Osaka,3,-0.015,-0.0175,-0.0124999999999999,0.0793856802941812,0.080964741509842,0.0205350061287764,0.0212488283221573,1.0697102811267365,1.071875528059568,0
Tehran,3,-0.0074999999999999,-0.01,-0.0024999999999999,0.1032424076936605,0.1055471736534705,0.0158834473374862,0.0163925321880467,1.053047973195803,1.05445825579288,3
