instance,n_nodes,n_edges,input_hash,radius_m,geometry,pc_inner,pc_low,pc_high,pc_parent,pc_cebh_inner,pc_cebh_parent,pc_dimension,gap_inner,gap_parent,gap_change,n_orders,n_bootstrap,p_step,method_version
Addis Ababa,12742,17944,2a046f18d915ac33d67a64d016f5a071b6512d9f1dd2cb5ab2c90ec741906575,5000,"centre disc, largest connected component",0.6950000000000001,0.6925,0.7000000000000001,0.7025,0.4820157412630618,0.482274189457948,0.7100980829246545,0.2129842587369382,0.220225810542052,-0.0072415518051137,2048,1000,0.0025,canonical_v2_exact_endpoint
Algiers,5833,7747,65e08cfd7e431850bb6323d81b0e518b0d402b1a3187922587c6bb8f881da40a,5000,"centre disc, largest connected component",0.7425,0.7275,0.75,0.7425,0.5047563200416992,0.5065855241235377,0.7529366206273397,0.2377436799583008,0.2359144758764623,0.0018292040818385,2048,1000,0.0025,canonical_v2_exact_endpoint
Amsterdam,9269,13852,e5fb54cc2fde066d22839c927600d46766b5e0d3745b6ace63d09ee407da0d3d,5000,"centre disc, largest connected component",0.6525,0.6475,0.6675,0.675,0.4441594254016096,0.466680857102313,0.6691452497834248,0.2083405745983904,0.208319142897687,2.143170070334488e-05,2048,1000,0.0025,canonical_v2_exact_endpoint
Auckland,3322,4625,5406b5e17607944a584d8768acddb92d82f21dbf5a8fd6ef066c782ec09e829b,5000,"centre disc, largest connected component",0.72,0.7175,0.7225,0.75,0.4825247782994262,0.5044505924099357,0.7182702702702702,0.2374752217005737,0.2455494075900642,-0.0080741858894904,2048,1000,0.0025,canonical_v2_exact_endpoint
Barcelona,5954,9537,42d73d5fbb00edac060b4f13498564b46bd8d043789b85b6f1ec031a7f4655b4,5000,"centre disc, largest connected component",0.59,0.585,0.595,0.6275000000000001,0.4162810999563509,0.438814196750765,0.6243053371081053,0.1737189000436491,0.188685803249235,-0.0149669032055859,2048,1000,0.0025,canonical_v2_exact_endpoint
Boston,6632,9933,7b91d786536e9da93561204b8870135c02d5252566055484af17b32fefe5558f,5000,"centre disc, largest connected component",0.645,0.6325000000000001,0.65,0.675,0.4440917422989224,0.4629981269779758,0.6676734118594584,0.2009082577010776,0.2120018730220242,-0.0110936153209466,2048,1000,0.0025,canonical_v2_exact_endpoint
Chicago,3511,5657,21bfd0053bfcd4b410e5bf2be0389d90558307f81615615e38a7299451dbdc23,5000,"centre disc, largest connected component",0.5875,0.58,0.5925,0.6,0.4045337528604119,0.3959947031400221,0.6206469860350009,0.1829662471395881,0.2040052968599778,-0.0210390497203897,2048,1000,0.0025,canonical_v2_exact_endpoint
Hong Kong,3882,5761,480d67aef8ad35f630170dd4ec8f388be40e92dda220d827a69cb4ab5a97a9b8,5000,"centre disc, largest connected component",0.6575,0.6525,0.665,0.655,0.4571496587843199,0.4651775366136339,0.6738413469883701,0.20035034121568,0.1898224633863661,0.0105278778293139,2048,1000,0.0025,canonical_v2_exact_endpoint
Kampala,7702,9225,2190bab77da85697e4edfd201f888d8d3e7c79cf76bf20e9d48985e7bccdb081,5000,"centre disc, largest connected component",0.79,0.7825,0.8,0.8225,0.5544536602957085,0.574452139397388,0.8349051490514906,0.2355463397042915,0.2480478606026119,-0.0125015208983204,2048,1000,0.0025,canonical_v2_exact_endpoint
Kuala Lumpur,6053,8348,7256811c43938db0618a088372f81d331a81ec20f952d52a30c50c72e7089cce,5000,"centre disc, largest connected component",0.6875,0.6825,0.6925,0.6975,0.4957244655581948,0.4969016115517276,0.7250838524197412,0.1917755344418051,0.2005983884482724,-0.0088228540064672,2048,1000,0.0025,canonical_v2_exact_endpoint
Montevideo,4001,6977,cdb7e76c25c0f2e6e66223b88c2de9c17d0506d8d4090ae68e3ba2286b7576a7,5000,"centre disc, largest connected component",0.56,0.5575,0.5625,0.58,0.3810694194112186,0.4069683126676818,0.5734556399598681,0.1789305805887814,0.1730316873323181,0.0058988932564633,2048,1000,0.0025,canonical_v2_exact_endpoint
Taipei,5786,9073,9d272505a78986c29c00df5ad572bc2955abefd676d8c37e1fe607dcd995b56a,5000,"centre disc, largest connected component",0.59,0.585,0.595,0.59,0.4197159642873664,0.431684610183596,0.637716301113193,0.1702840357126335,0.1583153898164039,0.0119686458962295,2048,1000,0.0025,canonical_v2_exact_endpoint
