cohort,domain,instance,system_id,snapshot_name,snapshot_format,snapshot_sha256,ordered_edges_sha256,n_nodes,n_edges,input_hash,seed,n_orders,n_bootstrap,p_step,method_version
reference,road,Accra,Accra,road_Accra.npz,npz,62ab975744338ea138a62d1fc56e19a3a82dac606fb865f2134a41ba9c0073ab,4b926e0884a2002a20c96649afaf766741a98419d8b8bc1a8a856a71ed41f267,19183,25655,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c,20287373,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Addis Ababa,Addis Ababa,road_Addis_Ababa.npz,npz,f856e4f6bf8e913821413b5c1ab26eb196e9bc1e374ba5558e9811cda3e69e7e,732c2fe56d3b3003201e755bfb19f217cdd0791d965d6ee459513512ee5ad117,51078,72263,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc,20300789,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Algiers,Algiers,road_Algiers.npz,npz,5cfd10123d92b60362c4d212de3958cf6c747b5f708ec9866c0b6a8e81fb0f53,1e99cb9e5f91afa33fc4b2b91d41d0b4fb249bee0ec07b236df2bc02703f5c6e,21703,28885,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc,20292105,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Amsterdam,Amsterdam,road_Amsterdam.npz,npz,466b36bb0d48277bd28e30aebac933afdedd9cb3733ff72ea211057250dca800,26a975b7f3035c35cd20e0feedabc3bc09261ba134756f045aa842aac64f7802,23201,32887,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d,20296958,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Athens,Athens,road_Athens.npz,npz,07910fdf3870d6e0ee22feaa50931092a51375c89bdae3bcf679dfe1472ac3c2,e4af44f9e06005b94b012d6dcc8a269660e0392e406d4a04251314b8edff351e,54827,88593,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975,20289832,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Auckland,Auckland,road_Auckland.npz,npz,04a8fa5a988a0061d23e6f3a2ed3b53261459c235a42cda748fa1e3c4aab14de,3ba5ce2a375cb016417a97d30931ba43cacd67cb2095c2c24d0223d0c111d590,12533,16775,a1c23153a003d63a2f54cfe32bf607c36bac7aad5406555dfd4b32d8c58a79c2,20294299,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Bangkok,Bangkok,road_Bangkok.npz,npz,e1462165a4d58eee692be25a1afef11ac4ae74b354702427f4271d2497f2a49b,8a8155ad908d21a80474934f9b617d99d3676a3fe722b8650532b97d40cc8924,63366,71694,2c97486a7bd38d376db2087296f3bb4b56a0ad081b4a18a93b026104f682cfea,20292003,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Barcelona,Barcelona,road_Barcelona.npz,npz,8c644d7caf49057e92c28ae69518861f9b1fbfcf4f0feaaa5b9b30496d7e74cd,b07c5d00797b700e0b206a5b4a70a725ccd0bcb32a4c8c5eafbcc5b1064f6db0,18674,28820,fd3e1e8319c9d2a226f1cc00c8d28949f672603801ea3f8aaa49c6c7af5c657f,20296786,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Bengaluru,Bengaluru,road_Bengaluru.npz,npz,a0f6df009d3b8b9764dcea9e7501de04c3077f4bab9b4cde67b36bfb10b73666,fb1b120d7ca0a0de05021bda4ea07568e229572e0f7985ee0577149814122fe0,101357,136603,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd,20297182,8192,1000,0.0025,canonical_v2_exact_endpoint
reference,road,Bogota,Bogota,road_Bogota.npz,npz,af1ed8028a379c90eddbf433fa52997c3e0d380b3383fe1bf1cd840ac4aa43ae,1ba1b775d1082d1135a10588dede4c8c8df16005612d17ec7b1f03d84479468a,40772,60476,8d77dcd71f2907217f5a0b1e714062beb4654b44b22e3de05279648077c67dd7,20289747,8192,1000,0.0025,canonical_v2_exact_endpoint
