city,domain,n_nodes,n_edges,n_components,n_nodes_lcc,n_edges_lcc,lcc_node_fraction,lcc_edge_fraction,n_cross_pairs_whole_projected,chi_whole_poly_projected,n_edges_with_polyline,n_edges_chord_fallback,n_cross_pairs_native_whole,chi_native_whole,sensitivity_n_cross_pairs_lcc_noangle,sensitivity_chi_lcc_noangle,sensitivity_n_cross_pairs_whole_angle15,sensitivity_chi_whole_angle15,sensitivity_n_cross_pairs_lcc_angle15,sensitivity_chi_lcc_angle15_projected,projected_geometry_sha256,input_hash,same_graph_as_frozen_threshold_input,grade_separation_ground_truth_verified
Berlin,rail,4211,5193,139,3888,5001,0.9232961291854668,0.9630271519352976,1068,0.2056614673599075,3713,1480,1068,0.2056614673599075,1064,0.2127574485102979,1003,0.1931446177546697,999,0.1997600479904019,ae0fa4ebca55ce178f1329fe3c037716c387c04c296dadc49249a016ca51afbd,fbc1459c615f6edb0549e2ba761fd8361759fdff4faa80f41af23328e1ce50f4,True,False
Hamburg,rail,4160,5360,59,3988,5243,0.9586538461538462,0.9781716417910448,437,0.0815298507462686,3553,1807,437,0.0815298507462686,437,0.0833492275414838,384,0.0716417910447761,384,0.0732405111577341,3af0db0bf1613964f863455c46abf277582b25e93aacfea05be9f106750f3737,bc86ef66a0008e2d58c289ca0d17f6388dff51f10ebfee38bdd7e1dd3dfe7446,True,False
Vienna,rail,3991,5170,67,3826,5067,0.9586569782009522,0.9800773694390716,519,0.1003868471953578,4067,1103,519,0.1003868471953578,517,0.1020327610025656,428,0.0827852998065764,426,0.0840734162226169,d42613ae2e7ffd933440eb31f7b72c45ae60bbbec01a7fd3350345fdee0a081b,3de1d79bb21c398ef08e2cedac6b12281dfde45650cb873aff4cd7b357af5d5e,True,False
Madrid,rail,2294,2749,84,1936,2460,0.8439407149084568,0.8948708621316842,730,0.2655511094943615,1816,933,730,0.2655511094943615,557,0.2264227642276422,693,0.252091669698072,522,0.2121951219512195,a560490b8d7d0d0ee48bd56ad27b477b8419725070f9cb5aba8026dadf0e5286,98b95ee85de230d9eb90947a37483612ccf070eb4e437048ae54a1f0e7a1a804,True,False
Milan,rail,2763,3490,102,2452,3263,0.8874411871154542,0.9349570200573066,466,0.1335243553008596,1936,1554,466,0.1335243553008596,443,0.1357646337726019,443,0.1269340974212034,422,0.1293288384921851,b2a67ccc9a43d89035e1b02480f3f5dadd974193e79f83208c78b31242ddfb63,6362fc5fd5cf54e3947ee158ea4edbdac82cd8d139c35c38924a9d830f82246d,True,False
Osaka,rail,1553,1881,16,672,825,0.4327108821635544,0.4385964912280701,446,0.2371079213184476,1021,860,446,0.2371079213184476,34,0.0412121212121212,425,0.2259436469962785,27,0.0327272727272727,82596aad48a2a1eeedfdd04275edda105a139d217d0b5e5e0b880e41fd0ebd18,9b0340572c8b4241326c87ded039c12aa6013af39c825dca82090cf882799465,True,False
