instance,pc,pc_cebh,pc_null,n_null,endpoint_count,null_gap,organization_residual,macro_region,input_hash
Accra,0.725,0.5030786728370853,0.52875,4,0,0.0256713271629147,0.1962499999999999,Africa,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c
Addis Ababa,0.7025,0.482274189457948,0.500625,4,0,0.018350810542052,0.201875,Africa,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc
Algiers,0.7425,0.5065855241235377,0.531875,4,0,0.0252894758764622,0.210625,Africa,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc
Amsterdam,0.675,0.466680857102313,0.49,4,0,0.0233191428976869,0.185,Europe,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d
Athens,0.6225,0.4135569642707098,0.4287499999999999,4,0,0.0151930357292901,0.1937500000000001,Europe,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975
Auckland,0.75,0.5044505924099357,0.535,4,0,0.0305494075900643,0.2149999999999999,Oceania,a1c23153a003d63a2f54cfe32bf607c36bac7aad5406555dfd4b32d8c58a79c2
Bangkok,0.92,0.5689051824695883,0.594375,4,0,0.0254698175304116,0.325625,Asia,2c97486a7bd38d376db2087296f3bb4b56a0ad081b4a18a93b026104f682cfea
Barcelona,0.6275000000000001,0.438814196750765,0.465625,4,0,0.026810803249235,0.161875,Europe,fd3e1e8319c9d2a226f1cc00c8d28949f672603801ea3f8aaa49c6c7af5c657f
Bengaluru,0.685,0.487624045120297,0.504375,4,0,0.016750954879703,0.180625,Asia,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd
Bogota,0.6525,0.4493951193413192,0.468125,4,0,0.0187298806586808,0.1843749999999999,Latin America,8d77dcd71f2907217f5a0b1e714062beb4654b44b22e3de05279648077c67dd7
Boston,0.675,0.4629981269779758,0.486875,4,0,0.0238768730220241,0.188125,North America,ab1c8ef8bea3a1b1d6c8460021acdda0c4c6c3f850f7873e37bc77953dbbad0e
Brisbane,0.71,0.4911197989388439,0.515,4,0,0.0238802010611561,0.1949999999999999,Oceania,6370c1a0ef0082186e72fcb0cd4d0fdfbc158a565f99d0ed55bc1e88b32f1b67
Buenos Aires,0.555,0.3806157377781841,0.403125,4,0,0.0225092622218159,0.151875,Latin America,9d9d15a5d2f4fbba12698a26633ec7b121490021a8df53eda0a4066573a44ab9
Cairo,0.6975,0.4905812814983452,0.505625,4,0,0.0150437185016548,0.191875,Africa,1dd01752b9f1dbd0c8474162d1793e9ce47b810d0108b2f780896d0a7c7278ca
Casablanca,0.665,0.4598827284198025,0.481875,4,0,0.0219922715801975,0.183125,Africa,f8c7a1f9e2b886aa40e9fa56bf4a3568975e4cdbaf1739150fb45b89f9b8490c
Chennai,0.7225,0.498448919501551,0.52,4,0,0.021551080498449,0.2025,Asia,7cfca29680ba8cef2af8b744e09858e92d0014be372a6b8771952f4c230b3e17
Chicago,0.6,0.3959947031400221,0.4237499999999999,4,0,0.0277552968599778,0.17625,North America,6e54a03ece4f9e8613bb187ade95bb2ed96d1aa8c0ad94f557dd8312a3ff7df6
Dakar,0.6825,0.4600377595972308,0.481875,4,0,0.0218372404027691,0.200625,Africa,d135e6c58b836e7913965c30226322d34eaf4bd8c574de7659ea7d8998805576
Dar es Salaam,0.7625000000000001,0.5075988359230076,0.536875,4,0,0.0292761640769924,0.225625,Africa,3dbe8788844f68a6baa9d7d70471afabf3c868af462c46dc55b3dd77ad295122
