graph,seed,stage_index,chi_chord,chi_added,pc,pc_low,pc_high,pc_shift,ks_length_statistic,target_reached,accepted_swaps,attempts,mean_length_ratio,median_length_ratio,largest_component_fraction,graph_sha256
bengaluru_india,111,0,0.0146116849556744,0.0,0.6925,0.6775,0.7075,0.0,0.0,True,0,0,1.0,1.0,1.0,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd
bengaluru_india,111,1,0.0351236795677986,0.0205119946121241,0.6925,0.6725,0.6925,0.0,0.0039603815435971,True,779,222199,1.012477380051359,1.0,0.999763213196918,00ab9fcdbfe4356a1ac1ade4129a451413543e893c20d513856acf7f2a39090c
bengaluru_india,111,2,0.0667847704662416,0.0521730855105671,0.68,0.6775,0.6950000000000001,-0.0124999999999999,0.009721602014597,True,2319,473970,1.0313338689777984,1.0,0.9990923172548516,239748c40ce9c23fffc679f0f9bcb5852b01346fccb5b4f7948a05080a74a9c9
bengaluru_india,111,3,0.1076037861540376,0.0929921011983631,0.67,0.6675,0.6875,-0.0224999999999999,0.0170420854593237,False,5092,1000000,1.0566485637495495,1.0,0.9975532030348176,87122dada9ec2b97b89a1810fa3de84cd47f3ea5f7e99635ef9cbde5d8a3c488
bengaluru_india,122,0,0.0146116849556744,0.0,0.685,0.6799375000000001,0.7000000000000001,0.0,0.0,True,0,0,1.0,1.0,1.0,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd
bengaluru_india,122,1,0.0349845903823488,0.0203729054266743,0.6825,0.67,0.6875,-0.0025,0.0040189454111549,True,791,216770,1.0128194268233948,1.0,0.9995461586274258,8a39f3736a9984aa80c340fa662764315d2351b3a9702ea205c197e08640e9e0
bengaluru_india,122,2,0.0667701294993521,0.0521584445436776,0.6775,0.6675,0.6900000000000001,-0.0075,0.0098680116834916,True,2282,459359,1.031820840212094,1.0,0.9988949949189498,4b5d36eec629673b4b17ec9d7d37dcf0dd7a5f6ac7bf16140b920cb1733c4933
bengaluru_india,122,3,0.1072670439155801,0.0926553589599057,0.6625,0.6575,0.6875,-0.0225,0.0172031360951077,False,5027,1000000,1.0564697301478456,1.0,0.9929555926083052,bea92b4b903da0879d087ec3302dc36cf95e77b16045d8bce9e00c308d3fa573
bengaluru_india,133,0,0.0146116849556744,0.0,0.6825,0.6725,0.705,0.0,0.0,True,0,0,1.0,1.0,1.0,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd
bengaluru_india,133,1,0.0350285132830172,0.0204168283273427,0.6875,0.6725,0.6900000000000001,0.005,0.003455268185911,True,795,204886,1.0119322632136274,1.0,0.99945736357627,c4b9af2e30612c0f3e226692489b5eeb8d4375c7c4191d73d35d921c37dfea8a
bengaluru_india,133,2,0.0665212330622314,0.0519095481065569,0.6725,0.665,0.6875,-0.01,0.0090700789880163,True,2248,458978,1.030525239205633,1.0,0.9988752626853596,43907cf5788104a7403b8372b729b9b9e7b304a6aea3e42fa05bd5b64a919cd6
bengaluru_india,133,3,0.1078014392070452,0.0931897542513707,0.6725,0.66,0.6725,-0.01,0.0165076901678586,False,5031,1000000,1.0550668033238484,1.0,0.9981155716921376,6056ab2e36dd74ccc8d54b6ac2c250cb970f80629a8871cb2ea84ed3dc635ad8
osaka_japan,211,0,0.0382724060855144,0.0,0.62,0.615,0.625,0.0,0.0,True,0,0,1.0,1.0,1.0,8716f7da01a6ea100c83066836fea709c34b406534acc56a2f284e9c2ad9c7db
osaka_japan,211,1,0.0587280986372485,0.020455692551734,0.6175,0.6075,0.6225,-0.0024999999999999,0.0055014781166631,True,874,247267,1.0181086615088537,1.0,1.0,a6bd5df56c01636a2a9011c3231a642ffca7d11b88b9fa92c1ed0d5d95fb6d30
osaka_japan,211,2,0.0909005696156896,0.0526281635301752,0.615,0.6125,0.6175,-0.005,0.0139591895594491,True,2749,628222,1.0465796926551831,1.0,1.0,e31abd5ada31ce085c4e0edd338fc32cd646cf97260503ca69e60a1e504c667a
osaka_japan,211,3,0.1176580863796957,0.0793856802941812,0.605,0.605,0.62,-0.015,0.0205350061287764,False,5174,1000000,1.0697102811267365,1.0,0.999956738048886,9b889be15ad87563b031c8b6caf9a4b4e49676e498f58b2bf8f77f401caf5d5a
osaka_japan,222,0,0.0382724060855144,0.0,0.6275000000000001,0.615,0.6275000000000001,0.0,0.0,True,0,0,1.0,1.0,1.0,8716f7da01a6ea100c83066836fea709c34b406534acc56a2f284e9c2ad9c7db
osaka_japan,222,1,0.0588074122142908,0.0205350061287764,0.6175,0.615,0.63,-0.01,0.0052923786862787,True,867,229757,1.017996045582796,1.0,0.99978369024443,d81fcb19fb7d6e171ddc3dacadd4f223087b66a916390d08b4d063028398259f
