predictor,n,mae,mae_low,mae_high,unsafe,unsafe_low,unsafe_high,conservative,conservative_low,conservative_high
CEBH,21,0.22086782532192842,0.20962239709009647,0.23275734245325924,0.5346982312729844,0.4963405460972376,0.5722775079472284,0.0,0.0,0.0
2D,21,0.015965474155089813,0.010398892958941003,0.022110152430281842,0.010221980120356957,0.0025505233877062025,0.02095950482391506,0.029431182204288652,0.014856502549965175,0.045336257486002784
junction,21,0.07087621167243642,0.051254308399053365,0.09300262532628985,0.17719052918109104,0.1281357709976334,0.23250656331572464,0.0,0.0,0.0
nonbacktracking,21,0.3169612608741367,0.2967834648550391,0.33817156282394384,0.5976190476190476,0.5348214285714287,0.6654836309523811,0.0,0.0,0.0
