domain,instance,system_id,n_nodes,n_edges,mean_degree,pc_cebh,pc_dimension,pc_junction_anchor,pc,pc_low,pc_high,point_endpoint,bootstrap_endpoint_count,p_step,n_orders,n_bootstrap,mean_curve_p0,mean_curve_p1,exact_endpoint_slope,largest_component_bridges,method_version,input_hash,kind,replicate,n_swaps,degree_sequence_exact,realization_hash,seed,components_before_repair,connectivity_repairs,lcc_before_repair
road,Accra,Accra,19183,25655,2.6747641140593235,0.5030786728370853,0.747729487429351,0.6330722187859009,0.535,0.5325,0.54,False,0,0.0025,256,1000,5.21294896522963e-05,1.0,0.2625241098889642,4284,canonical_v2_exact_endpoint,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c,connected,0,51310,True,f9ce9420e817252da04326dfb0b25306ad8f611455aa74baac59a8de3d9f2d06,20289327,167,166,0.9823281030078715
road,Accra,Accra,19183,25655,2.6747641140593235,0.5030786728370853,0.747729487429351,0.6330722187859009,0.5325,0.53,0.535,False,0,0.0025,256,1000,5.21294896522963e-05,1.0,0.2616900380545274,4281,canonical_v2_exact_endpoint,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c,connected,1,51310,True,26e533ee0e330fa6c654173f9fdca5257914174c4490c7266bd37ec9c315d2a8,20289349,147,146,0.9840483761663972
road,Addis Ababa,Addis Ababa,51078,72263,2.8295156427424724,0.482274189457948,0.7068347563760153,0.6295381309948231,0.5,0.5,0.505,False,0,0.0025,256,1000,1.957790046595403e-05,1.0,0.1685853009123301,7786,canonical_v2_exact_endpoint,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc,connected,0,144526,True,d61e10ef3d93ed167caa1199171178656952451330b315197e5fd6de0339bd64,20303277,216,215,0.9911116331884569
road,Addis Ababa,Addis Ababa,51078,72263,2.8295156427424724,0.482274189457948,0.7068347563760153,0.6295381309948231,0.5,0.4975,0.505,False,0,0.0025,256,1000,1.957790046595403e-05,1.0,0.1698578644426171,7821,canonical_v2_exact_endpoint,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc,connected,1,144526,True,ad9bac2ad7820af00dec71da4746121c0c5c495584674dd17ec18d9858d77447,20303305,211,210,0.991503191197776
road,Algiers,Algiers,21703,28885,2.661843984702576,0.5065855241235377,0.7513588367664878,0.6343744607047784,0.5375,0.535,0.545,False,0,0.0025,256,1000,4.607657927475463e-05,1.0,0.2564161636640096,4806,canonical_v2_exact_endpoint,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc,connected,0,57770,True,6e14d4de12212ded8e9ebe03b263403a75e48e302142e367d42eefd475680311,20294237,185,184,0.982352670137769
road,Algiers,Algiers,21703,28885,2.661843984702576,0.5065855241235377,0.7513588367664878,0.6343744607047784,0.54,0.535,0.5425,False,0,0.0025,256,1000,4.607657927475463e-05,1.0,0.2637884163479703,4856,canonical_v2_exact_endpoint,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc,connected,1,57770,True,5e1c25bb0ecfd6f855920585405f93afdca952f9a0601e77714feffd2e06325d,20294261,197,196,0.9809242961802516
road,Amsterdam,Amsterdam,23201,32887,2.8349640101719755,0.466680857102313,0.7054763280323532,0.6160131045589082,0.495,0.4925,0.4975,False,0,0.0025,256,1000,4.310159044868756e-05,1.0,0.1919313822680056,3914,canonical_v2_exact_endpoint,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d,connected,0,65774,True,537aa1c105ff2af046009aa13eb1aa9b8f4f1299d0f96e77cb0e8b244f7514e0,20299268,102,101,0.9908193612344296
road,Amsterdam,Amsterdam,23201,32887,2.8349640101719755,0.466680857102313,0.7054763280323532,0.6160131045589082,0.49,0.49,0.4975,False,0,0.0025,256,1000,4.310159044868756e-05,1.0,0.1893452868410844,3885,canonical_v2_exact_endpoint,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d,connected,1,65774,True,82ae900e75316b0357767ca2fb27762ea0b2ce2608ef9b1a16148bfb2d36a1f7,20299294,100,99,0.990733158053532
road,Athens,Athens,54827,88593,3.231728892698853,0.4135569642707098,0.618863792850451,0.5933158856166071,0.43,0.4275,0.4325,False,0,0.0025,256,1000,1.8239188720885696e-05,1.0,0.0669195834169296,3557,canonical_v2_exact_endpoint,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975,connected,0,177186,True,e9947802f0b02a1c9f9582ef358d9803f0e3177f7058636dffe85b3101480a9d,20291875,28,27,0.9990150838090722
road,Athens,Athens,54827,88593,3.231728892698853,0.4135569642707098,0.618863792850451,0.5933158856166071,0.43,0.4275,0.4325,False,0,0.0025,256,1000,1.8239188720885696e-05,1.0,0.0660623415470479,3541,canonical_v2_exact_endpoint,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975,connected,1,177186,True,e0a344e60432a50fb4fd009e7e1e8ab8c5eec72ae8e4043da3b8eb53f009a6a9,20291898,25,24,0.9991245189413976
road,Auckland,Auckland,12533,16775,2.67693289715152,0.5044505924099357,0.747123695976155,0.6340596868091446,0.5425,0.535,0.5475,False,0,0.0025,256,1000,7.978935609989628e-05,1.0,0.2473470039096784,2664,canonical_v2_exact_endpoint,a1c23153a003d63a2f54cfe32bf607c36bac7aad5406555dfd4b32d8c58a79c2,connected,0,33550,True,f68656e34d35e05e20c96c9f62f508de3bcff7b891fe34f3db83330c848d9efd,20296520,91,90,0.9843612862044204
road,Auckland,Auckland,12533,16775,2.67693289715152,0.5044505924099357,0.747123695976155,0.6340596868091446,0.535,0.5325,0.5375,False,0,0.0025,256,1000,7.978935609989628e-05,1.0,0.251496050426873,2666,canonical_v2_exact_endpoint,a1c23153a003d63a2f54cfe32bf607c36bac7aad5406555dfd4b32d8c58a79c2,connected,1,33550,True,8b0e90bd1fc73033eb54c110826ac523f113270e69aff4f72a493d1f11f70f71,20296545,82,81,0.9863560201069176
road,Bangkok,Bangkok,63366,71694,2.2628538964113245,0.5689051824695883,0.8838396518537117,0.6354902987811591,0.64,0.6325000000000001,0.64,False,0,0.0025,256,1000,1.5781333838336017e-05,1.0,0.7463466212164253,30502,canonical_v2_exact_endpoint,2c97486a7bd38d376db2087296f3bb4b56a0ad081b4a18a93b026104f682cfea,connected,0,143388,True,8faa0e52366d7e4e25c3c4f8b39309bed0a127501bcc3e82fddd244f55b42d6c,20294135,2375,2374,0.9153962692926806
road,Bangkok,Bangkok,63366,71694,2.2628538964113245,0.5689051824695883,0.8838396518537117,0.6354902987811591,0.635,0.635,0.6425,False,0,0.0025,256,1000,1.5781333838336017e-05,1.0,0.7420856610800745,30400,canonical_v2_exact_endpoint,2c97486a7bd38d376db2087296f3bb4b56a0ad081b4a18a93b026104f682cfea,connected,1,143388,True,43ac1dadabacbe113c91dbcc6e4aaedacee389adb7f0c23741df11cd8fd0030d,20294159,2406,2405,0.913628759902787
road,Barcelona,Barcelona,18674,28820,3.086644532505088,0.438814196750765,0.6479528105482304,0.6104361612714422,0.465,0.4625,0.4675,False,0,0.0025,256,1000,5.355039091785372e-05,1.0,0.079415229731177,1421,canonical_v2_exact_endpoint,fd3e1e8319c9d2a226f1cc00c8d28949f672603801ea3f8aaa49c6c7af5c657f,connected,0,57640,True,307f896ab1f6eb2ed3f9c039d5bc00abe207cceb33361edcae0df12703360875,20299096,18,17,0.998179286708793
road,Barcelona,Barcelona,18674,28820,3.086644532505088,0.438814196750765,0.6479528105482304,0.6104361612714422,0.465,0.46,0.4675,False,0,0.0025,256,1000,5.355039091785372e-05,1.0,0.0802184855949448,1427,canonical_v2_exact_endpoint,fd3e1e8319c9d2a226f1cc00c8d28949f672603801ea3f8aaa49c6c7af5c657f,connected,1,57640,True,5082997ca7eed1be20225ee52d56773e75286e8e51f174af029d8e143264297f,20299122,8,7,0.99925029452715
road,Bengaluru,Bengaluru,101357,136603,2.695482305119528,0.487624045120297,0.7419822405071631,0.6233785158269722,0.51,0.505,0.51,False,0,0.0025,256,1000,9.86611679509062e-06,1.0,0.2777015894314157,24290,canonical_v2_exact_endpoint,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd,connected,0,273206,True,baebcd353304cec8202b102a824b78226fb87484c8223fc8d370561d2a4bde7c,20299492,952,951,0.980494687096106
road,Bengaluru,Bengaluru,101357,136603,2.695482305119528,0.487624045120297,0.7419822405071631,0.6233785158269722,0.51,0.5075000000000001,0.5125,False,0,0.0025,256,1000,9.86611679509062e-06,1.0,0.2771490868908906,24283,canonical_v2_exact_endpoint,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd,connected,1,273206,True,c992643121cc6cf29068f9b5879a97ee9cfefd9c6e7201d20a9d1ab4844bbd7e,20299518,982,981,0.9795968704677526
road,Bogota,Bogota,40772,60476,2.966545668596096,0.4493951193413192,0.6741848005820491,0.6114151634982622,0.47,0.4675,0.475,False,0,0.0025,256,1000,2.4526635926616303e-05,1.0,0.1427940743647601,5414,canonical_v2_exact_endpoint,8d77dcd71f2907217f5a0b1e714062beb4654b44b22e3de05279648077c67dd7,connected,0,120952,True,ff61ee23d9a16f3120d62cb8e6c91cbf826fda8f9f8dd3280acec7d5b7b92247,20291790,101,100,0.9948984597272638
road,Bogota,Bogota,40772,60476,2.966545668596096,0.4493951193413192,0.6741848005820491,0.6114151634982622,0.47,0.465,0.4725,False,0,0.0025,256,1000,2.4526635926616303e-05,1.0,0.1435789267144118,5419,canonical_v2_exact_endpoint,8d77dcd71f2907217f5a0b1e714062beb4654b44b22e3de05279648077c67dd7,connected,1,120952,True,388b8b326cee30e99a459d20fc22aa9003d0389b2181da092ad16e9aa7104242,20291813,113,112,0.9943343471009516
