domain,instance,system_id,n_nodes,n_edges,mean_degree,pc_cebh,pc_dimension,pc_junction_anchor,pc,pc_low,pc_high,point_endpoint,bootstrap_endpoint_count,p_step,n_orders,n_bootstrap,mean_curve_p0,mean_curve_p1,exact_endpoint_slope,largest_component_bridges,method_version,input_hash,kind,replicate,n_swaps,degree_sequence_exact,realization_hash,seed
road,Jakarta,Jakarta,50166,65445,2.609137662958976,0.512325721577254,0.7665367866147147,0.6339062913771359,0.5325,0.53,0.5375,False,0,0.0025,256,1000,1.993381971853446e-05,0.9773153131603076,0.2769405573495993,11638,canonical_v2_exact_endpoint,d59d38ad96562a8ea8ea6eb9efcfc96393a754eea73f17cea49fbc37d4a9e8c2,degree,1,130890,True,a95fb03cbb4fdcdf4fcc4f856db7cd2d062e5d5aae3e8f18002a58a17bd25e4e,20287030
road,Jakarta,Jakarta,50166,65445,2.609137662958976,0.512325721577254,0.7665367866147147,0.6339062913771359,0.535,0.53,0.5375,False,0,0.0025,256,1000,1.993381971853446e-05,0.9773551807997446,0.2790734760594825,11678,canonical_v2_exact_endpoint,d59d38ad96562a8ea8ea6eb9efcfc96393a754eea73f17cea49fbc37d4a9e8c2,degree,2,130890,True,f6f1cf7e5add719181d488f60615f3ef3d058ba09af4879224553a6384362b1f,20287051
road,Jakarta,Jakarta,50166,65445,2.609137662958976,0.512325721577254,0.7665367866147147,0.6339062913771359,0.5325,0.53,0.54,False,0,0.0025,256,1000,1.993381971853446e-05,0.9755013355659212,0.2810070565721803,11635,canonical_v2_exact_endpoint,d59d38ad96562a8ea8ea6eb9efcfc96393a754eea73f17cea49fbc37d4a9e8c2,degree,3,130890,True,5a7723283e5aa812d6d8252a21e60e29cfc73ab696c60b0f91a70ef51ab21877,20287072
road,Johannesburg,Johannesburg,22312,32632,2.9250627465041235,0.454250595097234,0.6837460161804364,0.611139872298325,0.4775,0.475,0.485,False,0,0.0025,256,1000,4.481893151667265e-05,0.9922015059160992,0.1495159555396199,3070,canonical_v2_exact_endpoint,4f091fc0d64c7e37ebb8bf87212b572e814d05a9e39d7fd528eafc7620690a88,degree,0,65264,True,6b5742faa36c593745797df5e40194bf4c564cf1463649de291e161bd6b2a208,20299142
road,Johannesburg,Johannesburg,22312,32632,2.9250627465041235,0.454250595097234,0.6837460161804364,0.611139872298325,0.4775,0.475,0.48,False,0,0.0025,256,1000,4.481893151667265e-05,0.9940390821082824,0.1519361778415202,3122,canonical_v2_exact_endpoint,4f091fc0d64c7e37ebb8bf87212b572e814d05a9e39d7fd528eafc7620690a88,degree,1,65264,True,fdb026374098e2220f888d37b1ed839def6492924bf1feea30ed29bb0320fc64,20299168
road,Johannesburg,Johannesburg,22312,32632,2.9250627465041235,0.454250595097234,0.6837460161804364,0.611139872298325,0.48,0.4775,0.4825,False,0,0.0025,256,1000,4.481893151667265e-05,0.9924704195051992,0.1507260666905701,3086,canonical_v2_exact_endpoint,4f091fc0d64c7e37ebb8bf87212b572e814d05a9e39d7fd528eafc7620690a88,degree,2,65264,True,7187749cf2b737bc208d736722e95ac02ccf89f85a7cd264e9341bbe16f90f99,20299194
road,Johannesburg,Johannesburg,22312,32632,2.9250627465041235,0.454250595097234,0.6837460161804364,0.611139872298325,0.4775,0.475,0.485,False,0,0.0025,256,1000,4.481893151667265e-05,0.992918608820366,0.1509053424166367,3102,canonical_v2_exact_endpoint,4f091fc0d64c7e37ebb8bf87212b572e814d05a9e39d7fd528eafc7620690a88,degree,3,65264,True,c32050c8a47e87a34a954304532a0fbd095107a7c5d93444bfbc856d5843995d,20299220
road,Kampala,Kampala,35927,41391,2.3041723494864588,0.574452139397388,0.8679906259814936,0.6442676492938583,0.5975,0.595,0.605,False,0,0.0025,256,1000,2.7834219389317228e-05,0.9283825535112872,0.5012942912016033,12485,canonical_v2_exact_endpoint,a3fdf2484e3d4125bab8164f7b70b3bba13444fbc8d8db4d5b040bd21d48250c,degree,0,82782,True,ce6990f07f1f9c9d326b00fe075d5c72ed89d0b1390ab4e70aacdbfef9ff4117,20286908
road,Kampala,Kampala,35927,41391,2.3041723494864588,0.574452139397388,0.8679906259814936,0.6442676492938583,0.6025,0.6,0.6075,False,0,0.0025,256,1000,2.7834219389317228e-05,0.93191749937373,0.4938347204052662,12592,canonical_v2_exact_endpoint,a3fdf2484e3d4125bab8164f7b70b3bba13444fbc8d8db4d5b040bd21d48250c,degree,1,82782,True,d90d23410a932ae35738330029606237571c7dda46a307dd24e82441a882fb47,20286929
road,Kampala,Kampala,35927,41391,2.3041723494864588,0.574452139397388,0.8679906259814936,0.6442676492938583,0.6,0.595,0.61,False,0,0.0025,256,1000,2.7834219389317228e-05,0.9277702006847216,0.4845937595680129,12355,canonical_v2_exact_endpoint,a3fdf2484e3d4125bab8164f7b70b3bba13444fbc8d8db4d5b040bd21d48250c,degree,2,82782,True,4b698cf457dc75f9d13e886348700e2734ccca1175658e40e8bb6a838362ccf8,20286950
