graph,seed,stage_index,target_increment,chi_chord,chi_added,accepted_swaps,attempts,target_reached,pc,pc_low,pc_high,pc_shift,mean_length_ratio,median_length_ratio,p90_length_ratio,ks_length_statistic,wasserstein_length_normalized,n_nodes,n_edges,edge_count_preserved,no_new_parallel_edges,nodewise_degree_nx_preserved,nodewise_degree_bincount_preserved,length_bin_histogram_preserved,selfloops,zero_selfloops,positions_unchanged,connected_components,largest_component_fraction,graph_sha256,invariants_pass,n_orders,n_bootstrap,p_step,method_version
osaka_japan,222,0,0.0,0.0382724060855144,0.0,0,0,True,0.6275000000000001,0.615,0.6275000000000001,0.0,1.0,1.0,1.0,0.0,0.0,92460,138690,True,True,True,True,True,0,True,True,1,1.0,8716f7da01a6ea100c83066836fea709c34b406534acc56a2f284e9c2ad9c7db,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,222,1,0.02,0.0588074122142908,0.0205350061287764,867,229757,True,0.6175,0.615,0.63,-0.01,1.017996045582796,1.0,1.0002788244951315,0.0052923786862787,0.0243021659062409,92460,138690,True,True,True,True,True,0,True,True,2,0.99978369024443,d81fcb19fb7d6e171ddc3dacadd4f223087b66a916390d08b4d063028398259f,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,222,2,0.05,0.09041747782825,0.0521450717427355,2673,603667,True,0.61,0.61,0.625,-0.0175,1.0456703135233325,1.0,1.0007305434466192,0.0135626216742376,0.0602781110088731,92460,138690,True,True,True,True,True,0,True,True,2,0.99978369024443,6e9dc3427a4121a9568ced6ab4410b66fda0010df7e32d9f805d8d5161c0940f,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,222,3,0.1,0.1185737976782752,0.0803013915927608,5186,1000000,False,0.61,0.605,0.6225,-0.0175,1.071875528059568,1.0,1.0016580953772949,0.0212416179969716,0.0943199596245588,92460,138690,True,True,True,True,True,0,True,True,4,0.999870214146658,076d1d8dc73d59129828eaaa45d190f3e9c0fdf0004eb913032320be3371b14b,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,233,0,0.0,0.0382724060855144,0.0,0,0,True,0.625,0.615,0.625,0.0,1.0,1.0,1.0,0.0,0.0,92460,138690,True,True,True,True,True,0,True,True,1,1.0,8716f7da01a6ea100c83066836fea709c34b406534acc56a2f284e9c2ad9c7db,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,233,1,0.02,0.0586992573365058,0.0204268512509914,859,218561,True,0.6175,0.615,0.625,-0.0074999999999999,1.0182374539280388,1.0,1.0003680444719358,0.0052995890114644,0.0240540352038944,92460,138690,True,True,True,True,True,0,True,True,2,0.999978369024443,58bff779b2d3519c34158eb481c683cbfbffe24337ecfeea9f2ada2979434661,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,233,2,0.05,0.090741942461605,0.0524695363760905,2690,603365,True,0.6175,0.61,0.62,-0.0074999999999999,1.0473937510139664,1.0,1.0009511654854004,0.0138366140312927,0.0621986733973855,92460,138690,True,True,True,True,True,0,True,True,4,0.999935107073329,819c1bcf441ff3bbfed1a5f5717c4bade3a98b59a988d4233ac441787d05e9ba,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,233,3,0.1,0.1192371475953565,0.080964741509842,5197,1000000,False,0.6125,0.61,0.6175,-0.0124999999999999,1.0717564516686,1.0,1.0015537405180643,0.0212488283221573,0.0941754465213977,92460,138690,True,True,True,True,True,0,True,True,5,0.999913476097772,cdfbadbd0be2b77a50222f40b274e6ba7579a82165fc1a06393b5f6e5f615415,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,211,0,0.0,0.0382724060855144,0.0,0,0,True,0.62,0.615,0.625,0.0,1.0,1.0,1.0,0.0,0.0,92460,138690,True,True,True,True,True,0,True,True,1,1.0,8716f7da01a6ea100c83066836fea709c34b406534acc56a2f284e9c2ad9c7db,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,211,1,0.02,0.0587280986372485,0.020455692551734,874,247267,True,0.6175,0.6075,0.6225,-0.0024999999999999,1.0181086615088537,1.0,1.000592591575763,0.0055014781166631,0.0241582852545289,92460,138690,True,True,True,True,True,0,True,True,1,1.0,a6bd5df56c01636a2a9011c3231a642ffca7d11b88b9fa92c1ed0d5d95fb6d30,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,211,2,0.05,0.0909005696156896,0.0526281635301752,2749,628222,True,0.615,0.6125,0.6175,-0.005,1.0465796926551831,1.0,1.0009424823283446,0.0139591895594491,0.0611442407065256,92460,138690,True,True,True,True,True,0,True,True,1,1.0,e31abd5ada31ce085c4e0edd338fc32cd646cf97260503ca69e60a1e504c667a,True,512,1000,0.0025,canonical_v2_exact_endpoint
osaka_japan,211,3,0.1,0.1176580863796957,0.0793856802941812,5174,1000000,False,0.605,0.605,0.62,-0.015,1.0697102811267365,1.0,1.0017934869313712,0.0205350061287764,0.0912764245358329,92460,138690,True,True,True,True,True,0,True,True,3,0.999956738048886,9b889be15ad87563b031c8b6caf9a4b4e49676e498f58b2bf8f77f401caf5d5a,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,311,0,0.0,0.0373298036783694,0.0,0,0,True,0.7075,0.6975,0.7175,0.0,1.0,1.0,1.0,0.0,0.0,85612,108037,True,True,True,True,True,0,True,True,1,1.0,aade61c16f52640e8fe72184ac08ff6e1230f57f6c2b62218fe0711186df012a,True,512,1000,0.0025,canonical_v2_exact_endpoint
tehran_iran,311,1,0.02,0.0577302220535557,0.0204004183751862,690,135829,True,0.705,0.6975,0.71,-0.0025,1.0106075478666512,1.0,1.0026128611912042,0.0032396308672029,0.0168972941141898,85612,108037,True,True,True,True,True,0,True,True,14,0.9996262206232772,81d4754272567a4dce9fd3cde97f4ae403c586d7ab50ddf1f19e45f0045f9b8b,True,512,1000,0.0025,canonical_v2_exact_endpoint
