file,column,inferred_type,n_rows,non_empty_count,example_value,description,type,non_null,unique_values,example
R41_degree_preserving_nulls_city_summary.csv,city,text,8.0,8.0,Berlin,City or urban-window identifier.,,,,
R41_degree_preserving_nulls_city_summary.csv,graph_cache_file,text,8.0,8.0,local_graph_cache\berlin_germany__road.pkl,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,n_nodes_road,numeric,8.0,8.0,28407,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,n_edges_road,numeric,8.0,8.0,42285,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,pc_cebh_road,numeric,8.0,8.0,0.444985,Cohen-Erez-ben-Avraham-Havlin degree-moment baseline or related gap.,,,,
R41_degree_preserving_nulls_city_summary.csv,pc_road_fine_grid,numeric,8.0,8.0,0.655,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,road_gap,numeric,8.0,8.0,0.210015,Difference between observed road threshold and a baseline/null threshold.,,,,
R41_degree_preserving_nulls_city_summary.csv,pc_null_rank_mean,numeric,8.0,8.0,0.471652,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,pc_null_rank_ci_low,numeric,8.0,8.0,0.464985,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,pc_null_rank_ci_high,numeric,8.0,8.0,0.474985,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,pc_null_cebh_mean,numeric,8.0,8.0,0.445635,Cohen-Erez-ben-Avraham-Havlin degree-moment baseline or related gap.,,,,
R41_degree_preserving_nulls_city_summary.csv,null_gap,numeric,8.0,8.0,0.026017,Difference between observed road threshold and a baseline/null threshold.,,,,
R41_degree_preserving_nulls_city_summary.csv,road_minus_null,numeric,8.0,8.0,0.183348,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,organization_fraction_of_gap,numeric,8.0,8.0,0.873025,Difference between observed road threshold and a baseline/null threshold.,,,,
R41_degree_preserving_nulls_city_summary.csv,n_null,numeric,8.0,8.0,6,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,n_perm,numeric,8.0,8.0,20,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,p_grid_min,numeric,8.0,8.0,0.194985,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,p_grid_max,numeric,8.0,8.0,0.694985,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,p_grid_step,numeric,8.0,8.0,0.01,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,boundary_hit_count,numeric,8.0,8.0,0,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,status,text,8.0,8.0,pass,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_city_summary.csv,notes,text,8.0,8.0,Observed road threshold exceeds degree-preserving null threshold.,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_replicates.csv,city,text,48.0,48.0,Berlin,City or urban-window identifier.,,,,
R41_degree_preserving_nulls_replicates.csv,replicate,numeric,48.0,48.0,1,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_replicates.csv,n_nodes,numeric,48.0,48.0,28407,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_replicates.csv,n_edges,numeric,48.0,48.0,42282,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_replicates.csv,lcc_fraction_p1,numeric,48.0,48.0,0.994579,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_replicates.csv,pc_cebh_null,numeric,48.0,48.0,0.445618,Cohen-Erez-ben-Avraham-Havlin degree-moment baseline or related gap.,,,,
R41_degree_preserving_nulls_replicates.csv,pc_rank_null,numeric,48.0,48.0,0.474985,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_replicates.csv,pc_rank_ci_low,numeric,48.0,48.0,0.464985,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_replicates.csv,pc_rank_ci_high,numeric,48.0,48.0,0.484985,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_replicates.csv,threshold_boundary_hit,text,48.0,48.0,False,Estimated bond-percolation threshold.,,,,
R41_degree_preserving_nulls_summary.json,_schema,str,1.0,1.0,R41-degree-preserving-nulls-v1,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_summary.json,parameters,dict,1.0,1.0,"{'r39_source': 'data\\R39_threshold_sensitivity\\threshold_sensitivity_source_data.csv', 'graph_cache_dir': 'cache\\priv",Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_summary.json,aggregate,dict,1.0,1.0,"{'n_cities': 8, 'road_gap_mean': 0.209594, 'road_gap_ci_95': [0.198247, 0.217702], 'null_gap_mean': 0.025548, 'null_gap_",Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_summary.json,records,list,1.0,1.0,"[{'city': 'Berlin', 'graph_cache_file': 'local_graph_cache\\berlin_germany__road.pkl', 'n_nodes_road': 28407, 'n_edg",Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_summary.json,replicates,list,1.0,1.0,"[{'city': 'Berlin', 'replicate': 1, 'n_nodes': 28407, 'n_edges': 42282, 'lcc_fraction_p1': 0.994579, 'pc_cebh_null': 0.4",Project-derived variable; see round report and manuscript Methods for definition.,,,,
R41_degree_preserving_nulls_summary.json,recommended_interpretation,str,1.0,1.0,R41 supports a mechanism upgrade: the observed road thresholds remain well above degree-preserving random null threshold,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,city,text,8.0,8.0,Berlin,City or urban-window identifier.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,graph_cache_file,text,8.0,8.0,local_graph_cache\berlin_germany__road.pkl,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,n_nodes_road,numeric,8.0,8.0,28407,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,n_edges_road,numeric,8.0,8.0,42285,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,pc_cebh_road,numeric,8.0,8.0,0.444985,Cohen-Erez-ben-Avraham-Havlin degree-moment baseline or related gap.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,pc_road_fine_grid,numeric,8.0,8.0,0.655,Project-derived variable; see round report and manuscript Methods for definition.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,road_gap,numeric,8.0,8.0,0.210015,Difference between observed road threshold and a baseline/null threshold.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,degree_null_gap_R41,numeric,8.0,8.0,0.026017,Difference between observed road threshold and a baseline/null threshold.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,degree_null_rank_mean_R41,numeric,8.0,8.0,0.471652,Degree-sequence or degree-composition metric.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,spatial_null_rank_mean,numeric,8.0,8.0,0.5124850000000001,Spatial-scale null metric or diagnostic.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,spatial_null_rank_ci_low,numeric,8.0,8.0,0.509985,Spatial-scale null metric or diagnostic.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,spatial_null_rank_ci_high,numeric,8.0,8.0,0.524985,Spatial-scale null metric or diagnostic.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,spatial_null_cebh_mean,numeric,8.0,8.0,0.4456024616941008,Cohen-Erez-ben-Avraham-Havlin degree-moment baseline or related gap.,,,,
R56_spatial_length_constrained_nulls_city_summary.csv,spatial_null_gap,numeric,8.0,8.0,0.06750000000000006,Difference between observed road threshold and a baseline/null threshold.,,,,
