graph,chi_chord,chi_added,accepted_swaps,pc,pc_ci_lo,pc_ci_hi
tehran_iran,0.03726426862058451,0.0,0,0.715,0.684875,0.72
tehran_iran,0.05952303953726889,0.02225877091668438,497,0.7,0.685,0.715
tehran_iran,0.09025474234710378,0.052990473726519265,1181,0.69,0.68,0.715
tehran_iran,0.12861855174771544,0.09135428312713093,2034,0.685,0.68,0.705
bengaluru_india,0.01460901133003484,0.0,0,0.67,0.665,0.725
bengaluru_india,0.036566443188804636,0.021957431858769798,617,0.68,0.665,0.69
bengaluru_india,0.06517697690078168,0.050567965570746845,1426,0.69,0.67,0.695
bengaluru_india,0.08945457739262816,0.07484556606259332,2120,0.67,0.66,0.6760000000000003
osaka_japan,0.03825034229300281,0.0,0,0.625,0.62,0.64
osaka_japan,0.06038048569575557,0.02213014340275276,618,0.635,0.61475,0.635
osaka_japan,0.08334654464221374,0.045096202349210926,1245,0.615,0.6,0.635
osaka_japan,0.10269510701160194,0.06444476471859913,1772,0.6,0.6,0.62
