city,country,macro_region,road_gap,n_edges,morph_pc1,morph_pc2
Lisbon,Portugal,Europe,0.2544838513923538,36745,0.6950054427456636,-1.2945308818555787
Vienna,Austria,Europe,0.2293014969141065,26142,-1.4154413919571818,-0.8050513205867879
Athens,Greece,Europe,0.2114430357292901,88593,-1.8223111229177091,1.3102978424002039
Istanbul,Turkey,Middle East,0.2136966149952546,72909,0.023292737270977058,-0.12469402478423791
Dubai,United Arab Emirates,Middle East,0.2341388324763428,22720,-0.6737740837884943,-1.5430259848741639
Cairo,Egypt,Africa,0.2094187185016547,163341,2.8604059114728444,2.376780223347256
Nairobi,Kenya,Africa,0.2816907863000482,28157,2.7979314070860766,-1.414654413892082
Accra,Ghana,Africa,0.2219213271629146,25655,1.5538225989511505,-0.3233603148079318
Johannesburg,South Africa,Africa,0.195749404902766,32632,-0.49372466588189107,-0.1082735424286198
Casablanca,Morocco,Africa,0.2151172715801975,55764,0.04413782561417835,1.2324953007503288
Mexico City,Mexico,Latin America,0.1984000442438305,90635,-1.0668334379282252,1.6132983624070225
Bogota,Colombia,Latin America,0.2006048806586807,60476,-0.26387891780028855,0.5863910475680416
Lima,Peru,Latin America,0.2071654757801135,75796,-0.6208233994740816,0.3895727435898526
Santiago,Chile,Latin America,0.1956594220795258,88302,0.28524439690035897,1.1579767943536539
Sao Paulo,Brazil,Latin America,0.2224532431356944,77333,-0.5910559494784886,-0.2322357638810608
Tokyo,Japan,Asia,0.1973733830921686,98086,-1.1032714517183633,1.1401354739739742
Seoul,South Korea,Asia,0.2233346100630051,76060,0.05452989547383415,0.09759806352490413
Taipei,Taiwan,Asia,0.1683153898164039,24900,-1.6988694535734914,-0.6841113568177548
Bangkok,Thailand,Asia,0.2810948175304116,71694,4.294704058116314,-1.067182691076841
Kuala Lumpur,Malaysia,Asia,0.2030983884482723,50999,0.7474527261553476,-0.8746409358271224
Jakarta,Indonesia,Asia,0.1876742784227459,65445,2.088251493766347,0.41804965934218064
Manila,Philippines,Asia,0.2007020470791676,36895,-0.4134666978967259,-0.5106326001123527
Mumbai,India,Asia,0.2424962845727741,24999,0.479294607180814,-1.1165623511185225
Bengaluru,India,Asia,0.2123759548797029,136603,2.83840336766814,2.8505481901807084
Los Angeles,United States,North America,0.1750696737916047,34611,-2.208264447468584,0.6429082005171145
New York City,United States,North America,0.1873573172809358,34130,-4.611449909941477,-0.2312925773974034
Montreal,Canada,North America,0.2018337424446379,32065,-2.6597239667777597,0.8229274834113484
Vancouver,Canada,North America,0.1972933468689489,22751,-1.737736455460494,1.191144330846667
London,United Kingdom,Europe,0.2550152834075354,62602,2.1553036501588947,-0.40187616360089906
Paris,France,Europe,0.196025947956002,55181,-1.436397838937241,-1.5063213084207772
Amsterdam,Netherlands,Europe,0.2333191428976869,32887,0.11035801591980361,-0.7269143202853123
Barcelona,Spain,Europe,0.1861858032492349,28820,-2.235130914524192,-0.6337856479220417
Warsaw,Poland,Europe,0.2199203187250994,24341,0.13548131391472482,-1.153614843024165
Prague,Czechia,Europe,0.2231987994904814,27325,0.24179552278770042,-0.5607268735950535
Rome,Italy,Europe,0.2044670289211081,37062,-0.382615276996159,-1.507846846093063
Milan,Italy,Europe,0.1851227591582229,38172,-0.7743147288313422,-0.8248304665321157
Lagos,Nigeria,Africa,0.2546630980630208,17952,0.6684391573487483,-0.9719845088620307
Addis Ababa,Ethiopia,Africa,0.2177258105420519,72263,1.5421648773595094,0.642515780658409
Dakar,Senegal,Africa,0.2399622404027691,43129,0.6837522605854943,0.7664313220100527
Kampala,Uganda,Africa,0.2505478606026119,41391,4.081177917804857,-1.0318528606109774
Dar es Salaam,Tanzania,Africa,0.2674011640769924,29826,2.0035801175439087,-0.2538580942176297
Tunis,Tunisia,Africa,0.2198067701589378,67495,1.0877392940271076,1.3709507262966016
Algiers,Algeria,Africa,0.2434144758764622,28885,1.5140176343882406,-1.349151581451411
Buenos Aires,Argentina,Latin America,0.1943842622218158,37472,-5.285811978828668,0.6920288279915583
Rio de Janeiro,Brazil,Latin America,0.2206516221330009,20774,-0.19366893907997243,-1.5136498995660383
Quito,Ecuador,Latin America,0.2438223411225157,35253,1.4061250129773137,-0.1261312793687969
Montevideo,Uruguay,Latin America,0.1930316873323181,22450,-2.410033087185109,0.5751255473304313
Panama City,Panama,Latin America,0.2313600979093936,12302,0.720281636561039,-1.736600422868988
Delhi,India,Asia,0.231035462077478,85866,1.2077533730152656,0.694080192801811
Chennai,India,Asia,0.2265510804984489,56880,1.9442846579403095,1.5822406948803103
Hyderabad,India,Asia,0.2618441377985055,132094,2.9771417521909895,2.5904784638685228
Karachi,Pakistan,Asia,0.2283793945699003,78992,0.360264762352359,1.5857173154176185
Dhaka,Bangladesh,Asia,0.2238723688606749,47996,1.9280448239259604,0.804722626479351
Hanoi,Vietnam,Asia,0.2610331976658657,39886,1.2551648684191048,-1.0288277446684397
Ho Chi Minh City,Vietnam,Asia,0.2190502853136501,51958,2.321337326995503,-0.9145499405179971
Singapore,Singapore,Asia,0.2081795684974292,19430,-1.503114483853361,-2.9434862087799156
Hong Kong,China,Asia,0.2098224633863661,13245,-2.263541437732216,-3.7392211046454435
Osaka,Japan,Asia,0.1782642727378145,138690,0.6621820297348533,2.7451474490742274
Sydney,Australia,Oceania,0.2127036751881589,31013,0.31905075687646206,-0.8156885890203249
Melbourne,Australia,Oceania,0.2313912743513861,51621,-0.10602505131788707,0.9884025441841477
Auckland,New Zealand,Oceania,0.2205494075900642,16775,0.6823120395470352,-2.079502267451911
Brisbane,Australia,Oceania,0.208880201061156,35174,0.4336076919583432,-0.35400294620746564
Chicago,United States,North America,0.2040052968599778,21830,-4.405002458315558,1.413784793214445
Toronto,Canada,North America,0.1996750232126277,18430,-1.5187800872184545,1.0320518268485113
Seattle,United States,North America,0.2082283123291324,26501,-1.1226107791844289,0.6531376157259663
San Francisco,United States,North America,0.1980232784966512,18546,-2.8841641031053804,0.741325064236201
Boston,United States,North America,0.2120018730220242,35843,-0.6118523685254081,-1.3415463383991815
Miami,United States,North America,0.1811689258125637,28736,-2.405491851543907,1.785158651208641
Riyadh,Saudi Arabia,Middle East,0.2084371144921578,79423,-0.379076099227597,1.9420249675247079
Tel Aviv,Israel,Middle East,0.2045443592892564,30263,-0.3565907762295248,-0.6619015184489249
Tehran,Iran,Middle East,0.1904347744059465,108037,2.4510106499640614,0.0726724080545736
