kind,n_cities,n_nulls,null_gap,null_gap_low,null_gap_high,organization_residual,organization_residual_low,organization_residual_high
degree,71,284,0.02323754791419795,0.022201945933626198,0.024309921189437585,0.18901408450704224,0.18340647007042252,0.1950618397887324
connected,71,142,0.026547407069127536,0.024653036058824174,0.028655215897259487,0.18570422535211265,0.18091549295774653,0.19075748239436624
