instance,system_id,domain,predictor,absolute_error,signed_error,unsafe_integrated,safe_integrated,flip_integrated,unsafe_interval_separated,safe_interval_separated,grid_unsafe,grid_safe,full_band_unsafe,full_band_safe
GBnetwork,GB,power,CEBH,0.32766598700140187,0.32766598700140187,0.5875000000000002,0.0,0.5875000000000002,0.5625000000000002,0.0,0.5882352941176471,0.0,0.3276659870014018,0.0
case1354pegase,PEGASE,power,CEBH,0.2685808435852373,0.2685808435852373,0.3812500000000002,0.0,0.3812500000000002,0.36250000000000004,0.0,0.4117647058823529,0.0,0.26858084358523726,0.0
case1888rte,RTE,power,CEBH,0.2661303801212839,0.2661303801212839,0.3937500000000002,0.0,0.3937500000000002,0.3812500000000002,0.0,0.4117647058823529,0.0,0.26613038012128387,0.0
case2848rte,RTE,power,CEBH,0.26809384834027017,0.26809384834027017,0.41875000000000023,0.0,0.41875000000000023,0.4000000000000001,0.0,0.4117647058823529,0.0,0.26809384834027017,0.0
case2869pegase,PEGASE,power,CEBH,0.3813750796685788,0.3813750796685788,0.6187500000000001,0.0,0.6187500000000001,0.5375000000000002,0.0,0.5882352941176471,0.0,0.38137507966857886,0.0
case300,IEEE300,power,CEBH,0.2998775894538607,0.2998775894538607,0.5875000000000002,0.0,0.5875000000000002,0.5687500000000001,0.0,0.5882352941176471,0.0,0.2998775894538608,0.0
case3120sp,Polish,power,CEBH,0.17575691212701894,0.17575691212701894,0.43939228031754735,0.0,0.43939228031754735,0.4143922803175473,0.0,0.4117647058823529,0.0,0.17575691212701894,0.0
case6470rte,RTE,power,CEBH,0.2476344414835524,0.2476344414835524,0.37500000000000006,0.0,0.37500000000000006,0.36250000000000004,0.0,0.35294117647058826,0.0,0.2476344414835524,0.0
case9241pegase,PEGASE,power,CEBH,0.4761397786274306,0.4761397786274306,0.5937500000000001,0.0,0.5937500000000001,0.5625000000000002,0.0,0.5882352941176471,0.0,0.4761397786274306,0.0
case_illinois200,Illinois,power,CEBH,0.35706521739130437,0.35706521739130437,0.7187500000000002,0.0,0.7187500000000002,0.7062500000000002,0.0,0.7058823529411765,0.0,0.35706521739130437,0.0
GBnetwork,GB,power,2D,0.10815263908701855,-0.10815263908701855,0.0,0.2703815977175464,0.2703815977175464,0.0,0.22038159771754662,0.0,0.23529411764705882,0.0,0.10815263908701855
case1354pegase,PEGASE,power,2D,0.18931286549707604,-0.18931286549707604,0.0,0.4732821637426901,0.4732821637426901,0.0,0.45453216374269023,0.0,0.4117647058823529,0.0,0.18931286549707604
case1888rte,RTE,power,2D,0.2105242634315424,-0.2105242634315424,0.0,0.526310658578856,0.526310658578856,0.0,0.5075606585788561,0.0,0.47058823529411764,0.0,0.2105242634315424
case2848rte,RTE,power,2D,0.20992591516560144,-0.20992591516560144,0.0,0.5248147879140036,0.5248147879140036,0.0,0.5123147879140035,0.0,0.5294117647058824,0.0,0.20992591516560144
case2869pegase,PEGASE,power,2D,0.025534274193548367,-0.025534274193548367,0.0,0.06383568548387092,0.06383568548387092,0.0,0.05133568548387091,0.0,0.058823529411764705,0.0,0.025534274193548367
case300,IEEE300,power,2D,0.048496332518337404,-0.048496332518337404,0.0,0.12124083129584351,0.12124083129584351,0.0,0.10249083129584363,0.0,0.11764705882352941,0.0,0.048496332518337404
case3120sp,Polish,power,2D,0.16690553745928327,-0.16690553745928327,0.0,0.4172638436482082,0.4172638436482082,0.0,0.37976384364820814,0.0,0.35294117647058826,0.0,0.16690553745928327
case6470rte,RTE,power,2D,0.2021324076369948,-0.2021324076369948,0.0,0.505331019092487,0.505331019092487,0.0,0.492831019092487,0.0,0.47058823529411764,0.0,0.2021324076369948
case9241pegase,PEGASE,power,2D,0.03704599845146761,0.03704599845146761,0.09261499612866902,0.0,0.09261499612866902,0.061364996128669136,0.0,0.058823529411764705,0.0,0.03704599845146761,0.0
case_illinois200,Illinois,power,2D,0.07882653061224476,-0.07882653061224476,0.0,0.1970663265306119,0.1970663265306119,0.0,0.17831632653061202,0.0,0.17647058823529413,0.0,0.07882653061224476
GBnetwork,GB,power,junction,0.09878454511672519,0.09878454511672519,0.24696136279181297,0.0,0.24696136279181297,0.22196136279181294,0.0,0.23529411764705882,0.0,0.09878454511672519,0.0
case1354pegase,PEGASE,power,junction,0.03600002570990701,0.03600002570990701,0.09000006427476753,0.0,0.09000006427476753,0.07125006427476738,0.0,0.11764705882352941,0.0,0.03600002570990701,0.0
case1888rte,RTE,power,junction,0.03602688835913925,0.03602688835913925,0.09006722089784813,0.0,0.09006722089784813,0.07756722089784812,0.0,0.11764705882352941,0.0,0.03602688835913925,0.0
case2848rte,RTE,power,junction,0.04245613179683305,0.04245613179683305,0.10614032949208263,0.0,0.10614032949208263,0.08739032949208247,0.0,0.058823529411764705,0.0,0.04245613179683305,0.0
case2869pegase,PEGASE,power,junction,0.13312240949994125,0.13312240949994125,0.33280602374985313,0.0,0.33280602374985313,0.2515560237498532,0.0,0.29411764705882354,0.0,0.13312240949994125,0.0
