cohort,predictor,n,offset,q,mae,mae_low,mae_high,covered,coverage,unsafe,retained,unsafe_retained,safe_retained,conditional_unsafe
reference,CEBH+reference_offset,71,0.21225163242124023,0.061536786614714734,0.01718286877359675,0.013303171100739941,0.02201533515190292,70,0.9859154929577465,0.019013797234601552,0.692316066926426,0.0002572675526217154,0.0,0.00037160419194641605
external_primary,CEBH+reference_offset,19,0.21225163242124023,0.061536786614714734,0.022325433751700846,0.014777629351457065,0.030473600377173848,18,0.9473684210526315,0.036959491475475496,0.6923160669264264,0.0007877181168845125,0.0,0.0011378012941135808
