escalated,unsafe_retained,safe_retained,retained,instance,macro_region,reference_q,error_covered
0.30768393307357367,0.0,0.0,0.6923160669264263,Accra,Africa,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Addis Ababa,Africa,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Algiers,Africa,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Cairo,Africa,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Casablanca,Africa,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Dakar,Africa,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Dar es Salaam,Africa,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Johannesburg,Africa,0.061536786614714734,True
0.10886540158305293,0.0,0.0,0.8911345984169471,Kampala,Africa,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Lagos,Africa,0.061536786614714734,True
0.2402725166664172,0.0,0.0,0.7597274833335828,Nairobi,Africa,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Tunis,Africa,0.061536786614714734,True
0.029127435319454623,0.0,0.0,0.9708725646805454,Bangkok,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.028729036314173728,0.7725468700925322,Bengaluru,Asia,0.04549062598149356,False
0.2274531299074678,0.0,0.0,0.7725468700925322,Chennai,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.0,0.7725468700925322,Delhi,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.0,0.7725468700925322,Dhaka,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.0,0.7725468700925322,Hanoi,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.039576824322219706,0.7725468700925322,Ho Chi Minh City,Asia,0.04549062598149356,False
0.2274531299074678,0.0,0.0,0.7725468700925322,Hong Kong,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.0,0.7725468700925322,Hyderabad,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.040115401583052934,0.7725468700925322,Jakarta,Asia,0.04549062598149356,False
0.2274531299074678,0.0,0.0,0.7725468700925322,Karachi,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.0,0.7725468700925322,Kuala Lumpur,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.0,0.7725468700925322,Manila,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.0,0.7725468700925322,Mumbai,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.0029401017129326856,0.7725468700925322,Osaka,Asia,0.04549062598149356,False
0.2274531299074678,0.0,0.0,0.7725468700925322,Seoul,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.0,0.7725468700925322,Singapore,Asia,0.04549062598149356,True
0.2274531299074678,0.0,0.056654961150683913,0.7725468700925322,Taipei,Asia,0.04549062598149356,False
0.2274531299074678,0.0,0.0,0.7725468700925322,Tokyo,Asia,0.04549062598149356,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Amsterdam,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Athens,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Barcelona,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Lisbon,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,London,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Milan,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Paris,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Prague,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Rome,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Vienna,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Warsaw,Europe,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Bogota,Latin America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Buenos Aires,Latin America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Lima,Latin America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Mexico City,Latin America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Montevideo,Latin America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Panama City,Latin America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Quito,Latin America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Rio de Janeiro,Latin America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Santiago,Latin America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Sao Paulo,Latin America,0.061536786614714734,True
0.3066067785519072,0.0,0.0,0.6933932214480928,Dubai,Middle East,0.06132135571038144,True
0.3066067785519072,0.0,0.0,0.6933932214480928,Istanbul,Middle East,0.06132135571038144,True
0.3066067785519072,0.0,0.0,0.6933932214480928,Riyadh,Middle East,0.06132135571038144,True
0.29722283354041845,0.0,0.059027166459581504,0.7027771664595815,Tehran,Middle East,0.06132135571038144,False
0.3066067785519072,0.0,0.0,0.6933932214480928,Tel Aviv,Middle East,0.06132135571038144,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Boston,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Chicago,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Los Angeles,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Miami,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Montreal,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,New York City,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,San Francisco,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Seattle,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Toronto,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Vancouver,North America,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Auckland,Oceania,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Brisbane,Oceania,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Melbourne,Oceania,0.061536786614714734,True
0.30768393307357367,0.0,0.0,0.6923160669264263,Sydney,Oceania,0.061536786614714734,True
