domain,predictor,lambda,loss
power,CEBH,1,0.5433709356084803
power,2D,1,0.28911372825095594
power,junction,1,0.2486072364641301
power,nonbacktracking,1,0.5659722222222224
rail,CEBH,1,0.6103659826937746
rail,2D,1,0.14046949403886114
rail,junction,1,0.3619260437135339
rail,nonbacktracking,1,0.8163604185826193
road,CEBH,1,0.5098005223450266
road,2D,1,0.05490028288509047
road,junction,1,0.15586690992826213
road,nonbacktracking,1,0.572975352112676
water,CEBH,1,0.5913469610245073
water,2D,1,0.012794535690265549
water,junction,1,0.5083044875127775
water,nonbacktracking,1,0.7805405926726527
power,CEBH,2,1.0867418712169605
power,2D,2,0.29425900581365977
power,junction,2,0.4972144729282602
power,nonbacktracking,2,1.1319444444444449
rail,CEBH,2,1.2207319653875492
rail,2D,2,0.18502241848818135
rail,junction,2,0.7238520874270677
rail,nonbacktracking,2,1.6327208371652386
road,CEBH,2,1.0196010446900532
road,2D,2,0.05936131749022729
road,junction,2,0.31078898946093403
road,nonbacktracking,2,1.145950704225352
water,CEBH,2,1.1826939220490147
water,2D,2,0.012794535690265549
water,junction,2,1.016608975025555
water,nonbacktracking,2,1.5610811853453055
power,CEBH,5,2.7168546780424014
power,2D,5,0.30969483850177126
power,junction,5,1.2430361823206506
power,nonbacktracking,5,2.829861111111112
rail,CEBH,5,3.051829913468873
rail,2D,5,0.318681191836142
rail,junction,5,1.8096302185676694
rail,nonbacktracking,5,4.0818020929130965
road,CEBH,5,2.549002611725133
road,2D,5,0.07274442130563778
road,junction,5,0.7755552280589498
road,nonbacktracking,5,2.86487676056338
water,CEBH,5,2.9567348051225366
water,2D,5,0.012794535690265549
water,junction,5,2.5415224375638874
water,nonbacktracking,5,3.9027029633632635
power,CEBH,10,5.433709356084803
power,2D,10,0.3354212263152905
power,junction,10,2.486072364641301
power,nonbacktracking,10,5.659722222222224
rail,CEBH,10,6.103659826937746
rail,2D,10,0.5414458140827431
rail,junction,10,3.6192604371353387
rail,nonbacktracking,10,8.163604185826193
road,CEBH,10,5.098005223450266
road,2D,10,0.09504959433132193
road,junction,10,1.5501656257223093
road,nonbacktracking,10,5.72975352112676
water,CEBH,10,5.913469610245073
water,2D,10,0.012794535690265549
water,junction,10,5.083044875127775
water,nonbacktracking,10,7.805405926726527
